"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Peterborough, New Hampshire, United States","42.90686","-71.99391","Lakeside Home, Summer Culture Town","4","Entire home",,"https://www.airbnb.com/rooms/6145322"
"Henniker, New Hampshire, United States","43.13376","-71.79898","On the Back side of Pats Peak","2","Private room in guest suite",,"https://www.airbnb.com/rooms/42274131"
"Manchester, New Hampshire, United States","43.00712","-71.47225","ROOM WITH A VIEW","2","Private room in townhouse",,"https://www.airbnb.com/rooms/31511901"
"Hillsboro, New Hampshire, United States","43.15704","-71.94273","Beautiful Lakeside Cottage summer/fall 2022","5","Entire cabin",,"https://www.airbnb.com/rooms/5362310"
"Hillsboro, New Hampshire, United States","43.15243","-71.88707","Lakehouse","6","Entire home",,"https://www.airbnb.com/rooms/26323341"
"Francestown, New Hampshire, United States","43.02069","-71.86843","Crotched Mountain Golf Club, Autumn Leaf Peeping","4","Entire home",,"https://www.airbnb.com/rooms/48028097"
"Derry, New Hampshire, United States","42.89071","-71.33301","helia's room in a apt","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/53081061"
"Weare, New Hampshire, United States","43.10768","-71.7759","Waterfront cottage on Lake Horace!","4","Entire cottage","5","https://www.airbnb.com/rooms/43997762"
"Windsor, New Hampshire, United States","43.12432","-72.03042","Lakefront Cottage in a Quiet, Beautiful Location","4","Entire cottage",,"https://www.airbnb.com/rooms/37658370"
"Hillsboro, New Hampshire, United States","43.15393","-71.88653","Four Season Lake House Retreat","6","Entire home","5","https://www.airbnb.com/rooms/13153559"
"Rindge, New Hampshire, United States","42.76726","-71.98528","Secluded Lake Cottage Perfect for Family Fun!","6","Entire cottage","5","https://www.airbnb.com/rooms/14725968"
"Concord, New Hampshire, United States","43.20597","-71.53682","Luxury Downtown Rental","2","Entire condo",,"https://www.airbnb.com/rooms/22513556"
"Hillsboro, New Hampshire, United States","43.15001","-71.89236","4-season lake house: kayak/swim/hike/ski, pets ok.","8","Entire home","5","https://www.airbnb.com/rooms/52935336"
"Manchester, New Hampshire, United States","42.94125","-71.39531","Modern Open Concept Colonial 2500sq Ft 2.5 Bath","4","Entire home",,"https://www.airbnb.com/rooms/21508787"
"Lyndeborough, New Hampshire, United States","42.87472","-71.7571","Nectar Farm With Spectacular Views","6","Entire home","5","https://www.airbnb.com/rooms/13146509"
"Antrim, New Hampshire, United States","43.09941","-71.94456","The Cozy Place","6","Entire home","5","https://www.airbnb.com/rooms/13681554"
"Rindge, New Hampshire, United States","42.787","-72.026","Lake house on walking trail near mountain","9","Entire home","5","https://www.airbnb.com/rooms/52382199"
"Jaffrey, New Hampshire, United States","42.83174","-72.06183","Charming Jaffrey Cottage w/ Mount Monadnock Views!","7","Entire cottage","5","https://www.airbnb.com/rooms/51212124"
"Manchester, New Hampshire, United States","43.00995","-71.4608","N End Single Fam. 5 Bed/2Ba w/office & Private W/D","4","Entire home",,"https://www.airbnb.com/rooms/41104607"
"Washington, New Hampshire, United States","43.203","-72.022","Enjoy peaceful surroundings at Hummingbird House","4","Entire home","5","https://www.airbnb.com/rooms/50110976"
"Hillsboro, New Hampshire, United States","43.12621","-71.9779","Mini-Retreat and escape for 1 or 2 people.","2","Private room in home",,"https://www.airbnb.com/rooms/51662139"
"Weare, New Hampshire, United States","43.09332","-71.78838","Spacious, Lakefront Home with Beautiful Views","10","Entire home","5","https://www.airbnb.com/rooms/46467882"
"Peterborough, New Hampshire, United States","42.884","-71.948","Hazelhurst Vacation House","8","Entire home","5","https://www.airbnb.com/rooms/5679696"
"Weare, New Hampshire, United States","43.10538","-71.77831","Lakefront  -Kayaks,Ski Pats Peak,Fish,Dock","6","Entire home","5","https://www.airbnb.com/rooms/51803636"
"Hancock, New Hampshire, United States","42.97034","-71.98552","4 Bedroom Rustic Home for Special Gatherings","10","Barn","5","https://www.airbnb.com/rooms/38328041"
