"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Truckee, California, United States","39.3486","-120.2518","NEW! Renovated gorgeous family friendly cabin","7","Entire cabin","5","https://www.airbnb.com/rooms/45751267"
"Truckee, California, United States","39.327","-120.268","Donner Lake Views Covered Porches Walk to the Lake","8","Entire home","5","https://www.airbnb.com/rooms/34100319"
"Truckee, California, United States","39.34736","-120.21221","Tranquil Retreat at Tahoe Donner - Private Hot Tub - Stunning Views - Access to Private Beach","8","Entire home",,"https://www.airbnb.com/rooms/49471065"
"Truckee, California, United States","39.34578","-120.24744","Huge Tahoe Donner Ski House","10","Entire chalet","5","https://www.airbnb.com/rooms/2210811"
"Truckee, California, United States","39.35819","-120.25488","Forest Views, XCountry Ski In/Out, High Speed WiFi","12","Entire home","5","https://www.airbnb.com/rooms/46377247"
"Truckee, California, United States","39.27644","-120.12357","Luxury Village at Northstar Residence w/ Ski Valet","10","Entire condo",,"https://www.airbnb.com/rooms/37358958"
"Tahoe City, California, United States","39.22325","-120.20675","Spacious Mountain Home Near Palisades Tahoe","10","Entire cabin","5","https://www.airbnb.com/rooms/23960160"
"Truckee, California, United States","39.351","-120.206","Warm & Spacious Truckee Retreat w/ Private Hot Tub","10","Entire cabin","5","https://www.airbnb.com/rooms/53111264"
"Tahoe City, California, United States","39.16526","-120.14244","Elegant Lakefront Townhouse w/ View","10","Entire home","5","https://www.airbnb.com/rooms/11965554"
"Truckee, California, United States","39.34427","-120.22833","Spacious home near resorts with private hot tub, shared pool, & new furnishings","10","Entire home","4.5","https://www.airbnb.com/rooms/54163499"
"Tahoma, California, United States","39.06247","-120.13085","Sherman: Lovely, Updated, Dog & Family Friendly Ho","8","Entire home","5","https://www.airbnb.com/rooms/7932917"
"Homewood, California, United States","39.11733","-120.16056","Beautifully furnished LakeView home w/lake access.","10","Entire chalet","5","https://www.airbnb.com/rooms/4366477"
"Carnelian Bay, California, United States","39.23518","-120.07177","Eagles Perch Lake View Cabin - Pet Friendly","8","Entire home","4.5","https://www.airbnb.com/rooms/21471037"
"Truckee, California, United States","39.325","-120.276","Donner Lakeview - 180 degree views and two decks!","8","Entire home","5","https://www.airbnb.com/rooms/36322890"
"Olympic Valley, California, United States","39.1805","-120.21274","Alpine-  Views, Sun, Location, Location, Location!","7","Entire home","5","https://www.airbnb.com/rooms/47444745"
"Tahoe Vista, California, United States","39.24689","-120.03226","Vista Villa w/ Hot Tub Cabina","16","Entire home","4.5","https://www.airbnb.com/rooms/28780960"
"Truckee, California, United States","39.34841","-120.25437","Beautiful Home  ONLY for family with  Golden Ret","6","Entire home","5","https://www.airbnb.com/rooms/23111068"
"Tahoe City, California, United States","39.14229","-120.16807","Cozy Bear Family Cabin (West Shore)","6","Entire cabin","5","https://www.airbnb.com/rooms/10930528"
"Soda Springs, California, United States","39.307","-120.385","A Real Charmer in the Woods with Deck & Balcony - Close to Lake Trails, & Slopes","10","Entire home","4.5","https://www.airbnb.com/rooms/22027218"
"Tahoma, California, United States","39.06014","-120.13259","Mountain retreat w/ private hot tub, deck, gas grill, & free WiFi","6","Entire home","4.5","https://www.airbnb.com/rooms/50566739"
"Homewood, California, United States","39.127","-120.166","Sugar Pine Chalet on Tahoe's West Shore - Quiet and Contemporary Cabin w/ Hot Tub + Short Walk To Lake","7","Entire home","5","https://www.airbnb.com/rooms/15582017"
"Truckee, California, United States","39.34439","-120.20087","NEW! Tahoe Donner Retreat w/ Hot Tub & Fireplace!","10","Entire home","4","https://www.airbnb.com/rooms/53109472"
"Truckee, California, United States","39.36168","-120.25211","Comfy cabin with private dock - access to hot tub, pool & tennis courts","8","Entire cabin","4.5","https://www.airbnb.com/rooms/28809115"
"Tahoma, California, United States","39.0354","-120.11717","Family-friendly lodge w/ lake views, private hot tub, & spacious interior!","8","Entire home","4","https://www.airbnb.com/rooms/45750914"
"Tahoe City, California, United States","39.15922","-120.14991","Dog Friendly Home in Tahoe City","6","Entire home","5","https://www.airbnb.com/rooms/39251088"
