"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Mercersburg, Pennsylvania, United States","39.73712","-77.93348","Spacious Mercersburg Home at Whitetail Resort","9","Entire home","4.5","https://www.airbnb.com/rooms/36109859"
"Montgomery Township, Pennsylvania, United States","39.7399","-77.93312","14100 Northern Lights #16 | Slope Side Studio!","4","Entire home",,"https://www.airbnb.com/rooms/45496300"
"Mercersburg, Pennsylvania, United States","39.829","-77.90371","302 - The McLaughlin Suite - James Buchanan Hotel","3","Room in boutique hotel",,"https://www.airbnb.com/rooms/47788789"
"Montgomery Township, Pennsylvania, United States","39.73842","-77.93319","14100 Northern Lights Drive, #6 | Slope Side Condo!","4","Entire home",,"https://www.airbnb.com/rooms/45496339"
"Montgomery Township, Pennsylvania, United States","39.74042","-77.93143","14100 Northern Lights Drive #17 | Slope Side Condo!","4","Entire home","4.5","https://www.airbnb.com/rooms/45496316"
"Mercersburg, Pennsylvania, United States","39.82759","-77.9044","301 - The Mercer Suite - James Buchanan Hotel","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/47788423"
"Mercersburg, Pennsylvania, United States","39.82822","-77.90241","206A & 206B - Elizabeth's Suite - James Buchanan Hotel","4","Room in boutique hotel",,"https://www.airbnb.com/rooms/47788080"
"Mercersburg, Pennsylvania, United States","39.74001","-77.93172","Slope side Studio Condo","3","Entire condo","4.5","https://www.airbnb.com/rooms/53808333"
"Mercersburg, Pennsylvania, United States","39.82966","-77.90397","206A - Elizabeth's Room - James Buchanan Hotel","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/47787963"
"Mercersburg, Pennsylvania, United States","39.82771","-77.90433","207 - Harriet's Room - James Buchanan Hotel","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/47787033"
"Mercersburg, Pennsylvania, United States","39.82945","-77.90257","208 - Ms. Hetty's Room - James Buchanan Hotel","2","Room in boutique hotel","5","https://www.airbnb.com/rooms/47788612"
"Mercersburg, Pennsylvania, United States","39.82803","-77.90378","201A & 201B - Après-Ski Suite - James Buchanan Hotel","4","Room in boutique hotel",,"https://www.airbnb.com/rooms/47170596"
"Mercersburg, Pennsylvania, United States","39.73865","-77.9335","Luxury Condo Next to the slopes","4","Entire home",,"https://www.airbnb.com/rooms/45452281"
"Mercersburg, Pennsylvania, United States","39.7371","-77.93539","Resort House","6","Entire townhouse","5","https://www.airbnb.com/rooms/9753241"
"Doylesburg, Pennsylvania, United States","40.232","-77.669","Relaxing getaway on 22 acres w/ breathtaking views","11","Entire guest suite","5","https://www.airbnb.com/rooms/18666899"
"Mercersburg, Pennsylvania, United States","39.73941","-77.93304","5 Bedroom Whitetail Resort Four-Season Townhome","10","Entire townhouse","5","https://www.airbnb.com/rooms/30879240"
"Waynesboro, Pennsylvania, United States","39.81117","-77.55553","Apt  A, 3 bedrooms, Penn State Mont Alto,  PA","8","Entire rental unit","4.5","https://www.airbnb.com/rooms/42516603"
"McConnellsburg, Pennsylvania, United States","39.987","-78.04","Lodge w/Panoramic Views*Hot tub*King Master Suite","13","Entire chalet","5","https://www.airbnb.com/rooms/47743049"
"Mercersburg, Pennsylvania, United States","39.76589","-77.97744","Country Living with a View","6","Entire cabin","5","https://www.airbnb.com/rooms/51922915"
"Chambersburg, Pennsylvania, United States","39.93507","-77.66152","Entire appartment","4","Entire rental unit","5","https://www.airbnb.com/rooms/49388347"
"Mercersburg, Pennsylvania, United States","39.752","-78.081","WATERFRONT CABIN PRIVATE BEACH HOT TUB FIRE PIT","6","Entire cabin","5","https://www.airbnb.com/rooms/39523103"
"Mercersburg, Pennsylvania, United States","39.73921","-77.93398","Spectacular Getaway in Whitetail Resort","12","Entire home","5","https://www.airbnb.com/rooms/46608353"
"Mercersburg, Pennsylvania, United States","39.74015","-77.93214","Cozy, renovated Ski & Hiking Getaway - Whitetail","8","Entire condo","5","https://www.airbnb.com/rooms/52943027"
"Waynesboro, Pennsylvania, United States","39.81117","-77.55739","Apt B, 2 bedrooms, Penn state Mont Alto, PA","8","Entire rental unit","4.5","https://www.airbnb.com/rooms/45269157"
"Mercersburg, Pennsylvania, United States","39.748","-78.049","Hoot Owl Hill","8","Farm stay","5","https://www.airbnb.com/rooms/28028894"
