"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Chewelah, Washington, United States","48.314","-117.568","49 Degrees North Ski Chalet","6","Entire chalet","5","https://www.airbnb.com/rooms/24733853"
"Evans, Washington, United States","48.70379","-118.01966","Lake Roosevelt Suites - The Salmon Room","2","Private room in home",,"https://www.airbnb.com/rooms/32070316"
"Kettle Falls , Washington, United States","48.57304","-118.05351","Muncton Mountain Lodge","16","Entire home","5","https://www.airbnb.com/rooms/20425246"
"Loon Lake, Washington, United States","48.05685","-117.62327","Spacious home on Loon Lake waterfront","8","Entire home","5","https://www.airbnb.com/rooms/25298108"
"Nine Mile Falls, Washington, United States","47.85977","-117.66093","Lake Spokane Retreat House-Sleeps 18","8","Entire home","5","https://www.airbnb.com/rooms/13393756"
"Rice, Washington, United States","48.45639","-118.16206","Daisy Mae's at Quillisascut Farm","6","Entire home",,"https://www.airbnb.com/rooms/259385"
"Colville, Washington, United States","48.89745","-117.77734","Carlson Canyon Ranch (All private rooms)","10","Private room in farm stay","5","https://www.airbnb.com/rooms/20571507"
"Northport, Washington, United States","48.91945","-117.79535","The Grove Campsite at Lazy Daze Retreats","8","Campsite","5","https://www.airbnb.com/rooms/45988032"
"Northport, Washington, United States","48.91949","-117.79503","The Stonehenge Campsite at Lazy Daze Retreats","8","Campsite","5","https://www.airbnb.com/rooms/45884168"
"Evans, Washington, United States","48.76414","-118.03686","Lake Roosevelt-Muncton Meadows","16","Campsite","5","https://www.airbnb.com/rooms/50448051"
"Evans, Washington, United States","48.7043","-118.02163","Lake Roosevelt Suites - The Beach Room","2","Private room in home",,"https://www.airbnb.com/rooms/32050295"
"Deer Park, Washington, United States","47.84766","-117.52687","Ponderosa Pines Getaway","7","Campsite","5","https://www.airbnb.com/rooms/50977078"
"Seven Bays, Washington, United States","47.84984","-118.34244","Vacation Spot on Lake Roosevelt, Seven Bays, WA","4","Entire home","5","https://www.airbnb.com/rooms/34653448"
"Northport, Washington, United States","48.917","-117.778","The Station at the Columbia Cottages","6","Entire bungalow","4.5","https://www.airbnb.com/rooms/32366540"
"Kettle Falls, Washington, United States","48.85779","-117.90647","Columbia River Getaway","2","Private room in nature lodge","4.5","https://www.airbnb.com/rooms/37716848"
"Kettle Falls, Washington, United States","48.85893","-117.94295","Rural Kettle Falls Bunkhouse w/ Airstrip & Trails!","10","Entire home","5","https://www.airbnb.com/rooms/46215997"
"Springdale, Washington, United States","48.05848","-117.74087","Get away to THE SPRING","5","Entire rental unit","4.5","https://www.airbnb.com/rooms/39679463"
"Davenport, Washington, United States","47.857","-118.149","Cozy & Rustic Getaway from the Hustle & Bustle","5","Entire cabin","5","https://www.airbnb.com/rooms/53108708"
"Nine Mile Falls, Washington, United States","47.80273","-117.57024","Relaxing Apt - Jetted Tub & Balcony w/ Lake View!","3","Entire rental unit","5","https://www.airbnb.com/rooms/43956732"
"Nine Mile Falls, Washington, United States","47.80417","-117.56919","Modern Getaway Spot w/ Loft & Spokane River Views!","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/44315616"
"Deer Park, Washington, United States","47.93264","-117.68762","""The Mountain"" Lodge
 sleeps 29 to 30.","16","Entire villa","4.5","https://www.airbnb.com/rooms/47964877"
"Nine Mile Falls, Washington, United States","47.80353","-117.5706","'Lakeview Lodge' Retreat w/ Views & Nearby Trails!","4","Entire rental unit","5","https://www.airbnb.com/rooms/43712804"
"Valley, Washington, United States","48.19107","-117.79598","Great Triplex Unit! Snow Skiing! Lake Ice Fishing!","6","Entire home","5","https://www.airbnb.com/rooms/51869066"
"Northport, Washington, United States","48.91335","-117.80657","Black Bear Lodge","12","Entire home","5","https://www.airbnb.com/rooms/19104017"
"Nine Mile Falls, Washington, United States","47.80614","-117.5985","Charming Lakeview getaway, 2 bedrooms, 1 bathroom","4","Private room in home","5","https://www.airbnb.com/rooms/35044229"
