"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Boulder, Colorado, United States","40.04912","-105.24664","Contemporary Boulder Home with rooftop views","6","Entire home",,"https://www.airbnb.com/rooms/46332708"
"Louisville, Colorado, United States","39.97251","-105.13437","Sunny home in Old Town Louisville, near Boulder","6","Entire home","5","https://www.airbnb.com/rooms/18464529"
"Erie, Colorado, United States","40.02999","-105.08366","Erie Home with a View","11","Entire home","5","https://www.airbnb.com/rooms/28909677"
"Longmont, Colorado, United States","40.13644","-105.1484","Super cozy, great place to come home to","8","Entire home",,"https://www.airbnb.com/rooms/50701604"
"Louisville, Colorado, United States","39.97486","-105.13067","Furnished 3 Bdrm in heart of Old Town Louisville","6","Entire townhouse","5","https://www.airbnb.com/rooms/52529845"
"Longmont, Colorado, United States","40.15824","-105.05798","The best of Colorado! Close to Skiing, Hiking,more","12","Entire home","4.5","https://www.airbnb.com/rooms/40567914"
"Superior, Colorado, United States","39.91784","-105.1569","Flatirons view Four BR House in Superior","8","Entire home","5","https://www.airbnb.com/rooms/50216240"
"Black Hawk, Colorado, United States","39.91793","-105.4415","StarryPeakRetreat 4BdRm Mountain Views, Ski/Hike","8","Entire cabin","5","https://www.airbnb.com/rooms/53420697"
"Nederland, Colorado, United States","39.95726","-105.51656","A Taste of Luxury in the Town of Nederland","6","Entire home","5","https://www.airbnb.com/rooms/26444713"
"Boulder, Colorado, United States","39.98524","-105.26102","Walk to Open Space. Modern Comfort in SW Boulder","5","Entire home","5","https://www.airbnb.com/rooms/13418514"
"Boulder, Colorado, United States","40.05964","-105.27383","Beautiful, modern family home in North Boulder","6","Entire home","5","https://www.airbnb.com/rooms/42202517"
"Boulder, Colorado, United States","39.99449","-105.25441","South Boulder Get Away","6","Entire home","5","https://www.airbnb.com/rooms/634298"
"Boulder, Colorado, United States","40.01572","-105.32199","Sunny in-town mountain cabin","4","Entire guesthouse","5","https://www.airbnb.com/rooms/3769105"
"Nederland, Colorado, United States","39.948","-105.503","Trailside Retreat @ Nederland's trail system!","6","Entire home","5","https://www.airbnb.com/rooms/4834391"
"Boulder, Colorado, United States","39.9856","-105.19453","Private Updated 1900 Home","4","Entire cottage","5","https://www.airbnb.com/rooms/31364586"
"Allenspark, Colorado, United States","40.24303","-105.53233","Estes Park/Allenspark: Private 4 bdrm, 2 1/2 bath","8","Entire cabin","5","https://www.airbnb.com/rooms/31898864"
"Louisville, Colorado, United States","39.99314","-105.13271","Modern Patio Home - 3 Bed/3 Bath","8","Entire home",,"https://www.airbnb.com/rooms/29709127"
"Longmont, Colorado, United States","40.064","-105.099","The Boulder Farmhouse-New Decor! Beautiful Views!","8","Farm stay","5","https://www.airbnb.com/rooms/43507293"
"Boulder, Colorado, United States","39.98591","-105.19024","Tranquil Oasis near hiking on private 1/2 acre","4","Entire home","5","https://www.airbnb.com/rooms/26171326"
"Superior, Colorado, United States","39.9363","-105.14813","Suburban Zen - Bright, Cozy, Well Appointed Home","6","Entire home",,"https://www.airbnb.com/rooms/25232557"
"Louisville, Colorado, United States","39.98967","-105.11999","Inspiring 3-Bedrm Lakehouse w/ Views & Trails","6","Entire home",,"https://www.airbnb.com/rooms/53164036"
"Boulder, Colorado, United States","39.98476","-105.25674","Artist's mid-century retreat in the Foothills","5","Entire home","5","https://www.airbnb.com/rooms/41631698"
"Boulder, Colorado, United States","40.01609","-105.27061","2 Bed 2.5 Bath Eco-Solar Condo in Boulder","6","Entire condo",,"https://www.airbnb.com/rooms/52611400"
"Boulder, Colorado, United States","40.01","-105.282","Charming Historic Home located on the Hill","6","Entire home","5","https://www.airbnb.com/rooms/27283047"
"Boulder, Colorado, United States","40.01198","-105.28773","Recently renovated Downtown Boulder Oasis","4","Entire condo","5","https://www.airbnb.com/rooms/30265550"
