"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Watervliet, New York, United States","42.73043","-73.7029","Watervliet us Multi-unit building","5","Entire townhouse","5","https://www.airbnb.com/rooms/30267824"
"Albany, New York, United States","42.6443","-73.7569","Lion king/queen suite 10ppl  | Washerdryer | Grill","12","Private room in townhouse","5","https://www.airbnb.com/rooms/20212108"
"Albany, New York, United States","42.64284","-73.75874","A Gem Luxury 2 lvl | Near Mansion|Grill | 12 ppl","12","Entire townhouse","3.5","https://www.airbnb.com/rooms/50480597"
"Albany, New York, United States","42.64354","-73.75743","Urbang3m 2 lvl home 8ppl|Near Mansion|Yard|Grill","8","Entire townhouse",,"https://www.airbnb.com/rooms/50480764"
"Stuyvesant, New York, United States","42.41187","-73.76595","Rustic Cabin in the Country","7","Entire cabin","5","https://www.airbnb.com/rooms/20933615"
"Albany, New York, United States","42.64361","-73.75761","Beauty 2 lvl House | Near Mansion | Grill | 6 ppl","6","Entire townhouse",,"https://www.airbnb.com/rooms/50481099"
"Albany, New York, United States","42.65582","-73.78539","Homey","4","Entire rental unit",,"https://www.airbnb.com/rooms/42567833"
"Albany, New York, United States","42.64281","-73.75899","2Kings2Queens|NearMansion|Washer|Yard|14ppl","15","Entire townhouse","4.5","https://www.airbnb.com/rooms/50480092"
"Albany, New York, United States","42.64477","-73.75762","Beauty 2 LVL House| Near Mansion|Grill| 22+ ppl","16","Entire townhouse","4.5","https://www.airbnb.com/rooms/19762696"
"Durham, New York, United States","42.41073","-74.15465","Large 18th Century Home on Catskill Creek","8","Entire home","5","https://www.airbnb.com/rooms/43654178"
"Oak Hill , New York, United States","42.43737","-74.13477","Cozy Country House with a Creek","5","Entire home","5","https://www.airbnb.com/rooms/11147049"
"Albany, New York, United States","42.65203","-73.78571","Modernized City Home with Private Garden","6","Entire home","5","https://www.airbnb.com/rooms/27833958"
"Oak Hill, Durham, New York, United States","42.41075","-74.15262","Catskill Creek Cottage","8","Entire home","4.5","https://www.airbnb.com/rooms/13333228"
"Albany, New York, United States","42.65698","-73.77982","House On A Hill.  3 Private bedrooms. prtv bathrm.","4","Private room in home",,"https://www.airbnb.com/rooms/45334218"
"Greenville, New York, United States","42.41727","-74.00355","New Modern Peaceful Getaway At 18-Hole Golf Course","4","Entire cottage",,"https://www.airbnb.com/rooms/54340340"
"Schenectady, New York, United States","42.77843","-73.90995","High secured privacy.","6","Entire home",,"https://www.airbnb.com/rooms/720860860341179400"
"Greenville, New York, United States","42.42892","-74.06034","Charming Farmhouse on 21 Acres","9","Entire home","4.5","https://www.airbnb.com/rooms/19522197"
"Rensselaerville, New York, United States","42.5163","-74.12996","1830s Farmhouse - forests, gardens, and stream!","8","Entire home","5","https://www.airbnb.com/rooms/34231058"
"New Baltimore, New York, United States","42.45186","-73.78972","1890s 4-bedroom River View Home","8","Entire home","5","https://www.airbnb.com/rooms/50264132"
"Troy, New York, United States","42.731","-73.689","Downtown Splendor: Luxurious, Sauna, Park Free","10","Entire rental unit","5","https://www.airbnb.com/rooms/30580142"
"Albany, New York, United States","42.656","-73.762","Center Sq. Brownstone Luxury w/Wifi 24/7 Parking","2","Entire rental unit","5","https://www.airbnb.com/rooms/43459803"
"Albany, New York, United States","42.676","-73.824","/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths","10","Entire home","5","https://www.airbnb.com/rooms/11253948"
"Ravena, New York, United States","42.45906","-73.82004","Cozy cottage pet friendly hot tub South of Albany","4","Entire cottage","4.5","https://www.airbnb.com/rooms/28437222"
"Albany, New York, United States","42.674","-73.82","/Miller Colonial\ 1946 SUNY Eagle Hill 5Bed 2Baths","7","Entire home","5","https://www.airbnb.com/rooms/14989805"
"Westerlo, New York, United States","42.51128","-74.05332","Explore the Emerald Isle of the Catskills","6","Entire home","5","https://www.airbnb.com/rooms/40758703"
