"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Garden Township, Michigan, United States","46.08113","-86.58554","Heaven on Stevens Lake","12","Entire cabin","4.5","https://www.airbnb.com/rooms/23537201"
"Inwood Township, Michigan, United States","46.15835","-86.60152","Camel Rider’s Resort Cabin #2","8","Entire home","5","https://www.airbnb.com/rooms/45895833"
"Washington, Wisconsin, United States","45.35592","-86.92712","Harbor Inn Cabin sleeps 6 w lakefront access  FIND","6","Entire cabin","4.5","https://www.airbnb.com/rooms/49959285"
"Washington, Wisconsin, United States","45.35589","-86.92904","Harbor Inn Cabin sleeps 6 with lakefront access HE","6","Entire cabin","4.5","https://www.airbnb.com/rooms/49946403"
"Wetmore, Michigan, United States","46.15462","-86.60818","The Lost & Found","6","Entire cottage","5","https://www.airbnb.com/rooms/45859402"
"Washington Island, Wisconsin, United States","45.35376","-86.93079","Charming, Lakefront Home Off Main Road","8","Entire home","5","https://www.airbnb.com/rooms/43594167"
"Wetmore , Mi, United States","46.12114","-86.62081","Private get Away","8","Entire cottage","5","https://www.airbnb.com/rooms/39726177"
"Manistique, Michigan, United States","46.06636","-86.54663","Lakefront Cabin w/ Private Dock, Beach & Fire Pit!","8","Entire cabin","4.5","https://www.airbnb.com/rooms/27164546"
"wetmore, Michigan, United States","46.155","-86.614","U.P. Cabin lakefront ,Dock & WIFI & Pet friendly","7","Entire cabin","5","https://www.airbnb.com/rooms/16600716"
"Manistique, Michigan, United States","46.09619","-86.47657","Classic Cottage on Thunder Lake. Near Pic. Rocks","10","Entire cabin","5","https://www.airbnb.com/rooms/18543714"
"Bark River, Michigan, United States","45.63901","-87.19699","St Michael's in Cedar Dells Lakeside Resort #2","7","Entire home","5","https://www.airbnb.com/rooms/37249013"
"Cedar River (Upper Peninsula of Michigan), Michigan, United States","45.46748","-87.31923","Log House on Michigan Beach.   Weekly only.","6","Entire home","5","https://www.airbnb.com/rooms/2206832"
"Rapid River, Michigan, United States","45.8802","-86.60623","Isabella Shores - Beachfront Home & Winter Retreat","11","Entire cabin","5","https://www.airbnb.com/rooms/52675755"
"Gladstone, Michigan, United States","45.85156","-87.09261","Beautiful cottage on the River","10","Entire cottage","5","https://www.airbnb.com/rooms/37678380"
"Washington, Wisconsin, United States","45.37088","-86.92815","DeJardin's Island Cottages - Beach Bungalow","7","Entire cottage","5","https://www.airbnb.com/rooms/41256987"
"Cornell, Michigan, United States","45.9307","-87.35643","Log Cabin facing river","6","Entire home","5","https://www.airbnb.com/rooms/13414917"
"Gladstone, Michigan, United States","45.83886","-87.02498","Cozy large guesthouse with a view of the bay.","10","Entire cottage","5","https://www.airbnb.com/rooms/16976098"
"Washington, Wisconsin, United States","45.37099","-86.92873","DeJardin's Island Cottages - Sportsman's Retreat","7","Entire cottage","5","https://www.airbnb.com/rooms/41256983"
"Bark River, Michigan, United States","45.64447","-87.18943","St. Michaels in Cedar Dells Lakeside Resort #1","6","Entire home","5","https://www.airbnb.com/rooms/23234416"
"Washington, Wisconsin, United States","45.37033","-86.85318","Hummingbird Cottage on Washington Island","6","Entire cottage","5","https://www.airbnb.com/rooms/49389418"
"Washington, Wisconsin, United States","45.3964","-86.94835","Bay Farm Lake Cottage","2","Entire guesthouse","5","https://www.airbnb.com/rooms/14443055"
"Rapid River, Michigan, United States","45.82903","-86.90232","Rapid River Log Cabin w/Loft on 160 Scenic Acres!","8","Entire cabin",,"https://www.airbnb.com/rooms/20536527"
"Gladstone, Michigan, United States","45.88128","-87.00221","Gladstone home near Little Bay de Noc","6","Entire home","5","https://www.airbnb.com/rooms/49442158"
"Garden, Michigan, United States","45.8037","-86.57077","Lake House with a view!","4","Entire cottage","4.5","https://www.airbnb.com/rooms/47386415"
"Escanaba, Michigan, United States","45.69564","-87.0991","Perfect getaway, extended stay or retreat","12","Entire home","5","https://www.airbnb.com/rooms/12682931"
