"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Elkhorn, Wisconsin, United States","42.717","-88.542","Ye Olde Manor House Lake View Room","3","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/1200123"
"Williams Bay, Wisconsin, United States","42.57776","-88.52501","Geneva Lake Cabin in Williams Bay","4","Entire cabin","4.5","https://www.airbnb.com/rooms/13342847"
"Delavan, Wisconsin, United States","42.616","-88.585","121- Cheerful 2 Bedroom Lake View Condo w/Patio","8","Private room in resort","5","https://www.airbnb.com/rooms/32913141"
"Delavan, Wisconsin, United States","42.616","-88.585","223- Premium Lakefront Two Bedroom Condo Suite","7","Private room in resort",,"https://www.airbnb.com/rooms/32941587"
"Delavan, Wisconsin, United States","42.616","-88.585","217- One Bedroom Lake View Condo Suite","4","Private room in resort",,"https://www.airbnb.com/rooms/32940543"
"Delavan, Wisconsin, United States","42.616","-88.585","327- Two Bedroom Suite w/Lake Views from Balcony","6","Private room in resort",,"https://www.airbnb.com/rooms/32956195"
"Lake Geneva, Wisconsin, United States","42.61333","-88.48355","Cherry Lower Unit  (2bedroom) garden unit","4","Entire guest suite","3.5","https://www.airbnb.com/rooms/47205846"
"Delavan, Wisconsin, United States","42.616","-88.585","209- Premium Lakefront Condo","6","Private room in resort",,"https://www.airbnb.com/rooms/32939979"
"Fontana-on-Geneva Lake, Wisconsin, United States","42.545","-88.576","Stylish Fontana Condo Near Lakes, Outdoor Pool, Ba","7","Entire condo","4.5","https://www.airbnb.com/rooms/50779849"
"Lake Geneva, Wisconsin, United States","42.59994","-88.43618","Pedal Inn II","6","Entire rental unit","5","https://www.airbnb.com/rooms/32587409"
"Delavan, Wisconsin, United States","42.616","-88.585","219- One Bedroom Lake View Condo Suite","4","Private room in resort",,"https://www.airbnb.com/rooms/32940861"
"Lake Geneva, Wisconsin, United States","42.58376","-88.42601","HOT TUB HOUSE","6","Entire home",,"https://www.airbnb.com/rooms/24163706"
"Fontana-on-Geneva Lake, Wisconsin, United States","42.54506","-88.54844","Lake House on Lake Geneva","7","Entire home","4.5","https://www.airbnb.com/rooms/7952105"
"Lake Geneva, Wisconsin, United States","42.59666","-88.43463","Medusa Downtown Suites 2 and 3","14","Entire rental unit","5","https://www.airbnb.com/rooms/31352405"
"Williams Bay, Wisconsin, United States","42.57952","-88.55748","Williams Bay Lake Geneva WI Year Round GetAway","10","Entire home","4.5","https://www.airbnb.com/rooms/31864875"
"Delavan, Wisconsin, United States","42.616","-88.585","319- Modern 2 Bed Lake View Condo w/Gorgeous Views","6","Private room in resort","5","https://www.airbnb.com/rooms/32954167"
"Lake Geneva, Wisconsin, United States","42.588","-88.43","HAZEL'S HIDEAWAY - A Downtown Lake Geneva Gem!","10","Entire townhouse","5","https://www.airbnb.com/rooms/31466161"
"Delavan, Wisconsin, United States","42.616","-88.585","119- 1 Bedroom Lakeview Suite","4","Private room in resort",,"https://www.airbnb.com/rooms/32912716"
"Lake Geneva, Wisconsin, United States","42.593","-88.435","Downtown Nautical Cottage on Geneva Street","10","Entire rental unit","5","https://www.airbnb.com/rooms/43602738"
"Lake Geneva, Wisconsin, United States","42.60986","-88.47257","3 bed - Beautiful Lakehouse","6","Entire home","4.5","https://www.airbnb.com/rooms/35346203"
"Delavan, Wisconsin, United States","42.616","-88.585","305- Sunny 2 Bedroom/2 Level Condo Suite","6","Private room in resort",,"https://www.airbnb.com/rooms/32950588"
"Elkhorn, Wisconsin, United States","42.67088","-88.56493","Spacious Family Getaway, Near Lake Geneva/Delavan","8","Entire home","4.5","https://www.airbnb.com/rooms/50144873"
"Delavan, Wisconsin, United States","42.616","-88.585","123- Premium Lake View Condo Suite","8","Private room in resort",,"https://www.airbnb.com/rooms/41348137"
"Fontana-on-Geneva Lake, Wisconsin, United States","42.54526","-88.57578","Lovely Updated Fontana Condo near Geneva Lake","6","Entire condo",,"https://www.airbnb.com/rooms/43196907"
"Delavan, Wisconsin, United States","42.616","-88.585","301 - Nautical 2 Bedroom/2 Level Condo Suite","6","Private room in resort","5","https://www.airbnb.com/rooms/32942990"
