"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Sioux Falls, South Dakota, United States","43.51599","-96.78349","5 Bedrooms and a Great Location","10","Entire home","5","https://www.airbnb.com/rooms/20439869"
"Sioux Falls, South Dakota, United States","43.53349","-96.72752","Historic McKennan Park Tudor KP1404 (2 Bed 1 Bath)","4","Entire home","5","https://www.airbnb.com/rooms/28777285"
"Sioux Falls, South Dakota, United States","43.53247","-96.72858","Beautiful Historic McKennan Park Tudor KP1400 (4 B","8","Entire home","4.5","https://www.airbnb.com/rooms/18958472"
"Humboldt, South Dakota, United States","43.64598","-97.08986","Last call lodge","6","Room in hotel","4.5","https://www.airbnb.com/rooms/15865273"
"Sioux Falls, South Dakota, United States","43.539","-96.726","Jasper Stone B&B—Upper 2 Bedrooms & Vintage Bath","5","Private room in home","5","https://www.airbnb.com/rooms/4092654"
"Sioux Falls, South Dakota, United States","43.54745","-96.73416","Historic Home close to Downtown","8","Entire home",,"https://www.airbnb.com/rooms/3820872"
"Sioux Falls, South Dakota, United States","43.53047","-96.71422","Furnished 2BR 2Bath Loft Apt","8","Entire loft","4.5","https://www.airbnb.com/rooms/15036770"
"Sioux Falls, South Dakota, United States","43.51741","-96.78303","Five Bedrooms and a Great Location","10","Entire home","5","https://www.airbnb.com/rooms/34889626"
"Sioux Falls, South Dakota, United States","43.54744","-96.73379","KP117 Historic Victorian Inn Upper Lofts (3rd Floo","9","Private room in home","5","https://www.airbnb.com/rooms/28988437"
"Sioux Falls, South Dakota, United States","43.53241","-96.72773","Historic McKennan Park Tudor KP1404 (5 Bed 2 Bath)","14","Entire home","4.5","https://www.airbnb.com/rooms/28446098"
"Hartford, South Dakota, United States","43.5314","-96.96787","Lakeside Getaway Just West of Sioux Falls","12","Entire home","5","https://www.airbnb.com/rooms/35012009"
"Sioux Falls, South Dakota, United States","43.53405","-96.72762","McKennan Park Poolside Oasis!","10","Entire home","4.5","https://www.airbnb.com/rooms/51087052"
"Sioux Falls, South Dakota, United States","43.5383","-96.81927","Stylish & Fully Upgraded 4 bed, 2 bath, 3 Stall","7","Entire home","5","https://www.airbnb.com/rooms/53445178"
"Sioux Falls, South Dakota, United States","43.55851","-96.68516","Design Cozy New 3King1Queen 3bath&Valley backyard.","10","Entire home","5","https://www.airbnb.com/rooms/47252620"
"Sioux Falls, South Dakota, United States","43.51592","-96.61028","8 ACRES w/POND & Outdoor Fireplace &Indoor HOT TUB","9","Entire home","5","https://www.airbnb.com/rooms/25264246"
"Renner, South Dakota, United States","43.65193","-96.75465","RIVER VALLEY RETREAT","10","Entire home","5","https://www.airbnb.com/rooms/39953085"
"Sioux Falls, South Dakota, United States","43.53771","-96.72543","Jasper Stone B&B—Whole House—Main & Upper Levels","10","Entire home","5","https://www.airbnb.com/rooms/43752777"
"Sioux Falls, South Dakota, United States","43.60485","-96.88265","Unique Home Where The Buffalo Roam Boat RV parking","16","Entire home","4.5","https://www.airbnb.com/rooms/41966882"
"Sioux Falls, South Dakota, United States","43.54842","-96.73391","Historic Victorian Inn (1st/2nd Floors) 5bed 5bath","10","Private room in home",,"https://www.airbnb.com/rooms/43508198"
"Sioux Falls, South Dakota, United States","43.53416","-96.7493","Upper West Villa-by Sanford,MidcoAqu.&CountryClub","6","Entire rental unit","5","https://www.airbnb.com/rooms/47799985"
"Sioux Falls, South Dakota, United States","43.55108","-96.73503","Unique, historic apt near downtown Sioux Falls","8","Entire rental unit","5","https://www.airbnb.com/rooms/13846742"
"Sioux Falls, South Dakota, United States","43.51846","-96.83638","Wisdom Place Extended Stays #3","2","Private room in townhouse","4.5","https://www.airbnb.com/rooms/49852266"
"Sioux Falls, South Dakota, United States","43.55622","-96.67495","Entire main floor","8","Entire home","5","https://www.airbnb.com/rooms/19553344"
"Sioux Falls, South Dakota, United States","43.53352","-96.72741","AFRICA Themed Furnished 1 BR Apt","2","Entire rental unit","5","https://www.airbnb.com/rooms/14947560"
"Sioux Falls, South Dakota, United States","43.526","-96.693","Newly Remodeled Modern Duplex","6","Entire townhouse","5","https://www.airbnb.com/rooms/41965191"
