"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"New York, United States","40.75275","-73.9933","AMAZING view in ultra luxury midtown apartment!","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/50902552"
"Jersey City, New Jersey, United States","40.725","-74.036","Exclusive 2BR |J.C. +Pool & Gym!Close to Hospitals","5","Entire serviced apartment",,"https://www.airbnb.com/rooms/21826420"
"Brooklyn, New York, United States","40.68359","-73.92384","Luxury Townhouse in the Heart of Bedstuy Brooklyn","2","Private room in townhouse",,"https://www.airbnb.com/rooms/17831562"
"New York, United States","40.77777","-73.97583","Luxury 1,234 sq ft apt brownstone apartment on UWS","6","Entire rental unit","5","https://www.airbnb.com/rooms/51935625"
"New York, United States","40.716","-73.995","Leon Hotel LES","6","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/42279171"
"New York, United States","40.80898","-73.93804","Madison Ave 4 Bedroom Triplex","12","Entire townhouse","5","https://www.airbnb.com/rooms/45203174"
"Brooklyn, New York, United States","40.68391","-73.9919","Cool town house","6","Entire townhouse","5","https://www.airbnb.com/rooms/19387694"
"New York, United States","40.76195","-73.97595","Sonder Chambers | Queen Room w/ Courtyard View","2","Room in boutique hotel","5","https://www.airbnb.com/rooms/48586222"
"Queens, New York, United States","40.59837","-73.75924","Rockaway Historic Retreat | 4 BR, 2.5 Bath Retreat","10","Entire home","5","https://www.airbnb.com/rooms/52360862"
"New York, United States","40.71111","-74.00902","Sonder City Hall Park | Accessible Studio Apartment","2","Entire rental unit","5","https://www.airbnb.com/rooms/48938639"
"New York, United States","40.7666","-73.96208","Spacious & Modern 3 bedroom Duplex","7","Entire rental unit","4.5","https://www.airbnb.com/rooms/53570977"
"New York, United States","40.74074","-73.99007","Stunning Full-Floor Loft w/Private Patio Flatiron","3","Entire loft","5","https://www.airbnb.com/rooms/43513173"
"Jersey City, New Jersey, United States","40.725","-74.036","Spacious JC 2BR | Amenities | Family Friendly","5","Entire serviced apartment","4.5","https://www.airbnb.com/rooms/21858483"
"Queens, New York, United States","40.75275","-73.93879","Cosy Room in Long Island City","2","Private room in home","4.5","https://www.airbnb.com/rooms/52194261"
"New York, United States","40.79516","-73.97521","Comfortable stay in Upper West Side with Studio","1","Entire rental unit",,"https://www.airbnb.com/rooms/52926435"
"New York, United States","40.74629","-73.98688","Hidden Treasure Midtown Duplex Studio","8","Entire rental unit","5","https://www.airbnb.com/rooms/49946348"
"New York, United States","40.72422","-74.00509","3 bedroom 2 bathroom luxury SoHo Loft","6","Entire loft",,"https://www.airbnb.com/rooms/22524272"
"Brooklyn, New York, United States","40.67402","-73.96083","Bright Penthouse with 3 Terraces by Prospect Park","5","Entire condo","5","https://www.airbnb.com/rooms/48397375"
"Brooklyn, New York, United States","40.71618","-73.94071","2000sqf Modern Loft style Townhouse Williamsburg","8","Entire home","5","https://www.airbnb.com/rooms/25580113"
"New York, United States","40.71969","-73.99404","Two Bedroom in a townhouse with a patio in Nolita!","4","Entire rental unit","5","https://www.airbnb.com/rooms/6333994"
"Brooklyn, New York, United States","40.66801","-73.975","Prime Location, Park Slope. Family amenities (4BR)","7","Entire rental unit","4.5","https://www.airbnb.com/rooms/12846048"
"New York, United States","40.73145","-73.98725","NYC East village luxury apt","2","Entire rental unit",,"https://www.airbnb.com/rooms/18547663"
"New York, United States","40.767","-73.97","Upscale Designer Studio-1 block from Central Park","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/1056445"
"Brooklyn, New York, United States","40.71831","-73.95713","Dream W’burg Retreat in Massive, Sunny 2BR!","4","Entire rental unit",,"https://www.airbnb.com/rooms/50973336"
"New York, United States","40.76028","-73.99501","New York - Theatre District Luxury Building","3","Entire rental unit",,"https://www.airbnb.com/rooms/8365750"
