"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Portsmouth, New Hampshire, United States","43.08001","-70.76673","Serene Waterfront Studio in Downtown Portsmouth","2","Entire rental unit","5","https://www.airbnb.com/rooms/49518731"
"Exeter, New Hampshire, United States","42.985","-70.96","A True New Englander Home in Historic Exeter, NH","6","Entire home","5","https://www.airbnb.com/rooms/5814256"
"Rye Beach, New Hampshire, United States","42.97911","-70.76948","Bright and spacious guest suite in classic home","4","Entire guest suite","5","https://www.airbnb.com/rooms/8718885"
"York, Maine, United States","43.166","-70.617","Rising Tide at Long Sands Beach!","5","Entire condo","5","https://www.airbnb.com/rooms/53476814"
"Salisbury, Massachusetts, United States","42.845","-70.819","Beach House","5","Entire rental unit","5","https://www.airbnb.com/rooms/27026828"
"Ogunquit, Maine, United States","43.24872","-70.59924","Twenty Shore - 3 Sun Suite","4","Entire rental unit","5","https://www.airbnb.com/rooms/17421230"
"York, Maine, United States","43.13492","-70.63854","Main Inn - Ocean View Deck - York Harbor Inn","2","Room in boutique hotel","5","https://www.airbnb.com/rooms/33363877"
"Amesbury, Massachusetts, United States","42.85281","-70.9247","The Songwriters Muse - Entire Apt w/ Private Entry","5","Entire guest suite","5","https://www.airbnb.com/rooms/26594231"
"Ogunquit, Maine, United States","43.24242","-70.59686","249 Shore - #5","5","Entire condo",,"https://www.airbnb.com/rooms/30344981"
"Hampton, New Hampshire, United States","42.909","-70.812","Newly Renovated Unit in the heart of Hampton Beach","4","Entire condo","5","https://www.airbnb.com/rooms/18188173"
"York, Maine, United States","43.15114","-70.62675","Breezy bright ocean view cottage","4","Entire cottage","5","https://www.airbnb.com/rooms/36967387"
"York, Maine, United States","43.16708","-70.6223","Charming dog-friendly home w/private grill and ocean views from the street","11","Entire home","4.5","https://www.airbnb.com/rooms/40704230"
"Hampton, New Hampshire, United States","42.91412","-70.81103","100 yards to Hampton Beach -1 car. 4 guest","4","Entire condo","5","https://www.airbnb.com/rooms/12055294"
"Hampton, New Hampshire, United States","42.91012","-70.81532","Town House two blocks from Hampton Beach!","4","Entire townhouse","4.5","https://www.airbnb.com/rooms/49335570"
"Hampton, New Hampshire, United States","42.90605","-70.81616","Newly Updated Beach House One Block From the Beach","10","Entire home","5","https://www.airbnb.com/rooms/50155821"
"Hampton, New Hampshire, United States","42.9196","-70.80033","Hampton Beach Deck view","4","Entire condo",,"https://www.airbnb.com/rooms/48523803"
"York, Maine, United States","43.17384","-70.62288","Spacious cottage in York Beach, ME","8","Entire cottage","5","https://www.airbnb.com/rooms/29987140"
"Cape Neddick, Maine, United States","43.194","-70.621","Cal Mar Cottage","6","Entire cottage","5","https://www.airbnb.com/rooms/5102258"
"York, Maine, United States","43.1347","-70.63501","Cozy Beach Cottage - York Harbor Maine","2","Entire guesthouse","5","https://www.airbnb.com/rooms/24648930"
"York, Maine, United States","43.1536","-70.62561","Long Sands Beach - Ocean View from Deck - Unit 2","10","Entire townhouse","4.5","https://www.airbnb.com/rooms/20902729"
"Hampton, New Hampshire, United States","42.9145","-70.80983","Nautical summer cottage awaits your next vacation","8","Entire cottage","5","https://www.airbnb.com/rooms/36523446"
"Wells, Maine, United States","43.27137","-70.59838","Come Have a Maine Adventure—Brand New Condo","6","Entire condo","4.5","https://www.airbnb.com/rooms/39036547"
"Hampton, New Hampshire, United States","42.915","-70.812","Schooner is steps to beach + WIFI","8","Entire cottage","4.5","https://www.airbnb.com/rooms/3936911"
"York, Maine, United States","43.17757","-70.60914","Beautiful, dog-friendly Victorian with a porch & large yard - near the beach","10","Entire home","4","https://www.airbnb.com/rooms/43664925"
"Hampton, New Hampshire, United States","42.90699","-70.81227","4 bedroom beach cottage 1/2 a block from beach","8","Entire rental unit","4.5","https://www.airbnb.com/rooms/18764173"
