"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"South Lake Tahoe, California, United States","38.864","-119.998","Upgraded Mountain Chalet  3 Bedrooms Plus Hot Tub","8","Entire chalet","4.5","https://www.airbnb.com/rooms/29653097"
"South Lake Tahoe, California, United States","38.92598","-120.00257","South Tahoe Getaway","6","Entire cabin","4.5","https://www.airbnb.com/rooms/22980654"
"Stateline, Nevada, United States","38.95984","-119.88364","Ridge Tahoe Resort Dec 24to Jan 1 2023 (8 nights!)","4","Entire guest suite",,"https://www.airbnb.com/rooms/50343000"
"Auburn, California, United States","38.89386","-121.07855","King Suite - Park Victorian Chana Room","2","Room in boutique hotel","5","https://www.airbnb.com/rooms/22227417"
"South Lake Tahoe, California, United States","38.929","-120.015","Mountain Vistas+Keys, Ski Lease, Dock, 30-90 days","10","Entire home","5","https://www.airbnb.com/rooms/41737798"
"Stateline, Nevada, United States","38.97414","-119.8876","Tahoe Red Cabin 3BR/2BA with Private Hot Tub","6","Entire cabin","5","https://www.airbnb.com/rooms/18957735"
"Stateline, Nevada, United States","38.96496","-119.88357","Short walk to ski Heavenly! Ground floor (rare)","6","Entire condo","5","https://www.airbnb.com/rooms/43729783"
"South Lake Tahoe, California, United States","38.89118","-119.98464","Pine Mountain Paradise - Pool Table & Hot Tub","10","Entire home","4.5","https://www.airbnb.com/rooms/26011212"
"Tahoma, California, United States","39.064","-120.139","West Shore Lake Tahoe Chalet 3bd/2bth, Sleeps 8","8","Entire chalet","5","https://www.airbnb.com/rooms/836632"
"South Lake Tahoe, California, United States","38.95577","-119.94632","Original Tahoe Cabin Walk to Beach","6","Entire cabin","5","https://www.airbnb.com/rooms/43728652"
"Stateline, Nevada, United States","38.96037","-119.88932","ONE BEDROOM SUITE AT HEAVENLY LT#25","4","Entire condo",,"https://www.airbnb.com/rooms/4447729"
"South Lake Tahoe, California, United States","38.87765","-120.04011","3B+Loft Home w/3 Decks and Hot Tub","8","Entire home","5","https://www.airbnb.com/rooms/2808897"
"South Lake Tahoe, California, United States","38.90451","-119.97738","Tahoe Chalet w/ hot tub-close to beach & skiing","8","Entire chalet","5","https://www.airbnb.com/rooms/28784195"
"Stateline, Nevada, United States","38.961","-119.884","Ski-in Executive Retreat #2","2","Entire serviced apartment","5","https://www.airbnb.com/rooms/2392372"
"Auburn, California, United States","38.91734","-121.05113","Cozy Canyon Cottage close to town","3","Entire guesthouse","5","https://www.airbnb.com/rooms/31641888"
"Tahoma, California, United States","39.067","-120.136","HOT TUB! Great spot for group! Great back yard wit","6","Entire cabin","4.5","https://www.airbnb.com/rooms/46394998"
"South Lake Tahoe, California, United States","38.939","-120.006","Tahoe Marina Shores+Ski Lease, Dock, 30-90 days!","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/4872671"
"South Lake Tahoe, California, United States","38.942","-119.973","Cozy Cabin W/Hottub,Fireplace& Lake","4","Entire cabin","5","https://www.airbnb.com/rooms/2160915"
"Stateline, Nevada, United States","38.964","-119.887","Tahoe Mountain Condo with Filtered Lake Views","8","Entire home","5","https://www.airbnb.com/rooms/52651198"
"Stateline, Nevada, United States","38.97586","-119.88887","3BR/2BA Ski & Hiking Townhome Near Heavenly!","8","Entire townhouse","5","https://www.airbnb.com/rooms/41371081"
"Tahoma, California, United States","39.0339","-120.11837","Irongate Lodge","6","Entire cabin","4.5","https://www.airbnb.com/rooms/4456609"
"South Lake Tahoe, California, United States","38.91238","-120.01345","Romantic Cabin w/ Hot Tub & Lg Deck","8","Entire chalet","5","https://www.airbnb.com/rooms/2387587"
"South Lake Tahoe, California, United States","38.86574","-120.03262","The Moose Haven","6","Entire home",,"https://www.airbnb.com/rooms/51688194"
"Foresthill, California, United States","39.02137","-120.81337","The Old Farm House - Getaway for two","2","Entire home",,"https://www.airbnb.com/rooms/49337107"
