"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Somerset, Pennsylvania, United States","40.06687","-79.24281","Laurel Highlands Mountaintop House","10","Entire chalet","5","https://www.airbnb.com/rooms/833736"
"Rockwood, Pennsylvania, United States","39.93014","-79.19258","Cozy Chic Cottage on  Christmas Tree Farm","6","Entire home","5","https://www.airbnb.com/rooms/43194084"
"Middlecreek Township , Pennsylvania, United States","40.014","-79.292","MLK Avail. Ski in & Out Premium Condo at 7 Springs","6","Entire condo","5","https://www.airbnb.com/rooms/16779088"
"Champion, Pennsylvania, United States","40.04277","-79.34503","Tall Cedar Chalet is a rustic, private 1 acre home","6","Entire chalet","4.5","https://www.airbnb.com/rooms/22917097"
"Champion, Pennsylvania, United States","40.0178","-79.29686","Ski In-out 3BR-2Bath condo-Stoneridge, 7 Springs","8","Entire condo","4.5","https://www.airbnb.com/rooms/31116017"
"Hidden Valley, Pennsylvania, United States","40.061","-79.258","Townhouse with stunning views","6","Entire townhouse","5","https://www.airbnb.com/rooms/5229814"
"Champion, Pennsylvania, United States","40.00825","-79.28592","Relaxing Mountain Getaway","7","Entire condo",,"https://www.airbnb.com/rooms/40483563"
"Donegal, Pennsylvania, United States","40.09358","-79.36643","Baneberry Meadows Farm House","6","Farm stay",,"https://www.airbnb.com/rooms/51538566"
"Stahlstown, Pennsylvania, United States","40.13765","-79.35849","Davids Spacious Cabin","6","Entire home","4.5","https://www.airbnb.com/rooms/22343601"
"Hidden Valley, Pennsylvania, United States","40.05178","-79.25524","Amazing 3Br - Fall Foliage","12","Entire condo","4.5","https://www.airbnb.com/rooms/11973051"
"Champion, Pennsylvania, United States","40.06847","-79.35021","Fox Tail Chalet at Claycomb Chalets","7","Entire chalet","5","https://www.airbnb.com/rooms/20031639"
"Ligonier, Pennsylvania, United States","40.26848","-79.29521","Waterfront Buttermilk Falls Cabin","5","Entire cabin","5","https://www.airbnb.com/rooms/28784442"
"Confluence, Pennsylvania, United States","39.77636","-79.40774","Gorgeous Mountain Home 1 Min from Lake","12","Entire home","5","https://www.airbnb.com/rooms/15917830"
"Donegal, Pennsylvania, United States","40.09631","-79.35392","Cozy Mountain  House - 3 Bedroom","9","Entire home","5","https://www.airbnb.com/rooms/90309"
"Champion, Pennsylvania, United States","40.06829","-79.35109","Luna Chalet at Claycomb Chalets","7","Entire chalet","5","https://www.airbnb.com/rooms/9051313"
"Somerset, Pennsylvania, United States","40.0444","-79.21703","Mount Zion (5br) NEW ski home","16","Entire home","4.5","https://www.airbnb.com/rooms/53737839"
"Champion, Pennsylvania, United States","40.02806","-79.28402","Condo with a view","4","Entire condo","4.5","https://www.airbnb.com/rooms/40756509"
"Schellsburg, Pennsylvania, United States","40.042","-78.68","Quiet Farm House on Bison Farm","10","Entire home","5","https://www.airbnb.com/rooms/36476221"
"Jennerstown, Pennsylvania, United States","40.16243","-79.06222","Fair Oaks","4","Entire cottage","4.5","https://www.airbnb.com/rooms/2434933"
"Stahlstown, Pennsylvania, United States","40.12953","-79.35836","Shearer Mountain Chalet","6","Entire rental unit","5","https://www.airbnb.com/rooms/39528092"
"Salisbury, Pennsylvania, United States","39.7605","-79.07764","""Glamping"" at Tall Pines Distillery","4","Camper/RV","5","https://www.airbnb.com/rooms/48399297"
"Champion, Pennsylvania, United States","40.06712","-79.35117","Bear Claw Chalet at Claycomb Chalets","7","Entire chalet","5","https://www.airbnb.com/rooms/31617618"
"Confluence, Pennsylvania, United States","39.808","-79.36313","Riverfront Lodge","8","Entire home","4.5","https://www.airbnb.com/rooms/33338679"
"Champion, Pennsylvania, United States","40.04096","-79.34617","Smiling Mountain Lodge","12","Entire chalet","5","https://www.airbnb.com/rooms/8207436"
"Champion, Pennsylvania, United States","40.0195","-79.28311","The JEMRAK at Seven Springs","8","Entire townhouse","5","https://www.airbnb.com/rooms/44630869"
