"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Incline Village, Nevada, United States","39.257","-119.93","Juniper by AvantStay | Incredible Mountainside Home w/ Incredible Lake Views!","9","Entire cabin","4.5","https://www.airbnb.com/rooms/43509119"
"Incline Village, Nevada, United States","39.243","-119.94643","Bear Den & Tahoe Decor! Walk everywhere! Hot tub!","5","Entire condo","5","https://www.airbnb.com/rooms/28612164"
"Incline Village, Nevada, United States","39.247","-119.956","Beautiful Townhouse, close to the lake and Hyatt.","6","Entire townhouse","5","https://www.airbnb.com/rooms/21186016"
"Reno, Nevada, United States","39.51283","-119.79606","Stylish & Modern 3 bed/2 bath Home Near Midtown","6","Entire home","5","https://www.airbnb.com/rooms/32813000"
"Incline Village, Nevada, United States","39.24465","-119.93575","Dog-friendly mountain getaway near skiing & lake w/water views & private balcony","5","Entire condo","4","https://www.airbnb.com/rooms/50176465"
"Sparks, Nevada, United States","39.55927","-119.77313","Rising Above Reno-Casa del Sol,  up to 13 guest","12","Entire home","5","https://www.airbnb.com/rooms/34512794"
"Incline Village, United States","39.26422","-119.95858","829 Ellen Court - Mountain Home","6","Entire home","5","https://www.airbnb.com/rooms/23546941"
"Incline Village, Nevada, United States","39.24541","-119.94919","Incline Village Mountain Condo","6","Entire condo","5","https://www.airbnb.com/rooms/46101835"
"Incline Village, Nevada, United States","39.24515","-119.93545","Two-Level Condo w/Shared Outdoor Pool, Free WiFi, Fireplace, & Washer/Dryer","6","Entire condo","5","https://www.airbnb.com/rooms/50176514"
"Reno, Nevada, United States","39.52357","-119.82408","Best location in Reno. Next to the Hub Coffee.","2","Private room in home","4.5","https://www.airbnb.com/rooms/2207558"
"Reno, Nevada, United States","39.52605","-119.81749","2bdm-sleeps6 Reno WM Resort","6","Entire condo","5","https://www.airbnb.com/rooms/16909637"
"Reno, Nevada, United States","39.52645","-119.8184","1 Bedroom - Biggest Little City in the World, Reno","4","Entire rental unit",,"https://www.airbnb.com/rooms/51846104"
"Incline Village, Nevada, United States","39.24305","-119.95356","Spacious Incline Village Townhome Close to Lake","6","Entire condo","5","https://www.airbnb.com/rooms/29850414"
"Reno, Nevada, United States","39.52245","-119.81446","2 Family-Friendly Units, Indoor Pool and Sauna!","12","Room in hotel",,"https://www.airbnb.com/rooms/52376601"
"Reno, Nevada, United States","39.52176","-119.81445","Two Great Units, Onsite Parking and Indoor Pool!","12","Room in hotel",,"https://www.airbnb.com/rooms/52376597"
"Incline Village, Nevada, United States","39.24699","-119.93241","Great location Incline Village","6","Entire townhouse","5","https://www.airbnb.com/rooms/49542006"
"Reno, Nevada, United States","39.52348","-119.87234","BurningMan Clean Guest bedroom 3 mile to downtown!","2","Private room in home",,"https://www.airbnb.com/rooms/28006012"
"Incline Village, Nevada, United States","39.25273","-119.96062","Sleek Modern Condo in the Heart of Incline Village","4","Entire condo","4.5","https://www.airbnb.com/rooms/28159961"
"Reno, Nevada, United States","39.52263","-119.8143","2 Comfy Units w/ Kitchenettes, FREE Parking, Pool!","12","Room in hotel",,"https://www.airbnb.com/rooms/46028415"
"Incline Village, Nevada, United States","39.24489","-119.95151","Vellamo: Family friendly getaway in Forest Pines","6","Entire townhouse","5","https://www.airbnb.com/rooms/48974324"
"Incline Village, Nevada, United States","39.2504","-119.95839","Modern Deluxe 4 BD/3.5 BA Condo","6","Entire townhouse","5","https://www.airbnb.com/rooms/24699306"
"Incline Village, Nevada, United States","39.26241","-119.95283","Secluded Magical Cottage, Beach Access, Sleeps 6!","6","Entire cottage","5","https://www.airbnb.com/rooms/21900204"
"Incline Village, Nevada, United States","39.24541","-119.95586","Quiet Condo,In the heart of Incline","6","Entire home","5","https://www.airbnb.com/rooms/11531875"
"Incline Village, Nevada, United States","39.25","-119.96","Modern Mountain Retreat","6","Entire townhouse","5","https://www.airbnb.com/rooms/45173094"
"Incline Village, Nevada, United States","39.26411","-119.95367","BEAUTIFUL  CATHEDRAL CEILING TOWNHOME!","6","Entire condo","5","https://www.airbnb.com/rooms/49947049"
