"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Wurtsboro, New York, United States","41.59989","-74.54735","Beautiful Mountain Retreat - Wurstboro, NY","6","Entire chalet","5","https://www.airbnb.com/rooms/39892898"
"Barryville, New York, United States","41.48521","-74.88573","House near Delaware River w/ hot tub on 10 acres!","6","Entire home","5","https://www.airbnb.com/rooms/49271824"
"Glen Spey, New York, United States","41.48008","-74.81105","Enchanted ForRest Treehouse (Waterfront Property)","4","Entire guest suite","5","https://www.airbnb.com/rooms/30395524"
"Pond Eddy, New York, United States","41.43317","-74.83021","Delaware River house on scenic US 97/Pellet Stove","8","Entire home","5","https://www.airbnb.com/rooms/45455403"
"Woodbourne, New York, United States","41.80058","-74.55155","Cheerful 3-bedroom Cabin in the Woods with a Pool","10","Entire cabin","5","https://www.airbnb.com/rooms/50657071"
"Barryville, New York, United States","41.47135","-74.88691","3-Bedroom home in the Catskills","10","Entire home","5","https://www.airbnb.com/rooms/47731635"
"Lake Huntington, New York, United States","41.68314","-74.99162","Couples Luxury on Lake Huntington #2","2","Entire rental unit","5","https://www.airbnb.com/rooms/45899403"
"Roscoe, New York, United States","41.91182","-75.01211","Beautiful remote Catskills retreat.","6","Entire cabin","5","https://www.airbnb.com/rooms/7364475"
"Middletown, New York, United States","41.4484","-74.49416","🌊Quiet country escape steps from easy Lake hike🏞","8","Entire home","5","https://www.airbnb.com/rooms/53953099"
"Lake Huntington, New York, United States","41.68347","-74.99194","Couples Luxury on Lake Huntington","2","Entire rental unit","5","https://www.airbnb.com/rooms/44957679"
"Scotchtown, New York, United States","41.47664","-74.37679","Beautiful 1BR Condominium","2","Entire condo","4.5","https://www.airbnb.com/rooms/4149611"
"Livingston Manor, New York, United States","41.86721","-74.7886","Manor House renovated with rustic charm","10","Entire home","5","https://www.airbnb.com/rooms/52242010"
"Livingston Manor, New York, United States","41.92772","-74.77668","Stay Here & Never Leave! 40 Acres & Private Pond.","6","Entire home","5","https://www.airbnb.com/rooms/13556738"
"Woodridge, New York, United States","41.70284","-74.55972","Outlier Inn Cottage on Farm Upstate Catskills","8","Entire cottage","5","https://www.airbnb.com/rooms/186242"
"Monticello, New York, United States","41.66201","-74.81307","Cozy serene home 2 min walk from lake in Catskills","9","Entire cabin","5","https://www.airbnb.com/rooms/50992443"
"Cochecton, New York, United States","41.70896","-75.06209","Sweet old home between Callicoon & Narrowsburg","6","Entire home","5","https://www.airbnb.com/rooms/37631619"
"Callicoon, New York, United States","41.81438","-74.9999","The Guest House at Silent G Farms","4","Entire home","5","https://www.airbnb.com/rooms/5844372"
"Narrowsburg, New York, United States","41.59187","-75.01838","Beautiful 3 bedroom home in Narrowsburg","8","Entire home","5","https://www.airbnb.com/rooms/52932880"
"Youngsville, New York, United States","41.80268","-74.9114","The Carriage House","4","Entire cottage","5","https://www.airbnb.com/rooms/6447976"
"Smallwood, New York, United States","41.66438","-74.81746","Three bedroom Catskills cabin by Bethel Woods","6","Entire cabin","5","https://www.airbnb.com/rooms/18850528"
"Roscoe, New York, United States","41.88003","-74.93286","Secluded and charming house with view","6","Entire chalet","5","https://www.airbnb.com/rooms/26291202"
"Hawley, Pennsylvania, United States","41.50788","-75.12318","Beautiful Lakefront Chalet in the Poconos!","8","Entire home","5","https://www.airbnb.com/rooms/31420983"
"Hawley, Pennsylvania, United States","41.513","-75.076","4 Season Lakefront Vacation Home","8","Entire chalet","5","https://www.airbnb.com/rooms/20501657"
"South Fallsburg, New York, United States","41.70443","-74.6337","Perfect GetAway House in Catskills","6","Entire home",,"https://www.airbnb.com/rooms/47977487"
"Woodridge, New York, United States","41.70409","-74.55871","Outlier Inn Dome 2 Farm Upstate Catskills","2","Dome","5","https://www.airbnb.com/rooms/48728862"
