"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Coloma, California, United States","38.81377","-120.903","Riverfront in Coloma / Lotus","5","Entire home","5","https://www.airbnb.com/rooms/573378"
"Carnelian Bay, California, United States","39.21063","-120.09052","Cozy Lake Tahoe Cabin w/Views! Ski Palisades &NStr","6","Entire cabin","5","https://www.airbnb.com/rooms/26139101"
"Truckee, California, United States","39.31","-120.163","Quartz by AvantStay|10min to Ski, 15min to Lake!","8","Entire home","5","https://www.airbnb.com/rooms/50305794"
"Smartsville, California, United States","39.17712","-121.27752","Dream come True!  Ponds, Canoes, Horses and more!!","16","Farm stay","4.5","https://www.airbnb.com/rooms/45277834"
"Nevada City, California, United States","39.23553","-121.01941","The Eclipse House: Escape to the Trees","10","Entire home","5","https://www.airbnb.com/rooms/48923065"
"Homewood, California, United States","39.086","-120.161","Lakeside Villa Steps from Homewood","8","Entire villa","5","https://www.airbnb.com/rooms/35719273"
"Tahoe City, California, United States","39.14969","-120.14728","Charming mountain cottage","8","Entire cabin","5","https://www.airbnb.com/rooms/1678516"
"South Lake Tahoe, California, United States","38.849","-120.021","Cornelian Family Adventure in Tahoe- Spa, Pool Tbl","10","Entire home","5","https://www.airbnb.com/rooms/19163102"
"Olympic Valley, California, United States","39.1964","-120.23417","Squaw Valley, Village,lodge,Resort, ski in/out.","4","Entire condo","5","https://www.airbnb.com/rooms/22345464"
"Tahoe City, California, United States","39.19633","-120.23343","New Remodeled Squaw Valley Condo with Great View","5","Entire condo","5","https://www.airbnb.com/rooms/43497590"
"Agate Bay, California, United States","39.23071","-120.07362","Remodeled 3 Bedroom - Hot Tub, 2 Car Garage","8","Entire home","4.5","https://www.airbnb.com/rooms/9361878"
"Tahoma, California, United States","39.06014","-120.13259","Mountain retreat w/ private hot tub, deck, gas grill, & free WiFi","6","Entire home","4.5","https://www.airbnb.com/rooms/50566739"
"Carnelian Bay, California, United States","39.23089","-120.07441","Lloyds Lodge - Dog Friendly, Close to Gar Woods","12","Entire home","4.5","https://www.airbnb.com/rooms/21056851"
"Truckee, California, United States","39.274","-120.121","Big Horn Lodge 309 - Luxury Slopeside 1 Bedroom","4","Entire condo","5","https://www.airbnb.com/rooms/33970865"
"Tahoe City, California, United States","39.144","-120.154","Near Sunnyside, Tahoe City & Lake Tahoe","8","Entire home","5","https://www.airbnb.com/rooms/10709829"
"South Lake Tahoe, California, United States","38.869","-120.035","The Bear Cabin (with Game Room)","10","Entire home","4.5","https://www.airbnb.com/rooms/43898443"
"Carnelian Bay, California, United States","39.22939","-120.0759","Luxury Tahoe A-Frame Walking Distance To Lake","4","Entire home","5","https://www.airbnb.com/rooms/26539225"
"Carnelian Bay, California, United States","39.218","-120.092","Cozy Tahoe Solitude Cabin in Serene Forest","6","Entire chalet","4.5","https://www.airbnb.com/rooms/54044741"
"Homewood, California, United States","39.09487","-120.16544","Holiday Availability! Romantic Cottage with WiFi near Homewood Mountain Resort","2","Entire home",,"https://www.airbnb.com/rooms/44490750"
"Tahoe City, California, United States","39.137","-120.157","Honeymoon Cottage - Tahoe City, West Shore, Private Hot Tub, Dog Friendly","4","Entire cabin","4.5","https://www.airbnb.com/rooms/23274796"
"Carnelian Bay, California, United States","39.21205","-120.09415","Falcon's Rest- 2 Fireplaces- Great Outdoor Space- 1 Mile to Lake","4","Entire home",,"https://www.airbnb.com/rooms/49926595"
"Squaw Valley, California, United States","39.199","-120.235","Bright & Cozy Squaw Valley Condo with Free WiFi, Fireplace, and Deck","6","Entire condo","4.5","https://www.airbnb.com/rooms/16876136"
"Tahoma, California, United States","39.0611","-120.14913","Spacious Cozy Homewood Creekside Cabin","10","Entire cabin","4.5","https://www.airbnb.com/rooms/18180227"
"Tahoma, California, United States","39.05702","-120.12813","Classic West Shore Cabin w/Hot Tub, Walk to Lake!","8","Entire cabin","5","https://www.airbnb.com/rooms/47788000"
"Carnelian Bay, California, United States","39.23673","-120.07314","Cozy Carnelian Bay cabin","6","Entire home","5","https://www.airbnb.com/rooms/49841290"
