"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Cresco, Pennsylvania, United States","41.13602","-75.34094","Treehouse Chalet with Hot Tub & Creek & Skiing!","8","Entire chalet","5","https://www.airbnb.com/rooms/34899463"
"Pocono Summit, Pennsylvania, United States","41.129","-75.393","ForestLakehs/HotTub/Sauna/Firepit/Boat/Grtlocation","10","Entire home","5","https://www.airbnb.com/rooms/35611437"
"Bushkill, Pennsylvania, United States","41.16558","-74.96915","Majestic Lakefront, Ski, Indoor Pool, Fire Pit","10","Entire home","5","https://www.airbnb.com/rooms/24705759"
"Stroudsburg, Pennsylvania, United States","41.01705","-75.34519","Lake Cabin w/all the comforts none of the crowds","6","Entire cabin","5","https://www.airbnb.com/rooms/31801965"
"East Stroudsburg, Pennsylvania, United States","41.05165","-75.20598","Dog-Friendly Home w/ WiFi, Central AC, Electric Fireplaces, and Washer/Dryer!","9","Entire home",,"https://www.airbnb.com/rooms/53715297"
"Lake Harmony, Pennsylvania, United States","41.07255","-75.6116","Elegant Split Rock Resort Getaway: Fire Pit & A/C!","14","Entire home","5","https://www.airbnb.com/rooms/47844392"
"Bushkill, Pennsylvania, United States","41.13823","-75.04829","The Rustic Retreat","10","Entire home","5","https://www.airbnb.com/rooms/49885695"
"Tobyhanna, Pennsylvania, United States","41.19829","-75.38511","Perfect Home near all! Hot tub Game room firepit","16","Entire home","5","https://www.airbnb.com/rooms/50349709"
"Coolbaugh Township, Pennsylvania, United States","41.17011","-75.58057","Beautiful Cabin For Your Next Skiing Adventure","16","Entire cabin","5","https://www.airbnb.com/rooms/50090682"
"Stroudsburg, Pennsylvania, United States","41.01735","-75.34379","Lake Cabin w/all the comforts, close to Camelback","6","Entire cabin","5","https://www.airbnb.com/rooms/31801481"
"Long Pond, Pennsylvania, United States","41.074","-75.412","New Modern Escape with In Home Hot Tub & Gameroom#","10","Entire home","5","https://www.airbnb.com/rooms/54230657"
"Pocono Pines, Pennsylvania, United States","41.117","-75.448","Hartley Chalet In Gorgeous & Woodsy Pocono Pines","6","Entire cabin","5","https://www.airbnb.com/rooms/48157001"
"Tannersville, Pennsylvania, United States","41.05494","-75.36714","Spacious Townhouse w/Private Hot Tub, Deck, Foosball, Gas Grill, Free WiFi","8","Entire townhouse",,"https://www.airbnb.com/rooms/51728185"
"Albrightsville, Pennsylvania, United States","40.98811","-75.58379","*Hot Tub, 4bdr, loft - close to attractions","12","Entire chalet","5","https://www.airbnb.com/rooms/15177414"
"Tannersville, Pennsylvania, United States","41.05505","-75.36859","Warm & cozy home minutes from the slopes w/large deck, private hot tub, & AC","10","Entire home","4.5","https://www.airbnb.com/rooms/41378524"
"Pocono Summit, Pennsylvania, United States","41.13301","-75.40323","Poconos Getaway 🏡 - 5 Beds 2.5 Baths","12","Entire home","5","https://www.airbnb.com/rooms/52279547"
"Long Pond, Pennsylvania, United States","41.07992","-75.41461","LakeFront, Beach, Hot Tub, Sauna, Games, 150""TV","12","Entire home","4.5","https://www.airbnb.com/rooms/21782276"
"Blakeslee, Pennsylvania, United States","41.097","-75.57084","Mountain Manor★7BR3BA Home★Peaceful with Hottub","14","Entire home","5","https://www.airbnb.com/rooms/48324862"
"Tobyhanna, Pennsylvania, United States","41.16938","-75.38334","Cozy Home in the Poconos","10","Entire home","5","https://www.airbnb.com/rooms/51955093"
"Stroudsburg, Pennsylvania, United States","41.01601","-75.34548","Lake Cabin w/all the comforts, close to Camelback","6","Entire cabin","5","https://www.airbnb.com/rooms/31801383"
"Albrightsville, Pennsylvania, United States","40.99826","-75.48758","Little Bieszczady","10","Entire place","4.5","https://www.airbnb.com/rooms/25722265"
"Bushkill, Pennsylvania, United States","41.16444","-74.97005","Weekend getaway","6","Entire cabin","5","https://www.airbnb.com/rooms/21076326"
"Albrightsville, Pennsylvania, United States","40.99399","-75.49003","Indoor hot tub and pool table @ Rocky Ridge Estate","8","Entire chalet","5","https://www.airbnb.com/rooms/49799517"
"Blakeslee, Pennsylvania, United States","41.01554","-75.46962","Artsy house w/ hot tub near trails & ski resorts!","10","Entire home","5","https://www.airbnb.com/rooms/52926305"
"Tannersville, Pennsylvania, United States","41.05627","-75.36925","Spacious home close to slopes & hiking trails w/central AC, WiFi, patio, & deck","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/44317684"
