"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Burke, Vermont, United States","44.62173","-71.98351","Amazing views from front porch","6","Entire home","5","https://www.airbnb.com/rooms/6019083"
"Jay, Vermont, United States","44.93694","-72.48631","Jay Peak Skihaus 242","10","Entire home","5","https://www.airbnb.com/rooms/40792277"
"Island Pond, Vermont, United States","44.81482","-71.88213","Island Pond Lakeview Retreat","14","Entire home",,"https://www.airbnb.com/rooms/20787649"
"Burke, Vermont, United States","44.60694","-71.98609","Walls of Glass w/ Burke Mtn. (5 mi away) View","16","Entire home","5","https://www.airbnb.com/rooms/24135853"
"Barton, Vermont, United States","44.75092","-72.16308","May Brook Falls Cottages at Crystal Lake","8","Holiday park",,"https://www.airbnb.com/rooms/48797495"
"Burke, Vermont, United States","44.58705","-71.94608","BJB Properties - House in Village of East Burke","10","Entire home","5","https://www.airbnb.com/rooms/13168338"
"Burke, Vermont, United States","44.5955","-71.88358","Farmhouse at Kingdom Farm","6","Entire home","5","https://www.airbnb.com/rooms/16350288"
"Eden, Vermont, United States","44.69913","-72.45544","Buttercup Tiny Home","3","Tiny home","5","https://www.airbnb.com/rooms/14946003"
"Burke, Vermont, United States","44.58957","-71.93159","Burke Brook House","9","Entire home",,"https://www.airbnb.com/rooms/44746952"
"Montgomery, Vermont, United States","44.89112","-72.54401","Black Bear Panabode - ski cabin close to Jay Peak","5","Entire cabin","5","https://www.airbnb.com/rooms/11421764"
"Lyndon, Vermont, United States","44.56063","-72.00361","Lyndonville, NEK Getaway","8","Entire home","5","https://www.airbnb.com/rooms/31582834"
"Lyndon, Vermont, United States","44.55412","-72.01612","Classic Farmhouse-easy VAST & Kingdom Trail access","8","Entire home","5","https://www.airbnb.com/rooms/17167487"
"Newark, Vermont, United States","44.70772","-71.87513","Fully furnished cabin #1 in Newark, VT","12","Entire cabin","5","https://www.airbnb.com/rooms/5001168"
"Brighton, Vermont, United States","44.811","-71.885","The Riverfront Guest Home","7","Entire home","5","https://www.airbnb.com/rooms/46895450"
"Kirby, Vermont, United States","44.55918","-71.92048","Kerby hide away","10","Entire home","5","https://www.airbnb.com/rooms/16123745"
"Burke, Vermont, United States","44.58934","-71.9148","Burkeside 120: Slopeside Condo at Burke Mountain","8","Entire condo","5","https://www.airbnb.com/rooms/3176687"
"Lyndon, Vermont, United States","44.56231","-71.95376","Caledonia Cottage","10","Entire cottage","5","https://www.airbnb.com/rooms/40023763"
"Burke, Vermont, United States","44.58649","-71.91621","Burke Mountain Powderhorn Condo","8","Entire condo","4.5","https://www.airbnb.com/rooms/44031962"
"Burke, Vermont, United States","44.58476","-71.91439","Burke Slopeside Condo","7","Entire condo","5","https://www.airbnb.com/rooms/16576654"
"East Burke, Vermont, United States","44.62092","-71.93501","East Burke Cute Cape near biking, skiing, VAST","8","Entire home","5","https://www.airbnb.com/rooms/7540327"
"Burke, Vermont, United States","44.58946","-71.94505","Ridgengroove East Burke Riverfront Rental","6","Entire home","5","https://www.airbnb.com/rooms/31777533"
"Burke, Vermont, United States","44.60594","-71.92254","The Barn","4","Barn","5","https://www.airbnb.com/rooms/40724159"
"East Burke, Vermont, United States","44.58596","-71.91636","Cozy Condo w/ Patio, Walk to Burke Mountain!","8","Entire condo","4.5","https://www.airbnb.com/rooms/39021830"
"Burke, Vermont, United States","44.61933","-71.93923","Ring Finger Ranch -Located on MTB/Snowmobile Trail","8","Entire home","5","https://www.airbnb.com/rooms/47370629"
"Hyde Park, Vermont, United States","44.59864","-72.56489","Vermont Farmhouse Near Stowe with WiFi","6","Entire home","5","https://www.airbnb.com/rooms/3506154"
