"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Niagara Falls, New York, United States","43.08147","-79.05524","Hanover House B&B - #3 William&Mary Room(14'x14')","2","Room in bed and breakfast","4.5","https://www.airbnb.com/rooms/35738749"
"Buffalo, New York, United States","42.88993","-78.8634","Downtown Buffalo! Roswell and Children's Hospital!","4","Entire rental unit","5","https://www.airbnb.com/rooms/15249416"
"Buffalo, New York, United States","42.92349","-78.8729","Eco-Friendly home in the quaint Elmwood Village","6","Entire home","5","https://www.airbnb.com/rooms/3974755"
"Angola, New York, United States","42.63724","-79.06589","Melissa Atzrott","10","Entire home",,"https://www.airbnb.com/rooms/24239400"
"Niagara Falls, New York, United States","43.09004","-79.04973","Porter's Renovated Niagara Falls USA Farmhouse","16","Entire home","4.5","https://www.airbnb.com/rooms/46972039"
"Niagara Falls, New York, United States","43.08679","-79.0515","3BR House (sleeps 7) steps to Casino, Falls(US).","7","Entire home","4.5","https://www.airbnb.com/rooms/34254732"
"Niagara Falls, New York, United States","43.08994","-79.02529","Nice house close to the falls","10","Entire home","4.5","https://www.airbnb.com/rooms/33719170"
"Buffalo, New York, United States","42.90421","-78.89697","💟 Huge Vintage 3BDR Buffalo Home 🏡🔑","6","Entire rental unit","5","https://www.airbnb.com/rooms/42191274"
"Niagara Falls, New York, United States","43.09431","-79.05881","Walk to the Falls from The Mint","10","Entire home","5","https://www.airbnb.com/rooms/5636561"
"Niagara Falls, New York, United States","43.09404","-79.0598","The Grand View","6","Entire rental unit","5","https://www.airbnb.com/rooms/22326605"
"Buffalo, New York, United States","42.90511","-78.88785","🔸Spacious🔸 Charming*Modern*Home in ❤ of Buffalo","12","Entire home","4.5","https://www.airbnb.com/rooms/30824177"
"Niagara Falls, New York, United States","43.08392","-79.05298","624 6 bedrooms and 2 baths duplex USA","14","Entire home","4.5","https://www.airbnb.com/rooms/13821257"
"Buffalo, New York, United States","42.94729","-78.81154","Pet friendly Home in University Heights!","6","Entire home","5","https://www.airbnb.com/rooms/35739313"
"Niagara Falls, New York, United States","43.09137","-78.8962","New Construction 6 Bedroom House","16","Entire townhouse","4.5","https://www.airbnb.com/rooms/49292731"
"Buffalo, New York, United States","42.94383","-78.82912","Entire Exquisite Home cul de sac.
non smoking","9","Entire home",,"https://www.airbnb.com/rooms/39384788"
"Niagara Falls, New York, United States","43.094","-79.059","(USA)Walk to the Falls & attractions","6","Entire rental unit","5","https://www.airbnb.com/rooms/5936987"
"Buffalo, New York, United States","42.9208","-78.87289","Gilded Age 3/1, Central Air, ELMWOOD VILLAGE!","6","Entire rental unit","5","https://www.airbnb.com/rooms/17106012"
"Buffalo, New York, United States","42.882","-78.866","228 City of Buffalo Air/Falls/Riverworks/Downtown","8","Entire home","5","https://www.airbnb.com/rooms/22848572"
"Niagara Falls, New York, United States","43.08985","-79.05705","Walk to Everything Private House","8","Entire vacation home","4.5","https://www.airbnb.com/rooms/42862821"
"Buffalo, New York, United States","42.882","-78.865","232 Ora Wrighter-Air/Riverworks/Downtown/Falls","8","Entire townhouse","5","https://www.airbnb.com/rooms/32242890"
"Buffalo, New York, United States","42.91217","-78.88439","Full House in♥of 5 Points, Self Check-In + Parking","12","Entire home","4.5","https://www.airbnb.com/rooms/52208284"
"Buffalo, New York, United States","42.90105","-78.88157","Buffalo Harmony House - Cardinal Canton","3","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/27758150"
"Angola, New York, United States","42.63992","-79.06502","Mergenhagen-Melissa Atzrott","10","Entire home",,"https://www.airbnb.com/rooms/24239708"
"Buffalo, New York, United States","42.92859","-78.85112","Main-Parkside  Quarters Buffalo NY 6BR2B Sleeps 16","16","Entire home","5","https://www.airbnb.com/rooms/34708218"
"Buffalo, New York, United States","42.955","-78.84236","Welcome Home in North Buffalo Hertel-Parkside area","8","Entire home","5","https://www.airbnb.com/rooms/37974384"
