"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Las Vegas, Nevada, United States","36.10677","-115.17007","Ultimate Adventure in Las Vegas! Pool, Hot Tub!","6","Room in hotel",,"https://www.airbnb.com/rooms/52406768"
"Las Vegas, Nevada, United States","36.03479","-115.17287","Amenity-rich 3 Bedroom in Las Vegas Strip","8","Entire condo","5","https://www.airbnb.com/rooms/16547168"
"Las Vegas, Nevada, United States","36.10256","-115.15526","Bluegreen Vacations Club 36, Ascend Collection","6","Entire serviced apartment",,"https://www.airbnb.com/rooms/40387562"
"Las Vegas, Nevada, United States","36.10876","-115.16974","Vegas vacation suites / two bedroom - Center Strip","8","Room in hotel","5","https://www.airbnb.com/rooms/50261966"
"Las Vegas, Nevada, United States","36.10728","-115.17254","Across from Cosmopolitan! Grand Chateau 3BR Suite","12","Entire serviced apartment",,"https://www.airbnb.com/rooms/34424342"
"Las Vegas, Nevada, United States","36.09597","-115.20905","You Found it! 3 Great Units, Free Parking, Pool","12","Private room in resort",,"https://www.airbnb.com/rooms/54166654"
"Las Vegas, Nevada, United States","36.08031","-115.26597","Ann’s Cozy Estate","5","Entire home",,"https://www.airbnb.com/rooms/36206075"
"Las Vegas, Nevada, United States","36.10886","-115.16759","Elara PH center strip No resort Fees!!!","4","Private room in resort",,"https://www.airbnb.com/rooms/52611285"
"Las Vegas, Nevada, United States","36.10604","-115.1721","Scan The Code For 3D Tour! Hot tub, Pool!","6","Entire condo","4.5","https://www.airbnb.com/rooms/49177055"
"Las Vegas, Nevada, United States","36.13752","-115.31224","Modern/Tradional 5 Bedroom Home with Pool&Spa","14","Entire home",,"https://www.airbnb.com/rooms/51025081"
"Las Vegas, Nevada, United States","36.17149","-115.14703","Golden Gate Penthouse Suite","6","Room in hotel","5","https://www.airbnb.com/rooms/44464161"
"Las Vegas, Nevada, United States","36.10672","-115.17144","Weekend @ Grand Desert- 2 Br","8","Entire condo",,"https://www.airbnb.com/rooms/52261515"
"Bullhead City, Arizona, United States","35.10083","-114.64515","Beautiful Riverfront Home Lazzy Dayzz River Home","10","Entire home","4.5","https://www.airbnb.com/rooms/51229090"
"Las Vegas, Nevada, United States","36.1","-115.213","WorldMark Las Vegas - Tropicana Avenue 2bdrm","8","Entire serviced apartment",,"https://www.airbnb.com/rooms/13956396"
"Las Vegas, Nevada, United States","36.10796","-115.1621","Vegas Strip Resort 2BD2BA  ✶Lux✶Up to 7 Guests ✶","7","Entire rental unit","5","https://www.airbnb.com/rooms/39428357"
"Las Vegas, Nevada, United States","36.03834","-115.1744","A0001 -Hot tub | Pool+Slides | Free wifi| 6guests","6","Entire condo","4.5","https://www.airbnb.com/rooms/43728616"
"Las Vegas, Nevada, United States","36.12157","-115.18295","Las Vegas Wyndham Desert Blue 2 bedroom condo","4","Entire serviced apartment",,"https://www.airbnb.com/rooms/39332900"
"Las Vegas, Nevada, United States","36.12213","-115.08046","Hampshire - Residential Home with POOL","12","Entire home","4.5","https://www.airbnb.com/rooms/52451816"
"Las Vegas, Nevada, United States","36.16858","-115.14373","2 Great Units, Casino, Pool, Free Parking!","8","Room in hotel",,"https://www.airbnb.com/rooms/52125876"
"Las Vegas, Nevada, United States","36.13652","-115.15055","Presidential Luxury 2-Bed, 2 Bath!!","6","Entire serviced apartment",,"https://www.airbnb.com/rooms/42935725"
"Las Vegas, Nevada, United States","36.098","-115.168","Large 2BR - Quiet, Comfortable, Close to Strip #01","6","Private room in resort","4.5","https://www.airbnb.com/rooms/22717297"
"Las Vegas, Nevada, United States","36.16872","-115.14396","You Found It! 2 Great Units, Casino, Restaurant","8","Room in hotel",,"https://www.airbnb.com/rooms/50622681"
"Las Vegas, Nevada, United States","36.009","-115.176","Las Vegas: the Grandview  2 bdrm","8","Entire serviced apartment",,"https://www.airbnb.com/rooms/15842478"
"Las Vegas, Nevada, United States","36.1","-115.218","Las Vegas: club de soleil 2 bedroom","6","Entire serviced apartment",,"https://www.airbnb.com/rooms/31682041"
"Las Vegas, Nevada, United States","36.121","-115.17","2 Connecting Suites with Two Beds and Two Sofabeds at The Venetian Resort Las Vegas by Suiteness","8","Room in hotel",,"https://www.airbnb.com/rooms/53131692"
