"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Big Sky, Montana, United States","45.29166","-111.39766","Studio getaway within walking distance to ski lift","2","Entire rental unit","5","https://www.airbnb.com/rooms/49509152"
"Belgrade, Montana, United States","45.801","-111.189","Beautiful two bedroom 2.5 miles from airport","4","Entire townhouse","5","https://www.airbnb.com/rooms/48528187"
"Bozeman, Montana, United States","45.69066","-111.10471","MEADOWLARK GUESTHOUSE - Live under the Big Sky","6","Entire townhouse","5","https://www.airbnb.com/rooms/40032243"
"Big Sky, Montana, United States","45.24831","-111.32082","Firelight Cabin Townhome, Cozy Mountain Comfort","6","Entire townhouse","5","https://www.airbnb.com/rooms/53626805"
"Bozeman, Montana, United States","45.67901","-111.09562","'Bozeman Getaway' w/ Mtn Views: 10 Min to Downtown","8","Entire condo","5","https://www.airbnb.com/rooms/25321668"
"Belgrade, Montana, United States","45.79289","-111.21833","Charming Family Home minutes from the airport.","6","Entire home",,"https://www.airbnb.com/rooms/52095680"
"Bozeman, Montana, United States","45.66933","-111.03101","Country Living in the City","8","Entire home","5","https://www.airbnb.com/rooms/14093005"
"Bozeman, Montana, United States","45.685","-111.041","Bozeman Retreat: Hip, Clean, Comfortable, Downtown","4","Entire home","5","https://www.airbnb.com/rooms/50196973"
"Gallatin Gateway, Montana, United States","45.465","-111.256","STUDIO  CABIN 3 ON THE GALLATIN SLEEPS 2","2","Entire cabin","4.5","https://www.airbnb.com/rooms/1881813"
"Bozeman, Montana, United States","45.68875","-111.06034","Heart of Bozeman: Two-Bedroom Private Suite","6","Entire guest suite","5","https://www.airbnb.com/rooms/51543047"
"Bozeman, Montana, United States","45.6835","-111.03673","Beall Park Guest House","8","Entire home","5","https://www.airbnb.com/rooms/39951421"
"Big Sky, Montana, United States","45.29219","-111.39882","Comfy Condo Near Big Sky/Moonlight Basin Lifts with Free WiFi","2","Entire condo","3","https://www.airbnb.com/rooms/35938384"
"Big Sky, Montana, United States","45.25975","-111.31822","Smashing Location, Great Prices!","8","Entire townhouse","5","https://www.airbnb.com/rooms/10731906"
"Island Park, Idaho, United States","44.47892","-111.45642","Busy Beaver Lodge || 3 bedroom, loft & 2 bathrooms","10","Entire cabin","4.5","https://www.airbnb.com/rooms/53753208"
"Big Sky, Montana, United States","45.2878","-111.39629","Two Bedroom Loft steps to the Lifts of Big Sky","6","Entire condo","5","https://www.airbnb.com/rooms/48953594"
"Island Park, Idaho, United States","44.47791","-111.43817","Wooded Retreat: Hot Tub, Game RM, Fire Pit, Trails","15","Entire cabin","5","https://www.airbnb.com/rooms/47356262"
"Big Sky, Montana, United States","45.26526","-111.3081","Cool, contemporary 3BR in Meadow!","7","Entire condo","5","https://www.airbnb.com/rooms/4418670"
"Big Sky, Montana, United States","45.2556","-111.31132","Cozy Big Sky Condo walk to Town Center!","9","Entire condo","5","https://www.airbnb.com/rooms/46466502"
"Big Sky , Montana, United States","45.296","-111.419","**SaddleRidge A2~Ski in/out~Moonlight Club~HotTub","9","Entire condo","5","https://www.airbnb.com/rooms/38163813"
"Bozeman, Montana, United States","45.75436","-111.24838","Relaxing spacious ranch home is your Montana base","6","Entire home","5","https://www.airbnb.com/rooms/53216534"
"Big Sky, Montana, United States","45.25769","-111.31215","Cheerful 2 bedroom with Montana cozy cabin feel.","4","Entire townhouse","5","https://www.airbnb.com/rooms/54112851"
"Bozeman, Montana, United States","45.71358","-111.08007","Private, spacious, summer activity hideaway","4","Entire home","5","https://www.airbnb.com/rooms/9882706"
"Big Sky, Montana, United States","45.29308","-111.40234","Spacious Condo With Ski Slope Views, Walk To Lifts","5","Entire condo","5","https://www.airbnb.com/rooms/46898795"
"Ennis, Montana, United States","45.28867","-111.79952","Hilltop Haven! Views and Privacy!","8","Entire cabin","5","https://www.airbnb.com/rooms/46450070"
"Bozeman, Montana, United States","45.66345","-111.1051","Rangers Rest in Bozeman","6","Entire home","5","https://www.airbnb.com/rooms/21199820"
