"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Basye, Virginia, United States","38.80999","-78.792","3 acre wooded Ski Chalet,with Disc golf and trails","10","Entire chalet","5","https://www.airbnb.com/rooms/53005154"
"Massanutten, Virginia, United States","38.40619","-78.71592","Massanuttan Resort","4","Room in boutique hotel",,"https://www.airbnb.com/rooms/52256320"
"Massanutten, Virginia, United States","38.40589","-78.71519","Eagle Trace Condo at Massanutten 1br/1ba hottub","6","Entire condo",,"https://www.airbnb.com/rooms/46641358"
"Massanutten, Virginia, United States","38.40563","-78.71685","Eagle Trace Condo at Massanutten 1br/1ba hottub","6","Entire condo",,"https://www.airbnb.com/rooms/40222402"
"McGaheysville, Virginia, United States","38.39825","-78.71739","Pet-Friendly Massanutten Resort Home w/ Yard!","8","Entire home","4","https://www.airbnb.com/rooms/49629242"
"Massanutten, Virginia, United States","38.40571","-78.71471","Massanutten Resort","4","Room in boutique hotel",,"https://www.airbnb.com/rooms/53149004"
"Massanutten, Virginia, United States","38.40635","-78.71483","Modern 1 bedroom Town House with Kitchen & Jacuzzi","6","Entire townhouse",,"https://www.airbnb.com/rooms/53851087"
"Basye, Virginia, United States","38.80773","-78.79103","Virginia Dreamin'","8","Entire home","4.5","https://www.airbnb.com/rooms/29007421"
"Massanutten, Virginia, United States","38.40542","-78.717","Massanutten Woodstone Apartment Units, 2BR & 2BA","6","Entire condo","5","https://www.airbnb.com/rooms/15934198"
"Massanutten, Virginia, United States","38.40562","-78.71522","Scenic Views, Updated Interior, Adventure Park Nearby at The Summit at Massanutten Resort","6","Entire condo","4.5","https://www.airbnb.com/rooms/45954582"
"McGaheysville, Virginia, United States","38.39255","-78.70872","Blue Ridge View","12","Entire home","5","https://www.airbnb.com/rooms/21729162"
"Mount Jackson, Virginia, United States","38.79986","-78.65531","Pleasant Valley Farm 18th Century frontier home.","11","Entire home","5","https://www.airbnb.com/rooms/43778256"
"Edinburg, Virginia, United States","38.82668","-78.51949","Light of the Valley River House","10","Entire home","4.5","https://www.airbnb.com/rooms/9725035"
"McGaheysville, Virginia, United States","38.3998","-78.7127","A Christmas playground for the whole family!","6","Entire home","5","https://www.airbnb.com/rooms/35838745"
"McGaheysville, Virginia, United States","38.40034","-78.69823","""Lake View Retreat""","4","Private room in guesthouse","5","https://www.airbnb.com/rooms/21170431"
"McGaheysville, Virginia, United States","38.394","-78.71652","The Bear's Den","8","Entire home","5","https://www.airbnb.com/rooms/42817053"
"Basye, Virginia, United States","38.82807","-78.76105","Belle Vue at Bryce Resort - a picturesque escape!","11","Entire home","5","https://www.airbnb.com/rooms/33660592"
"Stanardsville, Virginia, United States","38.33502","-78.51221","Twin Springs Cottage","8","Entire home","4.5","https://www.airbnb.com/rooms/47334151"
"Massanutten, Virginia, United States","38.40613","-78.71637","Regal Vistas at Massanutten Resort","6","Entire home",,"https://www.airbnb.com/rooms/6957918"
"Massanutten, Virginia, United States","38.41017","-78.70917","Travel by WE presents: Woodstone Meadows Resort","6","Entire rental unit",,"https://www.airbnb.com/rooms/52741740"
"Massanutten, Virginia, United States","38.40702","-78.71577","Holidays at Massanutten RUSH and book!","6","Entire townhouse",,"https://www.airbnb.com/rooms/45702185"
"Basye, Virginia, United States","38.82552","-78.76489","SnowRegrets-Time to Relax!","8","Entire cabin","5","https://www.airbnb.com/rooms/20518429"
"Massanutten, Virginia, United States","38.40569","-78.71695","Woodstone Massanutten, VA Dec 24-Dec 31 2 Bedrooms","6","Entire townhouse",,"https://www.airbnb.com/rooms/46872404"
"Massanutten, Virginia, United States","38.4061","-78.71497","Mountain Retreat, Private Deck, Rec Center Access at Eagle Trace at Massanutten Resort","8","Entire condo","4.5","https://www.airbnb.com/rooms/45954602"
"McGaheysville, Virginia, United States","38.42106","-78.7404","NEW! Single-Story Massanutten Resort Home w/ Grill","8","Entire home","4.5","https://www.airbnb.com/rooms/49243045"
