"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Minneapolis, Minnesota, United States","44.87214","-93.28395","Super Bowl rental - 9 miles to US Bank Stadium","2","Private room in home",,"https://www.airbnb.com/rooms/22706478"
"Bloomington, Minnesota, United States","44.85996","-93.2543","Remodeld 2 BR 2 BA Townhome 5 min to Airport/Mall","6","Entire townhouse",,"https://www.airbnb.com/rooms/30440839"
"Minneapolis, Minnesota, United States","44.88935","-93.32097","Luxury Suite at Erik's Retreat","6","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/36267138"
"Minneapolis, Minnesota, United States","44.88753","-93.31691","Home away from Home in Minneapolis, MN","6","Entire home","5","https://www.airbnb.com/rooms/33314154"
"Minneapolis, Minnesota, United States","44.88898","-93.32045","Luxury Suite with Kitchen at Erik's Retreat","6","Room in boutique hotel","5","https://www.airbnb.com/rooms/33015703"
"Saint Paul, Minnesota, United States","44.91911","-93.09651","New listing! Be one of the first to experience!","8","Entire home","5","https://www.airbnb.com/rooms/53082913"
"Minneapolis, Minnesota, United States","44.85184","-93.32104","Close to MOA!! ~Central Location~ Southdale Cent.~","8","Entire home","5","https://www.airbnb.com/rooms/53903459"
"Saint Paul, Minnesota, United States","44.90619","-93.18215","Charming & Cozy 4-Bed in Highland Park","8","Entire home","5","https://www.airbnb.com/rooms/25005648"
"Saint Paul, Minnesota, United States","44.90334","-93.18084","Newly Redone 5BD/2BTH in Central Location","12","Entire home","4.5","https://www.airbnb.com/rooms/48000983"
"Edina, Minnesota, United States","44.88254","-93.32045","One Bedroom Suite 2 King Beds at Homewood Suites Edina","2","Entire rental unit",,"https://www.airbnb.com/rooms/52513746"
"Minneapolis, Minnesota, United States","44.91494","-93.28951","The Kimball @ Lynnhurst / Lake Harriet","4","Entire home",,"https://www.airbnb.com/rooms/53261811"
"Minneapolis, Minnesota, United States","44.91841","-93.29036","Rare Lake Harriet 4BR 2BA, near lake,downtown, MOA","12","Entire home","5","https://www.airbnb.com/rooms/29518302"
"Minneapolis, Minnesota, United States","44.90674","-93.23263","G&G - The Nokomis Bungalow - 5BR/2BA/Cable/FastWF","14","Entire home","4.5","https://www.airbnb.com/rooms/44395058"
"Edina, Minnesota, United States","44.91417","-93.32378","MINNESTAY* Edina Escape ★ Family ★ 50th & France ★ Desk, Grill, Foosball","8","Entire home","5","https://www.airbnb.com/rooms/42039959"
"Saint Paul, Minnesota, United States","44.89966","-93.18295","Large 5 BD/2BTH in Highland Park","14","Entire home","4.5","https://www.airbnb.com/rooms/32570294"
"Minneapolis, Minnesota, United States","44.90395","-93.23907","★Lake Nokomis Retreat★Cozy & Clean★By Lux Life","8","Entire home","5","https://www.airbnb.com/rooms/42288822"
"Lakeville, Minnesota, United States","44.68629","-93.26152","Large single family home great for entertaining!","9","Entire home","5","https://www.airbnb.com/rooms/13962953"
"Lakeland, Minnesota, United States","44.91945","-92.77058","Rose Cottage By The River","6","Entire cottage","5","https://www.airbnb.com/rooms/46103412"
"Woodbury, Minnesota, United States","44.90284","-92.95413","Beautiful and peaceful home in twin cities suburbs","9","Entire home","5","https://www.airbnb.com/rooms/21344016"
"Burnsville, Minnesota, United States","44.76623","-93.3259","The Burnsville Oasis! 3300 SQFT! Large groups!","16","Entire home",,"https://www.airbnb.com/rooms/53594203"
"Minneapolis, Minnesota, United States","44.92201","-93.24522","MINNeSTAY* Perfect Family Bungalow * South Minneapolis * Sleeps 8 * Game Room","8","Entire home","5","https://www.airbnb.com/rooms/49752725"
"Bloomington, Minnesota, United States","44.8502","-93.24566","Comfort & Convenience Awaits! 2 Convenient Units","8","Room in hotel",,"https://www.airbnb.com/rooms/52855422"
"Woodbury, Minnesota, United States","44.90897","-92.91207","Colby Lake Place","8","Entire home",,"https://www.airbnb.com/rooms/26425488"
"Prescott, Wisconsin, United States","44.72382","-92.74222","Whispering Pine: Secluded river town getaway","8","Entire home","5","https://www.airbnb.com/rooms/47057888"
"Lakeville, Minnesota, United States","44.68125","-93.30072","Lafayette Home","8","Entire townhouse","5","https://www.airbnb.com/rooms/40080541"
