"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Leavenworth, Washington, United States","47.81151","-120.71137","Wenatchee River Banks","6","Entire cottage","4.5","https://www.airbnb.com/rooms/39261585"
"Chelan, Washington, United States","47.856","-120.061","Lake Chelan Shores, WA, 2 Bedroom SN #1","6","Entire condo","5","https://www.airbnb.com/rooms/11126007"
"Chelan, Washington, United States","47.848","-120.04","The Lakehouse at The Lookout at Lake Chelan","11","Entire home","5","https://www.airbnb.com/rooms/35340176"
"Manson, Washington, United States","47.87788","-120.16146","Lake Chelan Resort home with 4 master suites +","12","Entire home","5","https://www.airbnb.com/rooms/38735708"
"Leavenworth, Washington, United States","47.72741","-120.66133","Spacious Cabin-Style Home on Two Full Acres - Private Hot Tub & Free WiFi","4","Entire home","4.5","https://www.airbnb.com/rooms/21493694"
"Manson, Washington, United States","47.87965","-120.1193","Spacious, Family-Friendly Home w/ a Private Hot Tub Near Lake Chelan!","8","Entire home","5","https://www.airbnb.com/rooms/45138284"
"Manson, Washington, United States","47.92145","-120.19581","Luxury Home In Manson - incredible views- all modern amenities","6","Entire home","5","https://www.airbnb.com/rooms/42818443"
"Chelan, Washington, United States","47.843","-120.024","Chelan Lake House WA, *3-Bedroom Deluxe F Sun 1 #1","8","Entire condo","5","https://www.airbnb.com/rooms/11625256"
"Leavenworth, Washington, United States","47.58807","-120.66751","Worldmark Fully Updated 2017! Octoberfest Shuttle!","6","Entire condo","5","https://www.airbnb.com/rooms/27922122"
"Chelan, Washington, United States","47.849","-120.04","Cabernet Cottage w/ Carriage House at The Lookout","12","Entire home","4.5","https://www.airbnb.com/rooms/35340089"
"Manson, Washington, United States","47.90054","-120.13644","Lake Chelan Manson Exclusive privacy House on hill","16","Entire home","5","https://www.airbnb.com/rooms/36283897"
"Wenatchee, Washington, United States","47.44034","-120.31627","Casa Columbia~22 miles to Leavenworth","6","Entire townhouse","5","https://www.airbnb.com/rooms/40208374"
"Chelan, Washington, United States","47.848","-120.039","Margarita Villa At The Lookout at Lake Chelan","12","Entire home",,"https://www.airbnb.com/rooms/35337838"
"Leavenworth, Washington, United States","47.58994","-120.66943","Worldmark Leavenworth Fantastic resort Condo BEER!","6","Entire condo","5","https://www.airbnb.com/rooms/27650960"
"Leavenworth, Washington, United States","47.59676","-120.65593","Bavarian Suite #15 in Downtown at 'The Wanderlust' / 2 Queens, 1 Custom Bunk","6","Room in hotel","4.5","https://www.airbnb.com/rooms/45508465"
"Winthrop, Washington, United States","48.46333","-120.17373","Alpen Trails--Come Stay Awhile!","6","Entire townhouse","5","https://www.airbnb.com/rooms/23373153"
"Winthrop, Washington, United States","48.48016","-120.18564","Charming Hoot Owl Cabin right in downtown Winthrop","6","Entire cabin","5","https://www.airbnb.com/rooms/52170323"
"Chelan, Washington, United States","47.848","-120.042","Happy Hours at The Lookout at Lake Chelan","10","Entire home",,"https://www.airbnb.com/rooms/35340227"
"Manson, Washington, United States","47.88342","-120.15738","Family-Friendly Getaway w/ a Private Hot Tub & Shared Pool - Plus Lake Views!","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/43077506"
"Chelan, Washington, United States","47.847","-120.041","A Perfect Day at The Lookout at Lake Chelan","8","Entire home","5","https://www.airbnb.com/rooms/35340091"
"Peshastin, Washington, United States","47.47715","-120.57528","Spectacular Camas Meadows Eco-Lodge","6","Entire cabin","5","https://www.airbnb.com/rooms/1222959"
"Manson, Washington, United States","47.87874","-120.15352","Lakefront Townhome with Fireplace, Private Hot Tub, & Shared Pool","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/16949143"
"Chelan, Washington, United States","47.849","-120.034","Driftwood Cottage at The Lookout at Lake Chelan","12","Entire home","4","https://www.airbnb.com/rooms/35340034"
"Manson, Washington, United States","47.88886","-120.12399","Kid Friendly Lake House with Incredible Views!","10","Entire home","5","https://www.airbnb.com/rooms/17210918"
"Leavenworth, Washington, United States","47.58857","-120.66933","Worldmark Leavenworth 2B/2Ba Resort, In town SNOW","6","Entire condo","5","https://www.airbnb.com/rooms/22222003"
