"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Missoula, Montana, United States","46.88663","-113.965","Historic Home in Rattlesnake Valley","8","Entire home","4.5","https://www.airbnb.com/rooms/39245275"
"Missoula, Montana, United States","46.86534","-113.99621","Guest House in the U District by the Hipstrip!","4","Entire rental unit","5","https://www.airbnb.com/rooms/36079503"
"Missoula, Montana, United States","46.87843","-114.00232","Sunny Historic Railroad Loft","3","Entire guest suite",,"https://www.airbnb.com/rooms/50344556"
"Potomac, Montana, United States","46.8045","-113.51504","Potomac Yurt on 280 acres","6","Yurt","5","https://www.airbnb.com/rooms/49727911"
"Ronan, Montana, United States","47.49979","-114.08993","Guest suite on Rolls Ranch","4","Private room in nature lodge",,"https://www.airbnb.com/rooms/50081716"
"Potomac, Montana, United States","46.80647","-113.51751","Montana hidden paradise","6","Yurt",,"https://www.airbnb.com/rooms/41854243"
"Missoula County, Montana, United States","46.85554","-113.50212","Blackfoot Hideaway - Minutes to Outdoor Adventures","6","Entire home","5","https://www.airbnb.com/rooms/39590285"
"Missoula, Montana, United States","46.87649","-113.99737","Cute Downtown Victorian Near Wilma-Hospital-UM","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/39700929"
"Seeley Lake, Montana, United States","47.18595","-113.48726","Five Minutes from the Lake, Easy Snow Fun Access","14","Entire rental unit","5","https://www.airbnb.com/rooms/21230780"
"Seeley Lake, Montana, United States","47.1739","-113.47209","The Sheets Spread","7","Entire cabin","5","https://www.airbnb.com/rooms/44123829"
"Condon, Montana, United States","47.53276","-113.6611","Luxury Log Apartment","6","Entire serviced apartment","5","https://www.airbnb.com/rooms/51555977"
"Hot Springs, Montana, United States","47.46645","-114.47185","Log cabin on a 10,000 acre remote working ranch","8","Farm stay","5","https://www.airbnb.com/rooms/35875234"
"Missoula, Montana, United States","46.88463","-113.96665","Wabi-sabi Farmhouse in the Rattlesnake!","6","Entire home","5","https://www.airbnb.com/rooms/10289481"
"Missoula, Montana, United States","46.86391","-114.00234","Gorgeous 2-Bedroom home in Central Location","4","Entire home","5","https://www.airbnb.com/rooms/53650541"
"Missoula, Montana, United States","46.88061","-113.99723","Railway Townhome","6","Entire townhouse","5","https://www.airbnb.com/rooms/46085957"
"Missoula, Montana, United States","46.84543","-114.02207","Freshly remodeled 2 bedroom home with a sofa bed","6","Entire home","5","https://www.airbnb.com/rooms/50679334"
"Missoula, Montana, United States","46.818","-114.08837","The Orchard Cabin","13","Entire cabin","5","https://www.airbnb.com/rooms/5990319"
"Condon, Montana, United States","47.59881","-113.73752","""Back Roads, Solitude,  Private Cabin with views!""","6","Entire cabin","5","https://www.airbnb.com/rooms/48243190"
"Missoula, Montana, United States","46.84864","-114.0016","3BD Rose Park Retreat | Light&Airy | Ace location","8","Entire home","5","https://www.airbnb.com/rooms/41933334"
"Condon, Montana, United States","47.52759","-113.70643","Country cabin with mountain view","8","Entire home","5","https://www.airbnb.com/rooms/51301777"
"Missoula, Montana, United States","46.859","-114.05421","Adorable, Cozy Home In Town With Country Setting","6","Entire home","5","https://www.airbnb.com/rooms/53606752"
"Missoula, Montana, United States","46.87429","-113.99745","Downtown Urban Condo","4","Entire condo","4.5","https://www.airbnb.com/rooms/40703171"
"Missoula, Montana, United States","46.86148","-114.02018","The Washburn House","6","Entire home","5","https://www.airbnb.com/rooms/35846302"
"Missoula, Montana, United States","46.86006","-114.02975","Modern Missoula Home ~ 2 Miles to Downtown!","5","Entire home","5","https://www.airbnb.com/rooms/54147874"
"Missoula, Montana, United States","46.86316","-113.99493","The T.A. Price House","6","Entire townhouse","5","https://www.airbnb.com/rooms/12084685"
