"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Ripley, New York, United States","42.27011","-79.75781","LAKEFRONT GETAWAY","7","Entire home","4.5","https://www.airbnb.com/rooms/7852878"
"Clymer, New York, United States","42.065","-79.753","Peek'n Peak golf & ski resort A-frame in the woods","10","Entire chalet","4.5","https://www.airbnb.com/rooms/15532781"
"Edinboro, Pennsylvania, United States","41.87953","-80.14061","Edinboro Lakeside - 205","8","Entire home","4.5","https://www.airbnb.com/rooms/42836323"
"Erie, Pennsylvania, United States","42.20706","-79.92293","Classic Airstream","4","Camper/RV",,"https://www.airbnb.com/rooms/47718389"
"North East, Pennsylvania, United States","42.242","-79.828","4 br Lake Erie cottage with private beach access","8","Entire cottage",,"https://www.airbnb.com/rooms/54358235"
"Lake City, Pennsylvania, United States","42.01729","-80.36013","Bald Eagle Bluff","6","Entire home","4.5","https://www.airbnb.com/rooms/13564833"
"Erie, Pennsylvania, United States","42.20658","-79.92416","Romantic Suite with Kitchenette","2","Private room in cabin","5","https://www.airbnb.com/rooms/47718844"
"Erie, Pennsylvania, United States","42.1066","-80.15861","Kelso Cottage","6","Entire bungalow","4.5","https://www.airbnb.com/rooms/21544141"
"Findley Lake, New York, United States","42.12","-79.735","Bella Vista - Your Lakeside Oasis Awaits","10","Entire home","5","https://www.airbnb.com/rooms/51709172"
"Clymer, New York, United States","42.06437","-79.74729","Four Seasons Lodge - 5 Bedrm/Wedding/Golf","15","Entire home","5","https://www.airbnb.com/rooms/50343550"
"Findley Lake, New York, United States","42.12106","-79.74108","New! Renovated Findley Lake Rental","9","Entire home","4.5","https://www.airbnb.com/rooms/52568325"
"Lake City, Pennsylvania, United States","42.02702","-80.36534","Eagle View Cottage","6","Entire cabin","5","https://www.airbnb.com/rooms/19551584"
"Sherman, New York, United States","42.13081","-79.7023","Modern Farmhouse on 150 acres near Findley Lake,NY","6","Entire home","5","https://www.airbnb.com/rooms/52337485"
"Clymer, New York, United States","42.06185","-79.7359","Enjoy the Peek 'n Peak Resort From an Upscale Condo","8","Entire condo","5","https://www.airbnb.com/rooms/27572933"
"Clymer, New York, United States","42.06873","-79.74238","Rustic-Modern Condo at Peek n Peak","8","Entire townhouse","5","https://www.airbnb.com/rooms/45863563"
"Findley Lake, New York, United States","42.10878","-79.71994","Sunny Side Up","8","Entire cottage","5","https://www.airbnb.com/rooms/38840898"
"Findley Lake, New York, United States","42.1077","-79.7221","Just another day in paradise","10","Entire cottage","5","https://www.airbnb.com/rooms/21827558"
"Clymer, New York, United States","42.07026","-79.74385","Only 3 BDRM in Northgate @ The Peak","9","Entire chalet","5","https://www.airbnb.com/rooms/52922751"
"Clymer, New York, United States","42.05921","-79.74799","Peak Shelter ~ 1394 Pekin Hill Road Clymer NY 14724","12","Entire home","5","https://www.airbnb.com/rooms/53647900"
"Clymer, New York, United States","42.0679","-79.74361","Ski In/Out Condo Peek’n Peak Ski Resort","8","Entire cabin","5","https://www.airbnb.com/rooms/44134370"
"Erie, Pennsylvania, United States","42.11895","-80.01746","ENJOY A RELAXING STAY W/  HOT TUB","6","Entire home","4.5","https://www.airbnb.com/rooms/50677704"
"Erie, Pennsylvania, United States","42.08638","-80.07205","Sprawling Mid Century Whole House. Sleeps 8.","8","Entire home","5","https://www.airbnb.com/rooms/16613925"
"North East, Pennsylvania, United States","42.24242","-79.83125","Quaint North East Cottage Near the Water","6","Entire cottage","5","https://www.airbnb.com/rooms/44505687"
"Findley Lake, New York, United States","42.11141","-79.72616","Hidden Cove","4","Entire cottage","5","https://www.airbnb.com/rooms/50390574"
"Erie, Pennsylvania, United States","42.10447","-80.14506","Summerhouse. 1/2 mile to Presque isle","8","Entire home","5","https://www.airbnb.com/rooms/44240574"
