"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"East Stroudsburg, Pennsylvania, United States","41.00795","-75.12187","Shawnee Village, Poconos, PA.-1Bd","6","Entire condo",,"https://www.airbnb.com/rooms/54249703"
"East Stroudsburg, Pennsylvania, United States","41.00947","-75.12406","Shawnee Village, PA -Entire 2 BR Condo (Sleep 8)#2","8","Entire condo",,"https://www.airbnb.com/rooms/47002125"
"East Stroudsburg, Pennsylvania, United States","41.00917","-75.12334","WM Shawnee - 2 Bedroom 2xDoubles in Master DePuy","8","Entire condo",,"https://www.airbnb.com/rooms/50643810"
"East Stroudsburg, Pennsylvania, United States","41.0077","-75.12389","Poconos 2 bedroom Shawnee Mountain #11","6","Entire serviced apartment","4.5","https://www.airbnb.com/rooms/31572025"
"East Stroudsburg, Pennsylvania, United States","41.00946","-75.1223","2 Bedroom Condo @ Wyndham Shawnee Village","8","Entire serviced apartment","5","https://www.airbnb.com/rooms/47581975"
"East Stroudsburg, Pennsylvania, United States","41.00958","-75.12238","Shawnee Village, PA -Entire 2 BR Condo (Sleep 8)","8","Entire condo",,"https://www.airbnb.com/rooms/46982513"
"East Stroudsburg, Pennsylvania, United States","41.00824","-75.12185","WM Shawnee - 2 Bedroom Fairway Village","6","Entire condo",,"https://www.airbnb.com/rooms/50643842"
"East Stroudsburg, Pennsylvania, United States","41.009","-75.123","Shawnee Village, PA, 2 Bedroom Double Depuy #3","8","Entire condo",,"https://www.airbnb.com/rooms/31407840"
"East Stroudsburg, Pennsylvania, United States","41.00793","-75.12212","Pocono 2 Bedroom Condo #5","6","Room in serviced apartment","4.5","https://www.airbnb.com/rooms/23849403"
"Glen Gardner, New Jersey, United States","40.69339","-74.88174","Peaceful Place","2","Entire loft",,"https://www.airbnb.com/rooms/43665386"
"East Stroudsburg, Pennsylvania, United States","41.0098","-75.1217","2 Bedroom Deluxe @ Wyndham Shawnee Village","8","Entire serviced apartment",,"https://www.airbnb.com/rooms/47547050"
"East Stroudsburg, Pennsylvania, United States","41.00926","-75.12268","Shawnee Village 2 Bedroom Condo","6","Room in serviced apartment","4.5","https://www.airbnb.com/rooms/24052997"
"East Stroudsburg, Pennsylvania, United States","41.00821","-75.12396","WM Shawnee - 2 Bedroom Deluxe Ridge Top Village","8","Entire condo",,"https://www.airbnb.com/rooms/50644204"
"East Stroudsburg, Pennsylvania, United States","41.00838","-75.12408","WM Shawnee - 2 Bedroom Ridge Top Village","8","Entire condo",,"https://www.airbnb.com/rooms/50644110"
"Blairstown, New Jersey, United States","40.99244","-74.89663","Home in the country","2","Private room in home",,"https://www.airbnb.com/rooms/53043541"
"East Stroudsburg, Pennsylvania, United States","41.00926","-75.12317","WM Shawnee - 2 Bedroom Deluxe Ridge Top Village","8","Entire condo",,"https://www.airbnb.com/rooms/50644165"
"East Stroudsburg, Pennsylvania, United States","41.00957","-75.12212","WM Shawnee - 1 Bedroom DePuy Village","6","Entire condo",,"https://www.airbnb.com/rooms/50643716"
"East Stroudsburg, Pennsylvania, United States","41.009","-75.123","Shawnee Village, PA, 2 Bedroom Double Depuy Z #2","8","Entire condo","4.5","https://www.airbnb.com/rooms/25254483"
"East Stroudsburg, Pennsylvania, United States","41.00814","-75.1238","WM Shawnee - 1 Bedroom Fairway Village","6","Entire condo",,"https://www.airbnb.com/rooms/50643738"
"Stroudsburg, Pennsylvania, United States","40.98407","-75.18781","Classic Stone House - Walking Distance to Main St!","9","Entire home","5","https://www.airbnb.com/rooms/34111045"
"East Stroudsburg, Pennsylvania, United States","41.009","-75.123","Shawnee Village, PA, Dlx 2 Bedroom Ridge Top Z #2","8","Entire condo","5","https://www.airbnb.com/rooms/22611286"
"East Stroudsburg, Pennsylvania, United States","41.00958","-75.12235","Deluxe Condo WorldMark Shawnee Village in Poconos","8","Entire condo",,"https://www.airbnb.com/rooms/35036270"
"East Stroudsburg, Pennsylvania, United States","41.0479","-75.10108","Perfect Escape","8","Entire home","5","https://www.airbnb.com/rooms/41323998"
"East Stroudsburg, Pennsylvania, United States","41.009","-75.123","Shawnee Village, PA, 2 Bedroom Double Depuy Z #1","8","Entire condo","5","https://www.airbnb.com/rooms/25254473"
"Delaware Water Gap, Pennsylvania, United States","40.98299","-75.14018","DWG COMFY RIDGE  Perfect place for huge gathering","12","Earthen home","4.5","https://www.airbnb.com/rooms/32785721"
