"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Mount Shasta, California, United States","41.28904","-122.31864","4600 Sq Ft Luxury Mt Shasta Resort Home","10","Entire home",,"https://www.airbnb.com/rooms/31687215"
"McCloud, California, United States","41.25423","-122.12768","Turning Creek","8","Entire home","5","https://www.airbnb.com/rooms/8963307"
"Mount Shasta, California, United States","41.32885","-122.32275","Spring Hill Retreat & Game Room in Mt Shasta","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/41125676"
"Fall River Mills, California, United States","41.09765","-121.54611","H & O River House","7","Farm stay","5","https://www.airbnb.com/rooms/13277957"
"Mount Shasta, California, United States","41.33474","-122.36947","Modern home w/ lush outdoor space and scenic views","10","Entire home","5","https://www.airbnb.com/rooms/50399938"
"Hornbrook, California, United States","41.89604","-122.54578","The Horn Ranch","8","Farm stay","4","https://www.airbnb.com/rooms/39537805"
"Mount Shasta, California, United States","41.31472","-122.31122","Mountain view retreat just steps from downtown","8","Entire cottage","5","https://www.airbnb.com/rooms/34862708"
"Weed, California, United States","41.38439","-122.41218","Lakeside Stone Cottage pet friendly","4","Entire cottage","5","https://www.airbnb.com/rooms/8292321"
"Dunsmuir, California, United States","41.21047","-122.27285","The Rustic Lodge In Dunsmuir - Near Mt. Shasta","11","Entire home","4.5","https://www.airbnb.com/rooms/49856530"
"Mount Shasta, California, United States","41.30397","-122.29397","Falconhurst Estate, a Tudor Manor in the forest","8","Entire home","5","https://www.airbnb.com/rooms/11905153"
"Mount Shasta, California, United States","41.39694","-122.39536","Modern Cabin w/Panoramic Mt Shasta View","16","Entire home","5","https://www.airbnb.com/rooms/13064879"
"Mount Shasta, California, United States","41.34156","-122.36216","Rainbow Ranch Vacation Rental","10","Entire home","5","https://www.airbnb.com/rooms/24751439"
"Dunsmuir, California, United States","41.20264","-122.27266","The Rivers Bend an Amazing River Location","9","Entire home","5","https://www.airbnb.com/rooms/14520756"
"Weed, California, United States","41.39318","-122.39655","Michael's Mystic Mountain Retreat 
Hot tub / Sauna","8","Entire home","5","https://www.airbnb.com/rooms/441928"
"Yreka, California, United States","41.734","-122.638","Victorian Mansion newly renovated. Sleeps 16","16","Entire place","5","https://www.airbnb.com/rooms/51911903"
"Mount Shasta, California, United States","41.37649","-122.36981","The Venusian✨ Jacuzzi✨Mt View✨4 acres✨New Decor","12","Entire home","5","https://www.airbnb.com/rooms/49248313"
"Mount Shasta, California, United States","41.33972","-122.3544","Beautiful Modern Home in Mt Shasta","10","Entire home","5","https://www.airbnb.com/rooms/11379090"
"Weed, California, United States","41.42321","-122.38371","Ski and Board Weed Cave","4","Entire cabin","4.5","https://www.airbnb.com/rooms/12687060"
"McCloud, California, United States","41.2514","-122.13532","Mount Shasta RV Park Travel Trailer- trees + creek","6","Camper/RV",,"https://www.airbnb.com/rooms/51669227"
"McCloud, California, United States","41.25131","-122.13542","#104 Mount Shasta Ski Cabin next to a stream","6","Tiny home","4.5","https://www.airbnb.com/rooms/48395153"
"Mount Shasta, California, United States","41.32581","-122.35229","Hideaway House on Wyehka Way","8","Entire home","4.5","https://www.airbnb.com/rooms/16214358"
"Trinity Center, California, United States","41.13743","-122.69407","Stoddard Cabin, #7","12","Entire cabin","5","https://www.airbnb.com/rooms/12762582"
"Mount Shasta, California, United States","41.31938","-122.31752","Hinckley Hangout","7","Entire home","5","https://www.airbnb.com/rooms/20087688"
"Dunsmuir, California, United States","41.22814","-122.27526","Timber Height's, Classy home in the pines.","8","Entire home","5","https://www.airbnb.com/rooms/52857064"
"McCloud, California, United States","41.25378","-122.12815","The McCloud Vacation Home on Mt. Shasta Sleeps 10+","12","Entire home","5","https://www.airbnb.com/rooms/38768706"
