"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Ashland, Oregon, United States","42.17263","-122.47221","BookStayHop - #51 The Cabins on Hyatt Prairie - Sleeps 6 - Hot Tub- Full Kitchen","6","Entire cabin","5","https://www.airbnb.com/rooms/18274369"
"Ashland, Oregon, United States","42.19156","-122.70394","Nancy's Garden Cottage - Main House","2","Entire home",,"https://www.airbnb.com/rooms/5261476"
"Ashland, Oregon, United States","42.19956","-122.71774","Nightingales Inn Queen Room","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/3921914"
"Ashland, Oregon, United States","42.17171","-122.47297","BookStayHop - #32 & #33 Hyatt Prairie Compound - Hot Tub- Sleeps 12- Kitchen","12","Entire cabin","5","https://www.airbnb.com/rooms/35646426"
"Ashland, Oregon, United States","42.117","-122.375","NFR Lakeview Cabin","12","Entire cabin","4","https://www.airbnb.com/rooms/23726653"
"Ashland, Oregon, United States","42.19755","-122.71131","B Street Beauty, Around The Corner From Plaza","10","Entire home","5","https://www.airbnb.com/rooms/28202571"
"Ashland, Oregon, United States","42.117","-122.375","NFR : Shasta Cabin","8","Entire cabin","4.5","https://www.airbnb.com/rooms/23613458"
"Ashland, Oregon, United States","42.117","-122.375","NFR Aspen Cabin","8","Entire cabin","4.5","https://www.airbnb.com/rooms/23611098"
"Medford, Oregon, United States","42.32718","-122.81925","Serenity House-A Charming Getaway (3BR 2BTH)","10","Entire home","5","https://www.airbnb.com/rooms/37216877"
"Ashland, Oregon, United States","42.19416","-122.70732","Rose Suite at Carlisle Garden Suites","3","Room in boutique hotel","5","https://www.airbnb.com/rooms/26424774"
"Ashland, Oregon, United States","42.19394","-122.70562","Iris Suite at Carlisle Garden Suites","3","Room in boutique hotel","5","https://www.airbnb.com/rooms/26424963"
"Ashland, Oregon, United States","42.12857","-122.62669","Clean & Modern. Nestled in the woods","8","Entire guest suite","5","https://www.airbnb.com/rooms/50417900"
"Ashland, Oregon, United States","42.17365","-122.47001","BookStayHop - #44 The Cabins on Hyatt Prairie - Sleeps 6 - Hot Tub","6","Entire cabin","4.5","https://www.airbnb.com/rooms/14071425"
"Ashland, Oregon, United States","42.205","-122.72","Abigail's Self Catering Vacation Cottage Two Rooms","4","Entire guesthouse","5","https://www.airbnb.com/rooms/10945437"
"Ashland, Oregon, United States","42.18827","-122.69377","Clean, Well Appointed & Close to Downtown Ashland!","6","Entire home","4.5","https://www.airbnb.com/rooms/16194998"
"Talent, Oregon, United States","42.25455","-122.77465","BookStayHop - Glamping Compound at Paschal Winery ~ Sleeps 4 ~ Hot Tubs ~ Kitchen","4","Camper/RV",,"https://www.airbnb.com/rooms/52614209"
"Ashland, Oregon, United States","42.19664","-122.70905","Ashland Haus Retreat - 1 block from downtown!","6","Entire home","5","https://www.airbnb.com/rooms/20800480"
"Ashland, Oregon, United States","42.2042","-122.72049","ABBOTT'S COTTAGES - Avocet","8","Entire home","5","https://www.airbnb.com/rooms/12286178"
"Ashland, Oregon, United States","42.19309","-122.70182","BookStayHop - The Barclay-Klum House ~ South (Downstairs) Suite~3 Minutes to Plaza~ Kitchen","4","Entire home","5","https://www.airbnb.com/rooms/39917932"
"Ashland, Oregon, United States","42.17247","-122.47074","BookStayHop - #32 The Cabins on Hyatt Prairie - Sleeps 6 - Hot Tub","6","Entire cabin","4.5","https://www.airbnb.com/rooms/18274415"
"Ashland, Oregon, United States","42.19796","-122.71187","BookStayHop - The Pioneer House -North Suite (Upstairs) - Closest to OSF!","6","Entire home","5","https://www.airbnb.com/rooms/22495048"
"Talent, Oregon, United States","42.24569","-122.81284","1910 Orchard Guest House & RV ~ Oregon Wine County","6","Entire home",,"https://www.airbnb.com/rooms/51101930"
"Medford, Oregon, United States","42.30229","-122.89646","New Home in South West  Medford Location","8","Entire home","5","https://www.airbnb.com/rooms/53867693"
"Ashland, Oregon, United States","42.12231","-122.46337","BookStayHop - #1D Hobart Peak ~ Green Springs Cabins ~  Jacuzzi Tub~ Kitchen~ Dog Friendly","6","Entire cabin","5","https://www.airbnb.com/rooms/43654462"
"Ashland, Oregon, United States","42.20522","-122.72042","""Garden"" room in an Award Winning B&B Inn","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/53111228"
