"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Mount Hood Village, Oregon, United States","45.35973","-121.98374","Zen Mountain River Retreat","6","Entire home",,"https://www.airbnb.com/rooms/761667412606224900"
"Happy Valley, Oregon, United States","45.4425","-122.54383","Unique Cabin Studio in Happy Valley Forest Haven","4","Entire cabin","5","https://www.airbnb.com/rooms/47803326"
"Mount Hood Village, Oregon, United States","45.33795","-121.95321","Mt. Top Retreat - Sunset - Work/Play/Relax","10","Entire place","5","https://www.airbnb.com/rooms/49261682"
"Rhododendron, Oregon, United States","45.35189","-121.94181","Sandy River Cabin Retreat","11","Entire home","5","https://www.airbnb.com/rooms/27062254"
"Oregon City, Oregon, United States","45.32681","-122.65353","Beautiful like new home in a quiet neighborhood","11","Entire home","5","https://www.airbnb.com/rooms/47759013"
"Mount Hood Village, Oregon, United States","45.35977","-121.98637","The River House","6","Entire home","5","https://www.airbnb.com/rooms/43397207"
"Government Camp, Oregon, United States","45.3009","-121.75479","Beautiful Cabin in Government Camp","8","Entire cabin","5","https://www.airbnb.com/rooms/45208924"
"Rhododendron, Oregon, United States","45.37858","-121.91017","Restored riverfront home on two acres with a chef's kitchen & private hot tub","6","Entire cabin","4.5","https://www.airbnb.com/rooms/17072841"
"Rhododendron, Oregon, United States","45.36294","-121.93315","Classic waterfront A-frame w/ a full kitchen & large deck - close to skiing!","2","Entire cabin","5","https://www.airbnb.com/rooms/17072835"
"Clackamas County, Oregon, United States","45.32516","-121.94785","Wilderness Living Pool House","4","Entire villa","5","https://www.airbnb.com/rooms/53973735"
"Rhododendron, Oregon, United States","45.36193","-121.93443","Creekside Home w/ a Private Hot Tub, Deck, & Great Woodland Views!","7","Entire home","4.5","https://www.airbnb.com/rooms/37291388"
"Mount Hood, Oregon, United States","45.37238","-121.92209","Peace and Serenity on Mt. Hood-Hike/Bike/Ski/Relax","8","Entire home","5","https://www.airbnb.com/rooms/24655736"
"Rhododendron, Oregon, United States","45.37821","-121.91823","Mt. Hood view, log cabin, creek, dogs ok","6","Entire cabin","5","https://www.airbnb.com/rooms/43372100"
"Boring, Oregon, United States","45.42606","-122.31911","The Ultimate Family Getaway at Dolan Creek Farm","10","Farm stay","5","https://www.airbnb.com/rooms/48110998"
"Mount Hood Village, Oregon, United States","45.32134","-121.95639","Classic Mountain Home on Salmon River, 4.5 bdrms","8","Entire home","5","https://www.airbnb.com/rooms/41315748"
"Rhododendron, Oregon, United States","45.36601","-121.99355","The Cabin @Mt Hood-Private Hot Tub, Community Pool","7","Entire cabin","5","https://www.airbnb.com/rooms/53940670"
"Milwaukie, Oregon, United States","45.40641","-122.64329","Cabana ✳ Private Home w/ King Beds, Pool & Hot Tub","12","Entire home","5","https://www.airbnb.com/rooms/40914478"
"Silverton, Oregon, United States","45.00867","-122.78477","Water Street (1 bedroom, full house to yourselves)","2","Entire home","5","https://www.airbnb.com/rooms/42320358"
"Lake Oswego, Oregon, United States","45.38476","-122.73566","Beautiful 4-bed Home --- Portland Microbrew on Tap","8","Entire home","5","https://www.airbnb.com/rooms/33510887"
"Government Camp, Oregon, United States","45.305","-121.755","Newly Remodeled Govy Cabin Chalet-Camp Creek Views","12","Entire chalet","5","https://www.airbnb.com/rooms/28262025"
"Gladstone, Oregon, United States","45.37928","-122.58896","Gladstone Garden Retreat","6","Entire home","5","https://www.airbnb.com/rooms/26453193"
"Government Camp, Oregon, United States","45.30376","-121.75832","Mount Hood Chalet (Collins Lake) Pool and Hot Tub","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/51332776"
"Rhododendron, Oregon, United States","45.38353","-121.91075","Waterfront Mtn Cabin, BBQ, Fire pit, Hot tub!","8","Entire cabin","5","https://www.airbnb.com/rooms/38996013"
"Oak Grove, Oregon, United States","45.40957","-122.62136","Oak Grove Getaway Retreat","12","Entire home","5","https://www.airbnb.com/rooms/18694684"
"West Linn, Oregon, United States","45.38384","-122.62906","The Bee Cottage","4","Entire cottage","5","https://www.airbnb.com/rooms/32869139"
