"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Dorchester, Iowa, United States","43.47855","-91.5211","Prairie Song Farm - Trout fish, hike, unwind!","6","Entire home","5","https://www.airbnb.com/rooms/19820987"
"Caledonia, Minnesota, United States","43.5671","-91.47653","Cedar Cabin #3","6","Entire cabin",,"https://www.airbnb.com/rooms/47179379"
"Warrens, Wisconsin, United States","44.133","-90.53","Double Unit Cabin near Waterparks & ATV Trails","16","Entire cabin","5","https://www.airbnb.com/rooms/43821217"
"Arcadia, Wisconsin, United States","44.24784","-91.44319","Unit 402       3 Bedroom 2 Bath   ""Country Condo""","10","Entire home","5","https://www.airbnb.com/rooms/50989882"
"Cashton, Wisconsin, United States","43.68942","-90.68984","Country Pleasures Group Getaway","15","Entire home","4.5","https://www.airbnb.com/rooms/44148633"
"Viroqua, Wisconsin, United States","43.552","-90.89","Viroqua Victorian Home","10","Entire home","5","https://www.airbnb.com/rooms/24931289"
"Winona, Minnesota, United States","44.04478","-91.70204","The Village House Inn","8","Entire home","5","https://www.airbnb.com/rooms/39821196"
"Sparta, Wisconsin, United States","43.85054","-90.84202","The Cottage - Justin Trails Resort","4","Entire cottage",,"https://www.airbnb.com/rooms/37946169"
"Arcadia, Wisconsin, United States","44.24693","-91.44267","Unit 401  3  Bedroom 2 Bath  ""Country Condo""","10","Entire home","5","https://www.airbnb.com/rooms/50993101"
"West Salem, Wisconsin, United States","43.90426","-91.09371","Nice 4 bedroom house in an awesome neighborhood.","4","Entire home",,"https://www.airbnb.com/rooms/45600352"
"La Crosse, Wisconsin, United States","43.80923","-91.24312","Copeland House - Entire Second Floor,   3 Bedrooms","6","Private room in home","5","https://www.airbnb.com/rooms/17076365"
"Onalaska, Wisconsin, United States","43.91359","-91.26727","Corto's Ona-Lakehouse Rental, LLC","12","Entire home","5","https://www.airbnb.com/rooms/43229372"
"Norwalk, Wisconsin, United States","43.83432","-90.73395","The Incline","2","Entire cabin","5","https://www.airbnb.com/rooms/53981111"
"Norwalk, Wisconsin, United States","43.83584","-90.73555","The Hilltop","2","Entire cabin","5","https://www.airbnb.com/rooms/53774630"
"Norwalk, Wisconsin, United States","43.83596","-90.73358","The Hideaway","2","Entire cabin","5","https://www.airbnb.com/rooms/54307294"
"La Crosse, Wisconsin, United States","43.84994","-91.2594","The Beach House","8","Entire home","4","https://www.airbnb.com/rooms/42467197"
"La Crosse, Wisconsin, United States","43.81403","-91.22597","Brand New,  3 Bed/ 2 Bath w/ Parking on UWL Campus","7","Entire home","5","https://www.airbnb.com/rooms/50878604"
"Onalaska, Wisconsin, United States","43.94162","-91.32107","Relaxation on the river - Extra Cleaned","8","Entire home","5","https://www.airbnb.com/rooms/41296976"
"Bangor, Wisconsin, United States","43.86903","-91.00412","Farm House Beauty","10","Entire home","5","https://www.airbnb.com/rooms/29098975"
"Dakota, Minnesota, United States","43.91473","-91.47121","The Lodge with Indoor Pool at Heart & Ridge","10","Farm stay","5","https://www.airbnb.com/rooms/47384989"
"La Crosse, Wisconsin, United States","43.80873","-91.24091","Corner Estate on Cameron","16","Entire home","5","https://www.airbnb.com/rooms/54242207"
"Onalaska, Wisconsin, United States","43.919","-91.283","New!! Entire Home on Lake Onalaska- Kayaks, Canoes","8","Entire cabin","5","https://www.airbnb.com/rooms/51857563"
"La Crosse, Wisconsin, United States","43.79265","-91.19548","House in the Hills, luxury, king bed, down quilts!","10","Entire home","5","https://www.airbnb.com/rooms/38241797"
"Onalaska, Wisconsin, United States","43.87921","-91.22362","Gert's Place","8","Entire home","5","https://www.airbnb.com/rooms/41861291"
"La Crosse, Wisconsin, United States","43.81097","-91.24624","The Cargill-Pettibone House","8","Entire home","5","https://www.airbnb.com/rooms/15345568"
