"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Holland, Michigan, United States","42.77673","-86.20074","Happy Hour at Ottawa Beach","6","Entire cottage",,"https://www.airbnb.com/rooms/52360386"
"Holland, Michigan, United States","42.7837","-86.19909","Lake Effect Cottage","12","Entire home","4.5","https://www.airbnb.com/rooms/27287386"
"Grand Haven, Michigan, United States","43.06681","-86.22423","Scott Free","8","Entire home","5","https://www.airbnb.com/rooms/21078456"
"Grand Haven, Michigan, United States","43.04909","-86.24219","4 Bedroom Unit of Norwood Cottage w/ Lake Mi Views","10","Entire cottage","5","https://www.airbnb.com/rooms/50331224"
"Norton Shores, Michigan, United States","43.20241","-86.30211","Haven @ Dune Harbor: Cottage Charm Close to it All","6","Entire cottage","5","https://www.airbnb.com/rooms/53637795"
"Spring Lake, Michigan, United States","43.07818","-86.21022","Beautiful Yacht minutes from Grand Haven","6","Boat","5","https://www.airbnb.com/rooms/51266199"
"Grand Haven, Michigan, United States","43.06544","-86.22923","Grand Haven/3RD ST. Retreat","6","Entire home","5","https://www.airbnb.com/rooms/5572742"
"Grand Haven, Michigan, United States","43.0584","-86.22663","Happy House 2","4","Entire rental unit","5","https://www.airbnb.com/rooms/20930579"
"Norton Shores, Michigan, United States","43.14304","-86.21962","Paradise Cove Lighthouse 2 BR 1 Bath Aptmt WIFI AC","6","Private room in townhouse","5","https://www.airbnb.com/rooms/15371410"
"Spring Lake, Michigan, United States","43.09314","-86.20816","Waterfront with hot tub and dock Spring Lake Cove","14","Entire home","4.5","https://www.airbnb.com/rooms/20311347"
"Grand Haven, Michigan, United States","43.06707","-86.22118","Quill Haven - Great Downtown Grand Haven Condo","6","Entire condo","4.5","https://www.airbnb.com/rooms/48445406"
"Spring Lake, Michigan, United States","43.11515","-86.16243","Charming Home in Wooded Setting-3","10","Entire home","5","https://www.airbnb.com/rooms/12811420"
"Holland, Michigan, United States","42.78442","-86.12241","The Gatehouse, Downtown Holland and Kollen Park!","8","Entire home","5","https://www.airbnb.com/rooms/27481431"
"Holland, Michigan, United States","42.76861","-86.17834","Great contemporary, cozy  Amazing backyard!","4","Entire home","5","https://www.airbnb.com/rooms/10491757"
"Holland, Michigan, United States","42.78862","-86.18876","Perfect Family Cottage! ""Pure Michigan"" Vacation!","10","Entire cottage","5","https://www.airbnb.com/rooms/40721829"
"Grand Haven, Michigan, United States","43.06578","-86.22564","Aqua Mermaid","8","Entire home","5","https://www.airbnb.com/rooms/27325926"
"Grand Haven, Michigan, United States","43.06207","-86.23312","Perfectly located Historical Downtown Cottage","8","Entire bungalow","5","https://www.airbnb.com/rooms/9167388"
"Grand Haven, Michigan, United States","43.06359","-86.23656","Beautifully decorated Condo w/ Balcony to enjoy all the views of the Channel and Boardwalk!","6","Entire condo",,"https://www.airbnb.com/rooms/49317715"
"Grand Haven, Michigan, United States","43.06676","-86.22168","SummerHaven","5","Entire condo","5","https://www.airbnb.com/rooms/35805963"
"Grand Haven, Michigan, United States","43.06744","-86.22388","BlueFox Getaway","7","Entire home","5","https://www.airbnb.com/rooms/48921707"
"Norton Shores, Michigan, United States","43.15243","-86.28466","Baileys Beach Retreat - Wooded and Quiet Area 1.5 Miles to Lake Michigan","9","Entire home","4.5","https://www.airbnb.com/rooms/23075294"
"Spring Lake, Michigan, United States","43.082","-86.182","Charming Cottage, Steps from Beach at Spring Lake","6","Entire bungalow","5","https://www.airbnb.com/rooms/18251362"
"West Olive, Michigan, United States","42.95308","-86.21463","Lake Breezes - walking distance to Lake Michigan","6","Entire home","5","https://www.airbnb.com/rooms/34470319"
"Grand Haven, Michigan, United States","43.06332","-86.23319","Luxury condo located in the heart of Grand Haven","6","Entire home","5","https://www.airbnb.com/rooms/50707310"
"Spring Lake, Michigan, United States","43.06653","-86.24788","Sunset Cove - Close to North Beach Park!","12","Entire home","5","https://www.airbnb.com/rooms/42433100"
