"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Dedham, Massachusetts, United States","42.26633","-71.20197","The Gatehouse, Cheerful 3 bedroom 3 bathroom house","6","Entire home","5","https://www.airbnb.com/rooms/51267917"
"Boston, Massachusetts, United States","42.29321","-71.11727","Spacious Luxury Renovation | near T","12","Entire rental unit","5","https://www.airbnb.com/rooms/48329192"
"Boston, Massachusetts, United States","42.35562","-71.06056","Luxury Loft | Boston Common | Monthly Discount","6","Entire serviced apartment","5","https://www.airbnb.com/rooms/45502178"
"Boston, Massachusetts, United States","42.27679","-71.06871","Sparkling Clean, HOME away from home!","6","Entire townhouse","5","https://www.airbnb.com/rooms/49067845"
"Needham, Massachusetts, United States","42.29736","-71.23029","Quiet and convienient home","3","Entire home","4","https://www.airbnb.com/rooms/37676000"
"Boston, Massachusetts, United States","42.354","-71.062","The Godfrey Hotel Boston, Double Queen","2","Room in boutique hotel","4","https://www.airbnb.com/rooms/36269751"
"Cambridge, Massachusetts, United States","42.37028","-71.08637","The NERDpartment in the heart of Cambridge","5","Entire rental unit","5","https://www.airbnb.com/rooms/39896724"
"Boston, Massachusetts, United States","42.362","-71.05","Houseboat Taurus:  Floatable home right in Downtown Boston!","6","Entire home","3.5","https://www.airbnb.com/rooms/49555579"
"Boston, Massachusetts, United States","42.3288","-71.1106","Huge 3 Bedrooms 2 bathrooms apt with balcony","8","Entire rental unit",,"https://www.airbnb.com/rooms/53607104"
"Boston, Massachusetts, United States","42.35429","-71.06118","Book This Winter, Prime Location, No Car Needed! Large Loft Like Condo, 2+ Bedrooms","5","Entire rental unit","5","https://www.airbnb.com/rooms/48285608"
"Cambridge, Massachusetts, United States","42.36343","-71.11263","Renovated 3 Bed,1.5 Bath Close to Harvard and MIT","8","Entire rental unit",,"https://www.airbnb.com/rooms/40565168"
"Boston, Massachusetts, United States","42.352","-71.061","Heart of Boston! Bright Sunny 2BR w Kitchen, Gym","5","Entire serviced apartment",,"https://www.airbnb.com/rooms/43957080"
"Boston, Massachusetts, United States","42.35125","-71.08667","Back Bay Condo on Marlborough Street!","2","Entire condo","4.5","https://www.airbnb.com/rooms/15819226"
"Boston, Massachusetts, United States","42.35473","-71.0622","LUXURY CONDO BEST LOCATION IN BOSTON","6","Entire condo",,"https://www.airbnb.com/rooms/37718326"
"Cambridge, Massachusetts, United States","42.36862","-71.08573","WELL-APPOINTED, BRIGHT AND SPACIOUS","4","Entire rental unit","5","https://www.airbnb.com/rooms/3334098"
"Boston, Massachusetts, United States","42.35147","-71.07835","Boston Back Bay/Copley Square","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/5903001"
"Cambridge, Massachusetts, United States","42.38258","-71.13646","SunsplashedSerenity walk to Harvard & Fresh Pond","5","Entire rental unit","5","https://www.airbnb.com/rooms/8521"
"Boston, Massachusetts, United States","42.32862","-71.11067","Fantastic 2br apt with wonderful view Boston","4","Entire rental unit",,"https://www.airbnb.com/rooms/39365653"
"Medford, Massachusetts, United States","42.40061","-71.10475","Modern Open Concept 2 bed near Davis Sq & Tufts","5","Entire rental unit","5","https://www.airbnb.com/rooms/14359883"
"Boston, Massachusetts, United States","42.33836","-71.07613","Boston | 3 Bedrooms | Patio | Full-Kitchen..","5","Entire condo","4.5","https://www.airbnb.com/rooms/48466008"
"Waltham, Massachusetts, United States","42.39845","-71.23646","Private Sun Bedroom in Harvard House","2","Private room in home",,"https://www.airbnb.com/rooms/28910949"
"Brookline, Massachusetts, United States","42.33818","-71.11869","The Trio at Coolidge Corner Guesthouse (3 BDR)","6","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/50795754"
"Somerville, Massachusetts, United States","42.39543","-71.08922","Great 5 BR, 2 Bath Unit","10","Entire home",,"https://www.airbnb.com/rooms/47469824"
"Boston, Massachusetts, United States","42.346","-71.073","CENTRALLY LOCATED BOSTON apartment","4","Entire townhouse","5","https://www.airbnb.com/rooms/8596566"
"Boston, Massachusetts, United States","42.34994","-71.08552","Sonder No. 284 Back Bay | King Room","2","Room in boutique hotel","5","https://www.airbnb.com/rooms/53026691"
