"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Belgrade, Maine, United States","44.51188","-69.88166","Golfer's Getaway, Belgrade Lakes; sleeps 4","4","Entire cottage","5","https://www.airbnb.com/rooms/51036804"
"Leeds, Maine, United States","44.29821","-70.09734","Peaceful Lakeside Cottage","8","Entire cabin",,"https://www.airbnb.com/rooms/4694865"
"Mount Vernon, Maine, United States","44.45378","-70.01719","Exceptional Cabin ""Its All Good"" - Echo Lake","4","Entire cabin",,"https://www.airbnb.com/rooms/31711830"
"Monmouth, Maine, United States","44.23791","-70.03773","Central Maine Lakefront Home (Bedroom 2)","3","Private room in bungalow",,"https://www.airbnb.com/rooms/31330958"
"Jefferson, Maine, United States","44.12985","-69.50626","Damariscotta Lake Camp Jefferson, ME","6","Entire cottage","5","https://www.airbnb.com/rooms/7256332"
"Readfield, Maine, United States","44.38141","-69.95103","cozy lakefront cottage","8","Entire cottage","5","https://www.airbnb.com/rooms/12362776"
"Rome, Maine, United States","44.53089","-69.88661","Wings Hill Inn Lakeview Suite/Apartment","6","Entire rental unit","5","https://www.airbnb.com/rooms/34860068"
"Winthrop, Maine, United States","44.32271","-69.89257","Maine Lakefront Cabin on Cobbossee Lake","8","Entire cabin",,"https://www.airbnb.com/rooms/49745758"
"Belgrade, Maine, United States","44.514","-69.76585","Loon Haven","4","Entire cottage","5","https://www.airbnb.com/rooms/17514137"
"Monmouth, Maine, United States","44.22553","-70.03666","Large Maine Farmhouse near Conchnewagon Lake","16","Entire home","5","https://www.airbnb.com/rooms/48978282"
"Washington, Maine, United States","44.28952","-69.39814","Triple R Retreat- Peaceful Waterfront Getaway","6","Entire cottage","5","https://www.airbnb.com/rooms/32987506"
"Greene, Maine, United States","44.1663","-70.12108","Divine & Serene Suite at Vista of Maine Vineyard!","8","Entire townhouse","5","https://www.airbnb.com/rooms/45268969"
"Winthrop, Maine, United States","44.30506","-69.97171","Walk/snowmobile to Lake Maranacook& Ice fishing","8","Entire home","4.5","https://www.airbnb.com/rooms/48626106"
"Leeds, Maine, United States","44.29942","-70.09819","Family Friendly Lakeside Cottage","7","Entire cabin","5","https://www.airbnb.com/rooms/1256248"
"Augusta, Maine, United States","44.28443","-69.67732","Entire lakefront duplex on Togus Pond with decks, canoe, 2 firepits & great view","6","Entire cabin",,"https://www.airbnb.com/rooms/53145111"
"Smithfield, Maine, United States","44.63998","-69.84126","Spacious Cottage North Pond Access","4","Entire cottage","5","https://www.airbnb.com/rooms/43302333"
"Augusta, Maine, United States","44.31338","-69.81418","The Gate House at the Maine Evergreen Hotel","3","Entire rental unit","5","https://www.airbnb.com/rooms/46098758"
"Belgrade, Maine, United States","44.52574","-69.85757","Waterfront Cabin with Sunset Views on Great Pond!","6","Entire cottage","5","https://www.airbnb.com/rooms/50936350"
"Manchester, Maine, United States","44.28289","-69.8905","Original ""Moonlight Bay""","6","Entire home","5","https://www.airbnb.com/rooms/21895529"
"Belgrade, Maine, United States","44.44465","-69.83142","The Loon Cabin at Loon Ridge","4","Entire cabin","5","https://www.airbnb.com/rooms/43379479"
"Wayne, Maine, United States","44.33899","-70.06724","Charming & Private Waterfront Farmhouse and Camp","8","Entire home",,"https://www.airbnb.com/rooms/36342892"
"Belgrade, Maine, United States","44.44153","-69.83087","The Bear Cabin at Loon Ridge","4","Entire cabin","5","https://www.airbnb.com/rooms/43364477"
"Greene, Maine, United States","44.16716","-70.12286","Classic Cape-Style Farmhouse on 550-Acre Vineyard!","10","Entire townhouse","4.5","https://www.airbnb.com/rooms/45268975"
"Greene, Maine, United States","44.16772","-70.12133","Cozy Home w/ Vineyard, Working Farm & Fall Foliage","10","Entire home","4.5","https://www.airbnb.com/rooms/28868266"
"Belgrade, Maine, United States","44.44289","-69.8312","The Nest Cabin at Loon Ridge","2","Entire cabin","4.5","https://www.airbnb.com/rooms/43379166"
