"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Franklin, Tennessee, United States","35.92176","-86.87875","Franklin Historic Cottage on Old Womack Distillery","5","Entire home",,"https://www.airbnb.com/rooms/54030840"
"Franklin, Tennessee, United States","35.89714","-86.91718","Southall Home * Desired location 5 min to Main St.","7","Entire home","5","https://www.airbnb.com/rooms/53175711"
"Murfreesboro, Tennessee, United States","35.86879","-86.35995","Lovely 1-unit with pool","1","Private room in rental unit",,"https://www.airbnb.com/rooms/54182385"
"Franklin, Tennessee, United States","35.923","-86.873","The Overlook on Main St. (Downtown Franklin)","4","Entire rental unit","5","https://www.airbnb.com/rooms/24016390"
"Winchester, Tennessee, United States","35.19678","-86.13447","Cottage on the water! Located on Tims Ford Lake.","8","Entire cabin",,"https://www.airbnb.com/rooms/53852002"
"Franklin, Tennessee, United States","35.92223","-86.85381","Elmwood  Cottage","5","Entire home","5","https://www.airbnb.com/rooms/37484203"
"Franklin, Tennessee, United States","35.97646","-86.87707","Cute Maple house 5 minutes to Downtown Franklin","10","Entire home","5","https://www.airbnb.com/rooms/43314736"
"Franklin, Tennessee, United States","35.9212","-86.88286","Generals Retreat Guest Home","4","Entire home","5","https://www.airbnb.com/rooms/3089901"
"Franklin, Tennessee, United States","35.899","-86.82447","Franklin (3 beds + 1 crib) Family Friendly Home","7","Entire home","5","https://www.airbnb.com/rooms/53565979"
"Franklin, Tennessee, United States","35.93153","-86.88579","Cozy Franklin Home Fit for Work & Play","5","Entire home",,"https://www.airbnb.com/rooms/35277459"
"Murfreesboro, Tennessee, United States","35.85743","-86.39845","Blue Door Casa Grande **contactless self-checkin**","12","Entire home","5","https://www.airbnb.com/rooms/28032751"
"Franklin, Tennessee, United States","35.92272","-86.87583","Fairabode, Quaint Craftsman Cottage","4","Entire home","5","https://www.airbnb.com/rooms/8035314"
"Tullahoma, Tennessee, United States","35.26907","-86.23615","New!! Hello Sunshine! Cottage on Tim's Ford Lake","8","Entire cottage","5","https://www.airbnb.com/rooms/50436784"
"Sewanee, Tennessee, United States","35.19195","-85.9209","Angel Landing at Sewanee","7","Entire home","5","https://www.airbnb.com/rooms/47125471"
"Murfreesboro, Tennessee, United States","35.9087","-86.35407","See Murfreesboro/Nashville,TN: Music/Sport/Ed","7","Entire home","5","https://www.airbnb.com/rooms/20571967"
"Winchester, Tennessee, United States","35.18669","-86.11329","LAKESIDE at Twin Creeks on Tims Ford. Marina side.","14","Entire home","5","https://www.airbnb.com/rooms/49705362"
"Winchester, Tennessee, United States","35.19636","-86.13566","Stay on the water at Tims Ford Lake","8","Entire cottage","4.5","https://www.airbnb.com/rooms/53863156"
"Franklin, Tennessee, United States","35.9085","-86.88683","The 505","6","Entire bungalow","5","https://www.airbnb.com/rooms/34811936"
"Winchester, Tennessee, United States","35.19266","-86.13081","Best Sunrise at Tims Ford Lake - Lakefront home","8","Entire cottage",,"https://www.airbnb.com/rooms/53851551"
"Franklin, Tennessee, United States","35.91079","-86.87233","Minutes to Downtown Franklin, Bar w/Pool Table","10","Entire home","5","https://www.airbnb.com/rooms/43728423"
"Murfreesboro, Tennessee, United States","35.89765","-86.3707","Upscale Home in Murfreesboro","8","Entire home","5","https://www.airbnb.com/rooms/14219457"
"Murfreesboro, Tennessee, United States","35.83158","-86.33506","The Gallery Home","8","Entire home","4","https://www.airbnb.com/rooms/50404072"
"Murfreesboro, Tennessee, United States","35.85766","-86.39067","NEW Maple Manor | Murfreesboro Luxury Townhouse","14","Entire townhouse","4.5","https://www.airbnb.com/rooms/40310245"
"Franklin, Tennessee, United States","35.91856","-86.8865","The Happy Place","4","Entire bungalow","5","https://www.airbnb.com/rooms/47330299"
"Franklin, Tennessee, United States","35.95562","-86.84902","Cozy Franklin Cottage with Lovely View","4","Entire cottage","5","https://www.airbnb.com/rooms/51987374"
