"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Park City , Utah, United States","40.653","-111.505","Old Town Park City, Walk to Ski Lift + HOT TUB","8","Entire home","5","https://www.airbnb.com/rooms/8824354"
"Park City, Utah, United States","40.685","-111.557","Ski On/Ski Off Park City - 2BR/2BA @ Canyons Base","6","Entire condo","5","https://www.airbnb.com/rooms/51693186"
"Solitude, Utah, United States","40.62016","-111.5921","Solitude Creekside Condo-Closest to Ski Lift!","4","Entire condo","5","https://www.airbnb.com/rooms/30320410"
"Park City, Utah, United States","40.623","-111.5","Abode on Empire Pass | Best value! Great Trails Access! Luxury Unit!","8","Entire condo",,"https://www.airbnb.com/rooms/15705166"
"Park City, Utah, United States","40.6587","-111.51644","Park City Silver Star 501 (Ski-in/Ski-out)Townhome Hot Tub Community Amenities","11","Entire townhouse",,"https://www.airbnb.com/rooms/43215540"
"Park City, Utah, United States","40.68617","-111.55512","Ski-In/Out Grand Summit Park City 1 Bd 2 Bath Unit","6","Entire condo","5","https://www.airbnb.com/rooms/4121928"
"Park City, Utah, United States","40.65162","-111.50702","Ski In/Out⛷️ 4⭐Marriott Mountainside Luxury Studio","4","Room in aparthotel","5","https://www.airbnb.com/rooms/27760097"
"Alta, Utah, United States","40.585","-111.649","The View #5 - Ski in/Ski Out to this Charming, Updated 2 Bedroom with Open Loft","6","Entire condo","4.5","https://www.airbnb.com/rooms/17317586"
"Park City, Utah, United States","40.62647","-111.48779","Abode at Double Eagle | sits slope-side in the Silver Lake area at Deer Valley","10","Entire condo",,"https://www.airbnb.com/rooms/35189782"
"Park City, Utah, United States","40.6843","-111.55089","Three-Story Ski-In/Ski-Out Townhouse w/ Free WiFi, Shared Pool, Hot Tub, Tennis","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/49708135"
"Hideout, Utah, United States","40.6839","-111.4294","Spacious dog-friendly ski home with mountain/valley views, fireplaces","10","Entire home",,"https://www.airbnb.com/rooms/705933889814788500"
"Cottonwood Heights, Utah, United States","40.61882","-111.5925","Perfect two bedroom condo in Powderhorn lodge","8","Entire condo","5","https://www.airbnb.com/rooms/15445735"
"Park City, Utah, United States","40.64837","-111.50412","Park City Empire 4 Bedroom. Walk to PCMR Base","12","Entire home",,"https://www.airbnb.com/rooms/46805109"
"Brighton, Utah, United States","40.60137","-111.58495","Beautiful ski-in/ski-out cabin w/washer/dryer, central AC - walk to lifts","10","Entire home","4.5","https://www.airbnb.com/rooms/52635506"
"Park City, Utah, United States","40.68442","-111.55755","Ski-in / Ski-out Golf Access FIVE DIAMOND Luxury 3K sq. ft Townhome @ Park City Canyons Village","12","Entire townhouse","5","https://www.airbnb.com/rooms/32764829"
"Alta, Utah, United States","40.585","-111.649","The View #19 - Updated Condominium with Fireplace, and Granite Countertops","6","Entire condo","5","https://www.airbnb.com/rooms/19383303"
"Park City, Utah, United States","40.66533","-111.4852","Park City Retreat w/Mountain Views + Location!","12","Entire townhouse","5","https://www.airbnb.com/rooms/10972860"
"Solitude, Utah, United States","40.623","-111.598","Unbelievable 2 Bedroom Solitude Mountain Condo","6","Entire condo","5","https://www.airbnb.com/rooms/39486814"
"Summit County, Utah, United States","40.68583","-111.55382","Mountain Getaway! Comfy Unit, Restaurant, Gym","7","Room in hotel",,"https://www.airbnb.com/rooms/50348332"
"Park City, Utah, United States","40.64209","-111.4944","Premium 2BD Main Street Condo","6","Entire condo","4.5","https://www.airbnb.com/rooms/21679617"
"Park City, Utah, United States","40.62337","-111.48907","Abode at Black Bear #151 | Steps to DV & Recently Remodeled! Private Hot Tub, Concierge","6","Entire condo",,"https://www.airbnb.com/rooms/48852290"
"Park City, Utah, United States","40.68161","-111.55634","Hilton Sunrise Lodge- Two Bedroom Villa","6","Entire condo",,"https://www.airbnb.com/rooms/38694338"
"Park City, Utah, United States","40.64477","-111.48795","Impeccable residence on Rossi Hill, Mins to Deer Valley","7","Entire townhouse","5","https://www.airbnb.com/rooms/26198742"
"Park City, Utah, United States","40.641","-111.477","New Listing: Fantastic 2 bed steps from Deer Valle","5","Entire condo","5","https://www.airbnb.com/rooms/35804135"
"Park City, Utah, United States","40.66365","-111.4947","Brand New Remodeled 3Bed 2Bath Park City Condo!","6","Entire condo","5","https://www.airbnb.com/rooms/48214070"
