"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Richmond, Minnesota, United States","45.38513","-94.52428","Super Spacious Lakehome on 4 Acres","10","Entire home","5","https://www.airbnb.com/rooms/47492531"
"Melrose, Minnesota, United States","45.74427","-94.80752","LG walkout Lake Home 3Br/3bath with garage, Hottub","13","Entire home","5","https://www.airbnb.com/rooms/51175813"
"Richmond, Minnesota, United States","45.43468","-94.53055","Horseshoe Hideout","9","Entire home","5","https://www.airbnb.com/rooms/34929610"
"Avon, Minnesota, United States","45.65622","-94.50886","Red Oak Cottage on Pine Lake. 200' shore. ALL year","8","Entire cottage","5","https://www.airbnb.com/rooms/45520963"
"New London, Minnesota, United States","45.30685","-95.09275","Large Group Lake Home, Relax year round!","16","Entire vacation home",,"https://www.airbnb.com/rooms/53294140"
"Rice, Minnesota, United States","45.6928","-94.20288","Escape on the Mississippi  - 1 Hr from Twin CIties","12","Entire home","5","https://www.airbnb.com/rooms/25722895"
"Belgrade, Minnesota, United States","45.47901","-94.92125","Feathered Acres Learning Farm (Entire Barn Rental)","11","Barn","4.5","https://www.airbnb.com/rooms/50417984"
"Sauk Centre, Minnesota, United States","45.75192","-94.96041","Lakeside Home","12","Entire cabin","5","https://www.airbnb.com/rooms/43855945"
"Richmond, Minnesota, United States","45.43492","-94.50993","Great Lakefront Home great for family vacations","12","Entire home","5","https://www.airbnb.com/rooms/17044549"
"St. Cloud, Minnesota, United States","45.54949","-94.12834","Near St. Benedict's - Quiet Room - Room 4","1","Private room in rental unit",,"https://www.airbnb.com/rooms/52514289"
"South Haven, Minnesota, United States","45.32828","-94.11529","Lake House with Private Beach, Great for Families","12","Entire home",,"https://www.airbnb.com/rooms/49674796"
"South Haven, Minnesota, United States","45.30896","-94.21866","Delightful 2 - bedroom camper/RV with private pool","7","Camper/RV","5","https://www.airbnb.com/rooms/51216963"
"Rice, Minnesota, United States","45.75571","-94.22429","2016 Jayco Octane 222","8","Camper/RV",,"https://www.airbnb.com/rooms/52110172"
"Annandale, Minnesota, United States","45.32639","-94.11634","Clearwater Lake Getaway w/ Shared Pool & Boat Dock","6","Entire townhouse","5","https://www.airbnb.com/rooms/26008813"
"Annandale, Minnesota, United States","45.32524","-94.11068","Large Home on Bass Lake (clear, quiet, and sandy!)","10","Entire cabin",,"https://www.airbnb.com/rooms/54084213"
"Annandale, Minnesota, United States","45.319","-94.108","Beautiful 2 Story Lake Front Home on Bass Lake","12","Entire home","5","https://www.airbnb.com/rooms/24423110"
"Sunburg, Minnesota, United States","45.31926","-95.11165","Southern Charm on a Northern Lake (Lake Norway)","9","Entire home","5","https://www.airbnb.com/rooms/14283396"
"St. Cloud, Minnesota, United States","45.55515","-94.14981","The Brower House Mississippi Overlook Room B","2","Private room in home","5","https://www.airbnb.com/rooms/48912145"
"Richmond, Minnesota, United States","45.428","-94.516","Pine Valley - Beautiful 4 Bed/2 Ba lake side home","8","Entire home","5","https://www.airbnb.com/rooms/47465181"
"St. Cloud, Minnesota, United States","45.55613","-94.14771","Mississippi River family suite overlook room C","4","Private room in home","5","https://www.airbnb.com/rooms/50794934"
"Annandale, Minnesota, United States","45.317","-94.053","Cozy Clean Cabin on Sugar -Ski/Snowboard, Ice Fish","7","Entire cabin","5","https://www.airbnb.com/rooms/49124836"
"Sauk Centre, Minnesota, United States","45.75168","-94.95937","Lakeside Cottage","6","Entire cottage","5","https://www.airbnb.com/rooms/43832179"
"St. Cloud, Minnesota, United States","45.56212","-94.17053","The Rail: 2 Bedrooms in 4 BR SharedHome - NearDwtn","4","Private room in home",,"https://www.airbnb.com/rooms/41030234"
"Avon, Minnesota, United States","45.57604","-94.43734","Robin's Nest near SJU, CSB & Wobegon Trail","6","Entire home","5","https://www.airbnb.com/rooms/28894427"
"St. Cloud, Minnesota, United States","45.57185","-94.17011","Charming Cape Cod Character Home!","9","Entire home","4.5","https://www.airbnb.com/rooms/10251319"
