"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Alton, New Hampshire, United States","43.55277","-71.30697","Brand new lakefront 4 season home with Dock","6","Entire home","5","https://www.airbnb.com/rooms/45671784"
"Gilford, New Hampshire, United States","43.56907","-71.3428","Lake Winnipesaukee Condo at Samoset","6","Entire condo","5","https://www.airbnb.com/rooms/45579550"
"Washington, New Hampshire, United States","43.203","-72.022","Enjoy peaceful surroundings at Hummingbird House","4","Entire home","5","https://www.airbnb.com/rooms/50110976"
"Boscawen, New Hampshire, United States","43.32667","-71.6864","Beautiful 4 bedroom 2 bath suite","4","Entire rental unit",,"https://www.airbnb.com/rooms/54054301"
"Henniker, New Hampshire, United States","43.13376","-71.79898","On the Back side of Pats Peak","2","Private room in guest suite",,"https://www.airbnb.com/rooms/42274131"
"Laconia, New Hampshire, United States","43.60899","-71.46579","2nd Floor Condo @ The Village","6","Entire condo","5","https://www.airbnb.com/rooms/18668020"
"Laconia, New Hampshire, United States","43.60746","-71.46449","3rd Floor Condo @ The Village","6","Entire condo","4.5","https://www.airbnb.com/rooms/21959255"
"Francestown, New Hampshire, United States","43.02069","-71.86843","Crotched Mountain Golf Club, Autumn Leaf Peeping","4","Entire home",,"https://www.airbnb.com/rooms/48028097"
"Newbury, New Hampshire, United States","43.28548","-71.98883","A Blast From The Past","10","Entire home","5","https://www.airbnb.com/rooms/19518092"
"Laconia, New Hampshire, United States","43.60734","-71.46409","Spacious 3 bedroom Condo Close to Weirs Beach!!","8","Entire condo","5","https://www.airbnb.com/rooms/50331455"
"Laconia, New Hampshire, United States","43.61114","-71.46137","NEW! Historic Lakefront Home: Walk to Weirs Beach!","10","Entire home","4.5","https://www.airbnb.com/rooms/51491829"
"Laconia, New Hampshire, United States","43.608","-71.461","Location, Location, Location!  Weirs Beach Cottage","4","Entire guesthouse","5","https://www.airbnb.com/rooms/48622898"
"Laconia, New Hampshire, United States","43.57262","-71.46955","Monthly Rental-Lakeview Condo - South Down Shores","8","Entire home",,"https://www.airbnb.com/rooms/33472129"
"Tilton, New Hampshire, United States","43.46978","-71.53828","Silver Lake beach access at Uncle Leroy's Daydream","8","Entire home",,"https://www.airbnb.com/rooms/54104502"
"Sutton, New Hampshire, United States","43.36573","-71.94002","Follansbee Inn","4","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/17971834"
"Gilford, New Hampshire, United States","43.57027","-71.36621","Hillside house overlooking Winnipesaukee, Gunstock","8","Entire home","5","https://www.airbnb.com/rooms/13942027"
"Laconia, New Hampshire, United States","43.60596","-71.46503","Spacious Condo Walking distance to Weirs","6","Entire condo","4.5","https://www.airbnb.com/rooms/49378815"
"Laconia, New Hampshire, United States","43.58593","-71.45721","Waterfront Spring or Summer Private Island Home","4","Entire home","4.5","https://www.airbnb.com/rooms/11141752"
"Manchester, New Hampshire, United States","43.00995","-71.4608","N End Single Fam. 5 Bed/2Ba w/office & Private W/D","4","Entire home",,"https://www.airbnb.com/rooms/41104607"
"Laconia, New Hampshire, United States","43.6101","-71.46063","beach/ski rustic inn #1","6","Room in aparthotel","4.5","https://www.airbnb.com/rooms/50791613"
"Laconia, New Hampshire, United States","43.60248","-71.43449","Cute 3BR Home Near Weir's Beach","8","Entire home","4.5","https://www.airbnb.com/rooms/1046384"
"Laconia, New Hampshire, United States","43.60777","-71.4651","2 Bdrm Condo walking distance to Weirs Beach","6","Entire condo","5","https://www.airbnb.com/rooms/49501562"
"Windsor, New Hampshire, United States","43.12432","-72.03042","Lakefront Cottage in a Quiet, Beautiful Location","4","Entire cottage",,"https://www.airbnb.com/rooms/37658370"
"Laconia, New Hampshire, United States","43.6069","-71.46089","Location, Location, Location!  Weirs Beach cabin","4","Entire guesthouse","5","https://www.airbnb.com/rooms/48626039"
"Sanbornton, New Hampshire, United States","43.58622","-71.59464","The Bickford Farm on Saddle Hill","6","Entire home","5","https://www.airbnb.com/rooms/45012064"
