"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Red Lodge, Montana, United States","45.26181","-109.22421","Lynx Suite","6","Entire guest suite","5","https://www.airbnb.com/rooms/47747171"
"Red Lodge, Montana, United States","45.13124","-109.28776","Fishing Cabin on Creek near Red Lodge Yellowstone","8","Entire guesthouse","5","https://www.airbnb.com/rooms/49503843"
"Roberts, Montana, United States","45.40706","-109.12399","Cabin","8","Entire cabin","4.5","https://www.airbnb.com/rooms/50269630"
"Columbus, Montana, United States","45.60457","-109.15649","Montana Farmhouse Stay at working Cattle Ranch","5","Entire home","5","https://www.airbnb.com/rooms/44196245"
"Red Lodge, Montana, United States","45.19701","-109.24491","Base Camp: A modern home near history","6","Entire home","5","https://www.airbnb.com/rooms/48197225"
"Nye, Montana, United States","45.43773","-109.7947","Two Rivers Caddis-Executive Cabin-Stillwater River","8","Entire cabin","5","https://www.airbnb.com/rooms/20931218"
"Red Lodge, Montana, United States","45.28357","-109.41505","Enchanting Cabin, quiet, peaceful, stunning views","6","Entire cabin","5","https://www.airbnb.com/rooms/1200673"
"Absarokee, Montana, United States","45.45826","-109.44993","Quaking Aspen Ranch, Whitetail Buck Suite","6","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/23873070"
"Absarokee, Montana, United States","45.45973","-109.4512","Quaking Aspen Ranch, Sandhill Crane Suite","4","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/23874832"
"Absarokee, Montana, United States","45.45755","-109.45068","Quaking Aspen Ranch, Rainbow Trout Suite","6","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/23874331"
"Red Lodge, Montana, United States","45.18852","-109.24381","Spacious Historic Home in Downtown Red Lodge","8","Entire home","5","https://www.airbnb.com/rooms/17621268"
"Red Lodge, Montana, United States","45.18132","-109.25307","Red Lodge Town Cottage ~ Sleeps 9","9","Entire home","4.5","https://www.airbnb.com/rooms/32693404"
"Red Lodge, Montana, United States","45.19385","-109.25911","Beartooth Montana Getaway, Red Lodge, MT","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/28105598"
"Absarokee, Montana, United States","45.45959","-109.4516","Quaking Aspen Ranch, Rosebud River Suite","4","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/23875260"
"Absarokee, Montana, United States","45.45803","-109.4504","Quaking Aspen Ranch, Moose, Glamping Cabin","4","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/36488833"
"Nye, Montana, United States","45.49268","-109.66882","Rustic Riverfront Family Cabin on Stillwater River","6","Entire cabin","5","https://www.airbnb.com/rooms/49401649"
"Red Lodge, Montana, United States","45.20139","-109.25989","Absaroka Clubhouse","8","Entire townhouse","5","https://www.airbnb.com/rooms/11530195"
"Absarokee, Montana, United States","45.45971","-109.45123","Quaking Aspen Ranch, The Herd, Glamping Cabin","4","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/37745291"
"Absarokee, Montana, United States","45.45809","-109.45188","Quaking Aspen Ranch, Grizzly, Glamping Cabin","4","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/41181703"
"Absarokee, Montana, United States","45.53604","-109.43928","Fishin Haven","9","Entire home","5","https://www.airbnb.com/rooms/22672263"
"Roberts, Montana, United States","45.274","-109.238","Large Family Cabin w/ Beautiful View of Mountains","10","Entire cabin",,"https://www.airbnb.com/rooms/43566443"
"Red Lodge, Montana, United States","45.19437","-109.24639","Mavericks Corner ~ Where Ponderosa Meets the Modern West - Sleeps 10","10","Entire home","4","https://www.airbnb.com/rooms/51600811"
"Red Lodge, Montana, United States","45.19974","-109.2544","Incredible Townhome - Views! - Hot Tub! - Traeger!","9","Entire townhouse","5","https://www.airbnb.com/rooms/35770284"
"Red Lodge, Montana, United States","45.17934","-109.24695","Red Lodge Creek Side Mini Lodge!","6","Entire home","5","https://www.airbnb.com/rooms/8857264"
"Nye, Montana, United States","45.49257","-109.67212","Charming renovated Stillwater River Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/49244950"
