"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Red River, New Mexico, United States","36.70868","-105.41781","Hacienda on Pioneer Creek - In Town - WiFi - Cable - Washer/Dryer - Gas Fireplaces - On Pioneer Creek - Large Deck - Gas Grill - Two Living Rooms - No Trailer Parking","12","Entire home","4","https://www.airbnb.com/rooms/21110154"
"Arroyo Seco, New Mexico, United States","36.51779","-105.57286","Casa Seco -  Close to Taos Ski Valley and Town","5","Earthen home","5","https://www.airbnb.com/rooms/262307"
"Red River, New Mexico, United States","36.70732","-105.41054","20A - 3 Bedroom 1 3/4 Bathroom","8","Entire condo",,"https://www.airbnb.com/rooms/51781961"
"Angel Fire, New Mexico, United States","36.39957","-105.26888","Wheeler Peak Views; 2 miles to Bike Park! Halo Pines Cabin","13","Entire home",,"https://www.airbnb.com/rooms/34747939"
"Taos Ski Valley, New Mexico, United States","36.5961","-105.45622","Summer Fun in Taos Ski Valley","4","Entire condo","4.5","https://www.airbnb.com/rooms/21701163"
"Angel Fire, New Mexico, United States","36.38931","-105.27444","Dual master -Walking Distance to Angel Fire Resort","6","Entire condo","5","https://www.airbnb.com/rooms/40595274"
"Taos, New Mexico, United States","36.41","-105.568","Taos, NM, Studio Deluxe Z #3","4","Entire condo",,"https://www.airbnb.com/rooms/32909699"
"Red River, New Mexico, United States","36.63802","-105.38364","River Breeze - Quiet 2 Bedroom unit, Great Views of the River and the Local Wildlife!","4","Entire cabin",,"https://www.airbnb.com/rooms/19608828"
"Angel Fire, New Mexico, United States","36.39526","-105.28541","Great Views; Large Deck; Pet Friendly; Game Table! Longhorn Lodge","10","Entire home","4.5","https://www.airbnb.com/rooms/34172075"
"Angel Fire, New Mexico, United States","36.34885","-105.27405","Mountain Top Retreat","6","Entire cabin","5","https://www.airbnb.com/rooms/50210554"
"Red+River, New Mexico, United States","36.7238","-105.36181","Cabin by the Creek - Log Cabin by Bittercreek, Great Deck, Fire Pit, Picnic Area, Hammock","6","Entire cabin","4.5","https://www.airbnb.com/rooms/17282555"
"Angel Fire, New Mexico, United States","36.36243","-105.29517","Casa Del Paz Retreat Cabin","12","Entire home","4.5","https://www.airbnb.com/rooms/53496881"
"Angel Fire, New Mexico, United States","36.37307","-105.29081","Large Deck w/ Grill; Wildlife Views; Fire Place! Whispering Pines","6","Entire home",,"https://www.airbnb.com/rooms/40206777"
"Red River, New Mexico, United States","36.7073","-105.41153","06 - 2 Bedroom Studio 1 ¾ Bathroom","6","Entire condo",,"https://www.airbnb.com/rooms/51785426"
"Angel Fire, New Mexico, United States","36.37735","-105.28698","Mountain Respite with room for Fun!","12","Entire townhouse","5","https://www.airbnb.com/rooms/53077128"
"Angel Fire, New Mexico, United States","36.33078","-105.28524","Cabin in the Woods 6 Mi to Angel Fire Resort!","8","Entire cabin","5","https://www.airbnb.com/rooms/45482995"
"Red River, New Mexico, United States","36.70842","-105.41155","01 - 2 Bedroom Studio 1 ¾ Bathroom","6","Entire condo",,"https://www.airbnb.com/rooms/51716691"
"Red River, New Mexico, United States","36.64746","-105.38075","Bear Valley Cabin - Upper Valley - New Property - Pet Friendly","12","Entire cabin",,"https://www.airbnb.com/rooms/53827433"
"Angel Fire, New Mexico, United States","36.38676","-105.27656","Lovely, 3 bedroom condo with indoor fireplace.","6","Entire condo","5","https://www.airbnb.com/rooms/52162773"
"Angel Fire, New Mexico, United States","36.3886","-105.27554","Condowalking distance 1 block cover parking","8","Entire condo","4.5","https://www.airbnb.com/rooms/40684235"
"Angel Fire, New Mexico, United States","36.38123","-105.29764","Mountain Time - Spacious, Updated Townhouse","9","Entire townhouse","5","https://www.airbnb.com/rooms/35427334"
"Taos, New Mexico, United States","36.41","-105.568","Taos, NM, 2 Bedroom SN #1","6","Entire condo",,"https://www.airbnb.com/rooms/11084504"
"Red River, New Mexico, United States","36.70941","-105.41098","Parkview 2 Bedroom","6","Room in hotel","4.5","https://www.airbnb.com/rooms/47811101"
"Red River, New Mexico, United States","36.64234","-105.3846","Aspen Hollow","6","Entire cabin",,"https://www.airbnb.com/rooms/44862954"
"Red River, New Mexico, United States","36.65039","-105.38142","Artz Valley Cabin - Upper Valley - WiFi - Satellite - Washer/Dryer - Wrap Around Deck - Wood Burning Fireplace - Secluded Setting","10","Entire cabin","5","https://www.airbnb.com/rooms/20637140"
