"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Telluride, Colorado, United States","37.93852","-107.81781","Cloud Nine! Near Chair 7, Top Floor on River + Hot Tub","4","Entire condo","5","https://www.airbnb.com/rooms/45061230"
"Silverton, Colorado, United States","37.81083","-107.66397","Villa Dallavalle 2 room Suite- 2 baths","4","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/35619258"
"Telluride, Colorado, United States","37.935","-107.812","Ski-In Condo w/ WiFi & Shared Hot Tub - Walk to Gondola, Main Street, Trails!","4","Entire condo","4.5","https://www.airbnb.com/rooms/18946603"
"Telluride, Colorado, United States","37.93823","-107.81731","Newly Remodeled 1 Bed, 1 Bath Condo near Lift 7!","4","Entire condo","5","https://www.airbnb.com/rooms/1970332"
"Telluride, Colorado, United States","37.91381","-107.83888","Fireplace, plenty of beds, bring on the Fun!","7","Entire rental unit","5","https://www.airbnb.com/rooms/18425908"
"Telluride, Colorado, United States","37.938","-107.818","Ground Floor on River Trail, Walk to Ski","5","Entire condo","4.5","https://www.airbnb.com/rooms/18526223"
"Telluride, Colorado, United States","37.94091","-107.82146","Can you say, I can See For Ever?  Beautiful western top floor sunset views!","6","Entire condo","5","https://www.airbnb.com/rooms/18425924"
"Telluride, Colorado, United States","37.93665","-107.81194","Perfect for Festivals and an Easy Walk to the Gondola","4","Entire rental unit","4","https://www.airbnb.com/rooms/18425919"
"Telluride, Colorado, United States","37.93788","-107.81907","Downtown Condo w/ WiFi & Shared Pool/Hot Tub - Walk to Lifts, Dining, Shopping!","4","Entire condo","5","https://www.airbnb.com/rooms/49655201"
"Telluride, Colorado, United States","37.94002","-107.82069","Lulu City 6Q","8","Entire condo","5","https://www.airbnb.com/rooms/15201825"
"Telluride, Colorado, United States","37.938","-107.818","Modern Comfort | River/Mtn Views + Hot Tub","2","Entire condo","5","https://www.airbnb.com/rooms/21475340"
"Telluride, Colorado, United States","37.93489","-107.80985","Downtown Condo Steps from Main St & Gondola w/ Mountain View & Shared Hot Tub!","4","Entire condo","4.5","https://www.airbnb.com/rooms/24653664"
"Telluride, Colorado, United States","37.938","-107.819","Downtown Condo w/ Ski Views & WiFi - Walk to Lift 7, Main Street & Shuttle Bus!","6","Entire townhouse","5","https://www.airbnb.com/rooms/7857868"
"Telluride, Colorado, United States","37.9373","-107.82188","DOUBLE DIAMOND 3 - Condo with Loft, Telluride near Chair 7 and Shuttle Route","4","Entire condo","4.5","https://www.airbnb.com/rooms/14980570"
"Telluride, Colorado, United States","37.93655","-107.8229","Newly Updated Cozy Couple Retreat - Ski in / Ski out!","4","Entire condo",,"https://www.airbnb.com/rooms/31263354"
"Telluride, Colorado, United States","37.937","-107.814","3 BR Light & Airy Condo Across from Ski Lift","7","Entire condo","5","https://www.airbnb.com/rooms/185607"
"Telluride, Colorado, United States","37.93695","-107.82158","Ski In/Out in Town! Ski Area Views, Fireplace, Hot Tub","4","Entire condo","4.5","https://www.airbnb.com/rooms/49914019"
"Telluride, Colorado, United States","37.938","-107.818","Stylish, Bright Walk to Ski | Ground Fl, Hot Tub, Pool","4","Entire condo","5","https://www.airbnb.com/rooms/21295719"
"Telluride, Colorado, United States","37.94","-107.821","Ground-Floor, Walk-to-Lift Condo w/ Fireplace, W/D, Free WiFi Dogs OK!","6","Entire condo","5","https://www.airbnb.com/rooms/19054919"
"Telluride, Colorado, United States","37.93892","-107.81952","Telluride Lodge 532","4","Entire condo","5","https://www.airbnb.com/rooms/26357363"
"Telluride, Colorado, United States","37.93787","-107.81831","Snowy Peak Views from Living Room, 2 Parking Spaces","4","Entire townhouse","5","https://www.airbnb.com/rooms/45420337"
"Silverton, Colorado, United States","37.80877","-107.66794","Alpine Artist House","6","Entire home","5","https://www.airbnb.com/rooms/20302554"
"Durango, Colorado, United States","37.93719","-107.81797","Mountain view condo w/ fireplace, WiFi, shared pool/hot tub - walk to gondola","6","Entire condo",,"https://www.airbnb.com/rooms/47469232"
"Telluride, Colorado, United States","37.94002","-107.81872","Rob Story Ski Lodge: Guest Bedroom","4","Private room in townhouse","4.5","https://www.airbnb.com/rooms/17171035"
"Telluride, Colorado, United States","37.93831","-107.80878","Chic Downtown Studio in Central Location","2","Entire home","5","https://www.airbnb.com/rooms/11523090"
