"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Santa Fe, New Mexico, United States","35.69125","-105.94392","Prime Location! 4 Serene Units, Free Parking","16","Room in hotel",,"https://www.airbnb.com/rooms/52509775"
"Santa Fe, New Mexico, United States","35.68867","-105.92583","Adobe on Hillside - Close to Downtown Plaza and Canyon Road","2","Entire home","5","https://www.airbnb.com/rooms/25840375"
"Santa Fe, New Mexico, United States","35.68458","-105.96782","Modern home on Santa Fe River, steps from downtown","5","Entire home","5","https://www.airbnb.com/rooms/34450151"
"Santa Fe, New Mexico, United States","35.6692","-106.04899","Studio & Suite NM Style W. Private Pool in 5 Acres","6","Entire guesthouse","5","https://www.airbnb.com/rooms/37885695"
"Santa Fe, New Mexico, United States","35.685","-105.931","One block from Canyon Road! Delgado B-2","2","Entire home","5","https://www.airbnb.com/rooms/35877519"
"Santa Fe, New Mexico, United States","35.69479","-105.95753","Ode to O’Keeffe- Close to Plaza, museums, & cafes.","6","Entire home","5","https://www.airbnb.com/rooms/36340715"
"Santa Fe, New Mexico, United States","35.67613","-105.96327","1 BR condo in Santa Fe","3","Entire condo","5","https://www.airbnb.com/rooms/48589820"
"Santa Fe, New Mexico, United States","35.68609","-105.93384","Full Moon at Casa de Tres Lunas","4","Room in boutique hotel","5","https://www.airbnb.com/rooms/9079223"
"Santa Fe, New Mexico, United States","35.54618","-105.83222","Hacienda de Canoncito","6","Entire home","5","https://www.airbnb.com/rooms/50463873"
"Santa Fe, New Mexico, United States","35.69","-105.942","Sunflower NorthWest: Short Walk to The PLAZA and 1 Block to The Georgia O`Keeffe Museum! Beautiful 1 Bedroom Southwestern Style Pet Friendly Casita.","4","Entire home","5","https://www.airbnb.com/rooms/19620751"
"Santa Fe, New Mexico, United States","35.69975","-105.94044","Casa Santa Fe","6","Entire home","5","https://www.airbnb.com/rooms/49568438"
"Santa Fe, New Mexico, United States","35.65377","-105.96054","Casa De Arte","4","Entire townhouse","5","https://www.airbnb.com/rooms/35705805"
"Santa Fe, New Mexico, United States","35.69095","-105.94452","Casas de Guadalupe-Casita F  -2 story with Balcony","6","Entire home","5","https://www.airbnb.com/rooms/12988835"
"Santa Fe, New Mexico, United States","35.67427","-105.94699","Diego Getaway - Courtyards | Office | 3BR","6","Entire home","4.5","https://www.airbnb.com/rooms/51064318"
"Santa Fe, New Mexico, United States","35.69437","-105.94337","Art Haven - Stylish Southwestern Comfort, Walk to The Plaza","6","Entire home","5","https://www.airbnb.com/rooms/46353380"
"Santa Fe, New Mexico, United States","35.66517","-105.94635","Hacienda de Encina","6","Entire home","5","https://www.airbnb.com/rooms/24692250"
"Santa Fe, New Mexico, United States","35.68906","-105.93462","Adobe condo with fireplace, rooftop deck & garden courtyard - near Plaza","4","Entire condo","4.5","https://www.airbnb.com/rooms/24549855"
"Santa Fe, New Mexico, United States","35.68659","-105.91021","Santa Fe Perfection","4","Entire home",,"https://www.airbnb.com/rooms/32179679"
"Santa Fe, New Mexico, United States","35.68977","-105.9438","Artist Adobe - Blocks from the Santa Fe Plaza and the Rail Yard","6","Entire home","5","https://www.airbnb.com/rooms/31830790"
"Santa Fe, New Mexico, United States","35.69","-105.948","Casa Elena Santa Fe 5 min walk to plaza!","4","Entire townhouse","5","https://www.airbnb.com/rooms/33269817"
"Santa Fe, New Mexico, United States","35.45976","-106.0708","The Castle Turret","4","Entire guest suite","4.5","https://www.airbnb.com/rooms/52352110"
"Santa Fe, New Mexico, United States","35.70264","-105.93906","Mountain Views, Two Patios, Light-Filled Family Home","6","Entire home","5","https://www.airbnb.com/rooms/30737584"
"Santa Fe, New Mexico, United States","35.64507","-106.0307","Casa Especial","7","Entire home","5","https://www.airbnb.com/rooms/39676246"
"Santa Fe, New Mexico, United States","35.64927","-105.93086","Adventurers' Oasis - 3 Mi South of Dtwn Santa Fe!","8","Entire home","4.5","https://www.airbnb.com/rooms/43074171"
"Santa Fe, New Mexico, United States","35.69","-105.948","Historic 1920s Adobe - 1/2 mile to Plaza, Shops","3","Entire home","4.5","https://www.airbnb.com/rooms/43221332"
