"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Fleischmanns, New York, United States","42.144","-74.547","Belleayre Catskill House","15","Entire home","5","https://www.airbnb.com/rooms/16625679"
"Wallkill, New York, United States","41.60545","-74.18288","Wallkill Inn","16","Entire home","5","https://www.airbnb.com/rooms/24451644"
"Fleischmanns, New York, United States","42.16834","-74.52166","Cozy Farmhouse close to skiing, &  restaurants","10","Entire home","4.5","https://www.airbnb.com/rooms/30284326"
"Kerhonkson, New York, United States","41.76577","-74.28564","Horse Farm Homestead","5","Camper/RV",,"https://www.airbnb.com/rooms/47830523"
"Phoenicia, New York, United States","42.084","-74.314","Phoenicia Belle - The heart of the Catskills.","8","Entire home","5","https://www.airbnb.com/rooms/43276649"
"Shandaken, New York, United States","42.12911","-74.40256","Catskill Seasons Inn - Room 21 and 22","6","Private room in guesthouse",,"https://www.airbnb.com/rooms/23418163"
"Ulster Park, New York, United States","41.84886","-73.96745","A cozy and relaxing get-away from NYC!","5","Entire home","5","https://www.airbnb.com/rooms/22529901"
"Lanesville, New York, United States","42.12141","-74.27181","Hunter Mt House of Lanesville,  12450","12","Entire home","4.5","https://www.airbnb.com/rooms/39809"
"Pine Bush, New York, United States","41.59314","-74.33808","Cozy 4 bedroom country house on over 4 acres","12","Entire home",,"https://www.airbnb.com/rooms/52586489"
"Fleischmanns, New York, United States","42.16975","-74.52347","Breezy Hill Farmhouse, Fleischmanns","8","Entire home",,"https://www.airbnb.com/rooms/262316"
"Palenville, New York, United States","42.17429","-74.03038","Niobe Falls House","7","Entire home","5","https://www.airbnb.com/rooms/33315201"
"Kingston, New York, United States","41.98923","-73.97786","Vacation home in the Catskills","6","Entire home","5","https://www.airbnb.com/rooms/50416876"
"Big Indian, New York, United States","42.05731","-74.45555","Belleayre Mt.-4 bedrm w/fireplace","12","Entire chalet","4.5","https://www.airbnb.com/rooms/4860421"
"Kingston, New York, United States","42.017","-74.07","BIG HOME w. Pond, Backyard,  Opt 1 Br Apt Xtra","11","Entire home","5","https://www.airbnb.com/rooms/1063193"
"Clintondale, New York, United States","41.6951","-74.04825","A place to come and leave all your worries behind","8","Entire home",,"https://www.airbnb.com/rooms/52564517"
"Liberty, New York, United States","41.79843","-74.77296","Peaceful Getaway in the Heart of the Catskills","16","Entire home","5","https://www.airbnb.com/rooms/48940483"
"Saugerties, New York, United States","42.09745","-73.93341","The House on the Hill","11","Entire home","5","https://www.airbnb.com/rooms/29457123"
"Monticello, New York, United States","41.67361","-74.64846","Junior Double Queen Suite at The Kartrite Resort & Indoor Waterpark","4","Entire rental unit",,"https://www.airbnb.com/rooms/546392659398845440"
"Highland, New York, United States","41.72125","-73.97513","Cheerful 4BR/2.5BA Home - New Paltz & Poughkeepsie","8","Entire home","5","https://www.airbnb.com/rooms/50951610"
"Parksville, New York, United States","41.89729","-74.71672","Elko Lake Treehouse","6","Entire home","5","https://www.airbnb.com/rooms/33368599"
"Woodstock, New York, United States","42.048","-74.118","The Cottage in Woodstock","6","Entire cottage","5","https://www.airbnb.com/rooms/18855471"
"Bearsville, New York, United States","42.02628","-74.19285","Cozy Red Cottage","7","Entire cottage","5","https://www.airbnb.com/rooms/15144998"
"Saugerties, New York, United States","42.11177","-74.04925","Catskill classic charm.","10","Entire home","5","https://www.airbnb.com/rooms/44361954"
"Shandaken, New York, United States","42.16069","-74.48809","Badlands, Belleayre, Catskills","8","Entire home","5","https://www.airbnb.com/rooms/10229364"
"Mount Tremper, New York, United States","42.03104","-74.26435","Private, spacious, bright Mountain View","5","Entire home","4.5","https://www.airbnb.com/rooms/50892808"
