"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Mesick, Michigan, United States","44.45514","-85.75604","Magda's Meadow - MeadowView Suite","6","Private room in home","5","https://www.airbnb.com/rooms/6811988"
"Cadillac, Michigan, United States","44.24572","-85.46162","Lakeside 2 bedroom cottage","6","Entire cottage",,"https://www.airbnb.com/rooms/677562832351639200"
"Cadillac, Michigan, United States","44.23496","-85.41543","Up North Getaway, taking monthly stays","4","Entire home","5","https://www.airbnb.com/rooms/11901384"
"Manton, Michigan, United States","44.47695","-85.43615","Whispering Pines","16","Room in aparthotel",,"https://www.airbnb.com/rooms/47938323"
"Cadillac, Michigan, United States","44.17873","-85.3872","Lakefront Cadillac Cottage on Private Lake","8","Entire cabin","5","https://www.airbnb.com/rooms/13307107"
"Cadillac, Michigan, United States","44.199","-85.406","Cabin #7 - ""The 7 Point""","2","Entire cabin","4.5","https://www.airbnb.com/rooms/49592292"
"Manton, Michigan, United States","44.48089","-85.43569","Manton Trails - 50AMP & Water","6","Campsite","5","https://www.airbnb.com/rooms/47057280"
"Cadillac, Michigan, United States","44.199","-85.406","Cabin #2 - ""Summer Fun""","2","Entire cabin","4","https://www.airbnb.com/rooms/49775222"
"Cadillac, Michigan, United States","44.2","-85.406","Cabin #3 - ""Middle Mitten""","2","Entire cabin","4.5","https://www.airbnb.com/rooms/49887908"
"Manton, Michigan, United States","44.41239","-85.39582","Delightful camp site with 10+ acres + lake & pond","10","Campsite",,"https://www.airbnb.com/rooms/52011964"
"Buckley, Michigan, United States","44.51194","-85.758","Pine Meadows Campsite 6","6","Campsite","5","https://www.airbnb.com/rooms/51966904"
"Cadillac, Michigan, United States","44.199","-85.406","Cabin #6 - ""Greenwing Getaway""","2","Entire cabin","5","https://www.airbnb.com/rooms/49590571"
"Manton, Michigan, United States","44.48","-85.437","Michigan Vacation - 2 Queen Beds","4","Room in boutique hotel",,"https://www.airbnb.com/rooms/47311247"
"Buckley, Michigan, United States","44.51217","-85.76027","Pine Meadows  Campsite 4","6","Campsite","5","https://www.airbnb.com/rooms/51266412"
"Cadillac, Michigan, United States","44.231","-85.47177","Cozy Lakefront cottage on Lake Mitchell","6","Entire cottage","5","https://www.airbnb.com/rooms/46098486"
"Manton, Michigan, United States","44.48153","-85.43732","Manton Trails - 20AMP & Water","4","Campsite",,"https://www.airbnb.com/rooms/47057306"
"Cadillac, Michigan, United States","44.2","-85.406","Cabin #4  - Gone Fishin'","2","Entire cabin","5","https://www.airbnb.com/rooms/49886035"
"Buckley, Michigan, United States","44.51238","-85.75965","Pine Meadows Campsite 2","6","Campsite","5","https://www.airbnb.com/rooms/50999554"
"Manton, Michigan, United States","44.48075","-85.4373","Michigan Vacation - Full Bed","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/47311820"
"Cadillac, Michigan, United States","44.199","-85.406","Cabin #8 - ""The Hemingway""","2","Entire cabin","5","https://www.airbnb.com/rooms/49592916"
"Cadillac, Michigan, United States","44.20825","-85.48738","Cadillac Travel Adventure-Comfortable and Quiet","3","Camper/RV","5","https://www.airbnb.com/rooms/21108341"
"Cadillac, Michigan, United States","44.199","-85.406","Cabin #1 - ""The Loft""","4","Entire cabin","5","https://www.airbnb.com/rooms/49462649"
"Mesick, Michigan, United States","44.38304","-85.79247","Brand New! Remodeled cabin near Hodenpyl Dam.","8","Entire cabin","5","https://www.airbnb.com/rooms/45923726"
"Manton, Michigan, United States","44.48147","-85.43691","Manton Trails - Rustic ""+"" sites","2","Campsite",,"https://www.airbnb.com/rooms/47057316"
"Manton, Michigan, United States","44.48","-85.437","Michigan Vacation - Two Full Beds","4","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/47311867"
