"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Loudonville, Ohio, United States","40.57032","-82.23286","Poynings","4","Room in boutique hotel",,"https://www.airbnb.com/rooms/33582451"
"Butler, Ohio, United States","40.58088","-82.36175","Luftberg Farm B&B Oak Suite (1 of 5 available)","9","Private room in farm stay","5","https://www.airbnb.com/rooms/6560856"
"Bellville, Ohio, United States","40.56969","-82.52362","Fisher'srock","4","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/23325290"
"Bellville, Ohio, United States","40.65343","-82.51033","Cozy Home in a quiet country like setting.","4","Private room in home",,"https://www.airbnb.com/rooms/48161727"
"Butler, Ohio, United States","40.56648","-82.39484","Heart Hill Hideaway","4","Private room in home",,"https://www.airbnb.com/rooms/53890166"
"Butler, Ohio, United States","40.57506","-82.41713","Pure Country in Gold Run Valley","5","Private room in home","5","https://www.airbnb.com/rooms/38236287"
"Butler, Ohio, United States","40.58","-82.362","Luftberg Farm B&B Ash Room (1 of 5 available)","2","Private room in farm stay","5","https://www.airbnb.com/rooms/4354266"
"Butler, Ohio, United States","40.57966","-82.36201","Luftberg Farm B&B Cherry Room (1 of 5 available)","2","Private room in farm stay","5","https://www.airbnb.com/rooms/5476277"
"Butler, Ohio, United States","40.57901","-82.36238","Luftberg Farm B&B Oak Room (1 of 5 available)","4","Private room in farm stay","5","https://www.airbnb.com/rooms/4354353"
"Mansfield, Ohio, United States","40.67046","-82.49707","Spruce Hill Cottage","2","Private room in tiny home","4.5","https://www.airbnb.com/rooms/28413701"
"Butler, Ohio, United States","40.58935","-82.39323","Dream Cabin- Frog Water-Private Hiking on 66 Acres","12","Entire cabin","5","https://www.airbnb.com/rooms/29704653"
"Perrysville, Ohio, United States","40.63193","-82.36389","Mohican Pleasant Hill Round House","6","Entire home","5","https://www.airbnb.com/rooms/31403490"
"Ontario, Ohio, United States","40.77832","-82.59954","Feel at home in the ultimate relaxing environment!","2","Private room in home","5","https://www.airbnb.com/rooms/42635066"
"Mansfield, Ohio, United States","40.67868","-82.58556","The Smith House - Lexington","8","Entire home","5","https://www.airbnb.com/rooms/46943125"
"Ashland, Ohio, United States","40.81135","-82.34608","1 bedroom in home, king bed. Separate entrance.","2","Private room in home","5","https://www.airbnb.com/rooms/51728718"
"Butler, Ohio, United States","40.60431","-82.38816","Beautiful, Stylish 3BR Near Mohican & Snow Trails!","6","Entire home","5","https://www.airbnb.com/rooms/40695789"
"Shelby, Ohio, United States","40.894","-82.701","Country farm house","12","Entire home","5","https://www.airbnb.com/rooms/21201285"
"Butler, Ohio, United States","40.58839","-82.42446","Trendy apartment above a dive bar!","4","Entire rental unit","5","https://www.airbnb.com/rooms/49563485"
"Perrysville, Ohio, United States","40.63664","-82.33783","Treetop Cottage - cozy lakeview home in Mohican","4","Entire cottage","5","https://www.airbnb.com/rooms/43503605"
"Mansfield, Ohio, United States","40.75045","-82.53165","The Tappan House B&B Andrew's Americana Room","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/14671443"
"Mansfield, Ohio, United States","40.667","-82.489","Cozy Cottage near Snow Trails","6","Entire cottage","5","https://www.airbnb.com/rooms/44429422"
"Mansfield, Ohio, United States","40.68534","-82.58666","Cozy Lexington 2-Bedroom Ranch","4","Entire home","5","https://www.airbnb.com/rooms/43921174"
"Bellville, Ohio, United States","40.62443","-82.42853","Zuhause am Harvey's Teich (Home at Harvey's Pond)","6","Entire bungalow","5","https://www.airbnb.com/rooms/41269515"
"Bellville, Ohio, United States","40.64309","-82.52638","Hunters Knoll - Built in 1904 - secluded get-away","6","Farm stay","4.5","https://www.airbnb.com/rooms/54078774"
"Bellville, Ohio, United States","40.60857","-82.45863","Edg-Lea Woods","6","Entire home","5","https://www.airbnb.com/rooms/32331947"
