"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Orr, Minnesota, United States","48.04557","-92.90386","Black Bear Lodge Room","3","Private room in nature lodge","5","https://www.airbnb.com/rooms/17813374"
"Soudan, Minnesota, United States","47.816","-92.245","Vermilion Park Inn, #4 Nordic Room w/ensuite","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/25071702"
"Duluth, Minnesota, United States","46.80073","-92.0896","Original Hillside Home","6","Entire home","5","https://www.airbnb.com/rooms/25342254"
"Duluth, Minnesota, United States","46.87589","-92.10157","Home Away From Home Whole Home","8","Entire home","5","https://www.airbnb.com/rooms/13222058"
"Superior, Wisconsin, United States","46.72083","-92.12957","Convenient comfortable location.","4","Entire home","4.5","https://www.airbnb.com/rooms/25828614"
"Superior, Wisconsin, United States","46.65136","-92.28515","Mont du Lac - Trophy Lodge Queen Suite","4","Private room in resort",,"https://www.airbnb.com/rooms/53224219"
"Superior, Wisconsin, United States","46.72143","-92.07713","Northland Vacation House","6","Entire home","5","https://www.airbnb.com/rooms/42619500"
"Cloquet, Minnesota, United States","46.70936","-92.4319","Cozy 2 Bedroom House in Cloquet","4","Entire home","5","https://www.airbnb.com/rooms/26562753"
"Duluth, Minnesota, United States","46.87574","-92.1007","Golden Pond Sanctuary 2000+ Ft","8","Private room in home","5","https://www.airbnb.com/rooms/34345650"
"Duluth, Minnesota, United States","46.70738","-92.20464","Riverside rooms","4","Entire home","4.5","https://www.airbnb.com/rooms/50865304"
"Duluth, Minnesota, United States","46.92805","-91.84711","North Shore Lighthouse Suites ~ Fitzgerald Suite","6","Entire home","5","https://www.airbnb.com/rooms/17695236"
"Duluth, Minnesota, United States","46.79647","-92.10151","Fabulous Family Home, Huge Space, Amazing Location","8","Entire home","5","https://www.airbnb.com/rooms/38154010"
"Duluth, Minnesota, United States","46.77344","-92.08978","Anchors Away!⚓️","6","Entire rental unit","5","https://www.airbnb.com/rooms/20591450"
"Soudan, Minnesota, United States","47.81682","-92.2463","Vermilion Park Inn, Cottage - 2 night min stay","4","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/52158099"
"Cook, Minnesota, United States","47.99769","-92.67054","Self-Care Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/44230583"
"Biwabik, Minnesota, United States","47.53196","-92.33926","Villas of Giant's Ridge","12","Entire home","5","https://www.airbnb.com/rooms/18636965"
"Superior, Wisconsin, United States","46.70756","-92.10466","⭐️Close to Hospitals⭐️Sanitized⭐️1st Responders","6","Entire rental unit","5","https://www.airbnb.com/rooms/43141836"
"Superior, Wisconsin, United States","46.71987","-92.12908","Pleasant convenient location.","2","Entire home","4.5","https://www.airbnb.com/rooms/25904025"
"Saginaw, Minnesota, United States","46.87791","-92.38541","JJ's on Grand","6","Entire cabin","5","https://www.airbnb.com/rooms/37013464"
"Superior, Wisconsin, United States","46.70661","-92.10386","St Marys 6Min⭐️St Lukes 9Min⭐️Sanitized⭐️RNs LVN","6","Entire rental unit","5","https://www.airbnb.com/rooms/43142810"
"Duluth, Minnesota, United States","46.84989","-92.09511","Glorious Getaway","6","Entire bungalow","5","https://www.airbnb.com/rooms/18548066"
"Superior, Wisconsin, United States","46.6511","-92.28492","Mont du Lac Resort - Hill Top Two Bedroom Cabin","6","Campsite","4.5","https://www.airbnb.com/rooms/52921370"
"Duluth, Minnesota, United States","46.78262","-92.09578","Canal Park","6","Entire loft",,"https://www.airbnb.com/rooms/21923861"
"Duluth, Minnesota, United States","46.789","-92.096","The Oliver Inn | Merritt Brothers | Room 8","4","Room in hotel","5","https://www.airbnb.com/rooms/568016644724455000"
"Duluth, Minnesota, United States","46.78553","-92.11439","Skyline Vacation Rental - Beautiful Views of Duluth and Lake Superior!","9","Entire home","5","https://www.airbnb.com/rooms/5111766"
