"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Philadelphia, Pennsylvania, United States","40.03509","-75.22916","Was a Barn now a house. Over 100 years old","6","Entire home","5","https://www.airbnb.com/rooms/8039576"
"Philadelphia, Pennsylvania, United States","40.01985","-75.05678","Modern house available in phila","7","Entire home",,"https://www.airbnb.com/rooms/6940989"
"Wyncote, Pennsylvania, United States","40.08632","-75.15337","Luxury Living in Wyncote","2","Entire home",,"https://www.airbnb.com/rooms/28817069"
"Philadelphia, Pennsylvania, United States","40.11387","-75.0298","Private Apartment for Pope Visit","8","Entire townhouse",,"https://www.airbnb.com/rooms/7723825"
"Philadelphia, Pennsylvania, United States","40.02746","-75.09779","Beautiful Charming Apartment","6","Entire rental unit",,"https://www.airbnb.com/rooms/7563056"
"Wayne, Pennsylvania, United States","40.04922","-75.39248","Cute & cozy one bedroom inside a charming house.","2","Private room in home",,"https://www.airbnb.com/rooms/53991105"
"Harleysville, Pennsylvania, United States","40.29886","-75.40187","Sunseeker RV in Harleysville, PA","8","Camper/RV",,"https://www.airbnb.com/rooms/22675319"
"Hilltown Township, Pennsylvania, United States","40.32246","-75.2494","""Bucks County Culture and History""","3","Entire rental unit",,"https://www.airbnb.com/rooms/16214295"
"Philadelphia, Pennsylvania, United States","40.06594","-75.02787","Kornialle transition homes","4","Private room in townhouse",,"https://www.airbnb.com/rooms/42632341"
"Philadelphia, Pennsylvania, United States","40.03055","-75.1812","1Br Apartment","1","Entire rental unit",,"https://www.airbnb.com/rooms/51208694"
"Philadelphia, Pennsylvania, United States","40.04327","-75.10404","Brand new twin light filled in Lawncrest","2","Entire townhouse",,"https://www.airbnb.com/rooms/52600307"
"Philadelphia, Pennsylvania, United States","39.9891","-75.16282","Home in Philadelphia.","16","Entire townhouse","3.5","https://www.airbnb.com/rooms/49940789"
"Philadelphia, Pennsylvania, United States","39.97876","-75.17285","Bright 3 Br Townhouse Near Central Philadelphia","4","Entire home","4","https://www.airbnb.com/rooms/46731586"
"Bryn Mawr, Pennsylvania, United States","40.01699","-75.35834","Lafayette Loft","2","Barn","5","https://www.airbnb.com/rooms/12149563"
"King of Prussia, Pennsylvania, United States","40.0874","-75.40991","Spacious Apartment | Onsite Team | Sparkling Clean","2","Entire serviced apartment","5","https://www.airbnb.com/rooms/34501790"
"King of Prussia, Pennsylvania, United States","40.08879","-75.40873","Spacious Apt w/Remote Workspace | Resort Amenities","4","Entire serviced apartment","5","https://www.airbnb.com/rooms/34501823"
"Blue Bell, Pennsylvania, United States","40.15054","-75.29849","Sparkling Clean 3 Bed Townhome | Pet Friendly","6","Entire serviced apartment","5","https://www.airbnb.com/rooms/35155653"
"Blue Bell, Pennsylvania, United States","40.15041","-75.29973","Townhome with Private Entry | Remote Workspace","4","Entire townhouse","4.5","https://www.airbnb.com/rooms/35155624"
"Blue Bell, Pennsylvania, United States","40.14449","-75.28849","Business Amenities | Brand New Apt | Onsite Team","4","Entire serviced apartment","5","https://www.airbnb.com/rooms/43912072"
"Conshohocken, Pennsylvania, United States","40.08243","-75.30645","New + Modern Luxury 4 Bedroom, 3.5 Bathroom Home","10","Entire townhouse",,"https://www.airbnb.com/rooms/48871576"
"Gwynedd Valley, Pennsylvania, United States","40.18443","-75.26138","Private ""Tally-Ho"" Suite in Historic Tip Top Manor","2","Private room in guest suite","5","https://www.airbnb.com/rooms/32492353"
"Phoenixville, Pennsylvania, United States","40.10792","-75.4789","Newly Renovated Valley Forge Carriage House","2","Entire guesthouse","5","https://www.airbnb.com/rooms/48378387"
"East Greenville, Pennsylvania, United States","40.406","-75.509","Premier Suites","3","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/25320971"
"New Hope, Pennsylvania, United States","40.42","-75.063","Converted 19th c. Private Bucks County Barn w/Pool","2","Barn","5","https://www.airbnb.com/rooms/42562464"
"Perkasie, Pennsylvania, United States","40.41125","-75.25107","'The Little House' Bucks County/Doylestown/NewHope","2","Entire guesthouse","5","https://www.airbnb.com/rooms/3925335"
