"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Hyde Park, Vermont, United States","44.592","-72.617","2BR Hse HydeParkVictorian OwnerOnsite,Separatearea","3","Entire home","5","https://www.airbnb.com/rooms/35948605"
"Cambridge, Vermont, United States","44.58958","-72.78481","FREE SHUTTLE TO THE SLOPES  - Cozy Ski condo","10","Entire condo",,"https://www.airbnb.com/rooms/47099516"
"Stowe, Vermont, United States","44.466","-72.685","Spruce Suite at 109 Main","6","Entire rental unit","5","https://www.airbnb.com/rooms/16929267"
"Morristown, Vermont, United States","44.56022","-72.62271","Cozy home w/ beautiful yard + views/4 mi to Stowe","6","Entire home","5","https://www.airbnb.com/rooms/51821659"
"Stowe, Vermont, United States","44.47732","-72.71543","Mountain view condo w/gas fireplace, shared grill, hot tub, indoor pool & tennis","6","Entire condo","4.5","https://www.airbnb.com/rooms/48146067"
"Stowe, Vermont, United States","44.48486","-72.69366","Centrally located Chalet - 1 Mile to Town","5","Entire chalet","5","https://www.airbnb.com/rooms/51002627"
"Stowe, Vermont, United States","44.47476","-72.70803","Two-Story, Golf Course Front Condo with Fast WiFi, Shared Pools, & Hot Tub","6","Entire condo",,"https://www.airbnb.com/rooms/53718095"
"Stowe, Vermont, United States","44.50981","-72.76583","Cozy Ski- in / Ski-out Lodge Condo","4","Entire townhouse","5","https://www.airbnb.com/rooms/45066393"
"Stowe, Vermont, United States","44.47668","-72.71741","Mountain view condo w/forest views, shared gym/hot tub/indoor pool/tennis","6","Entire condo","4.5","https://www.airbnb.com/rooms/45670361"
"Stowe, Vermont, United States","44.47787","-72.72025","Launch into Stowe, restaurants, bike path, ski","6","Entire condo","5","https://www.airbnb.com/rooms/47340613"
"Stowe, Vermont, United States","44.47776","-72.71604","Fun skiers condo with shared pool and hot tub access, full kitchen, and futon!","4","Entire condo","3.5","https://www.airbnb.com/rooms/45670375"
"Stowe, Vermont, United States","44.47773","-72.71796","Well-located condo near the slopes & town w/ shared pool, hot tub & saunas!","6","Entire condo","4.5","https://www.airbnb.com/rooms/45784399"
"Stowe, Vermont, United States","44.47542","-72.70837","Golf Course Front Condo with Fast WiFi, Shared Pools & Hot Tub, & Full Kitchen","6","Entire condo",,"https://www.airbnb.com/rooms/53968933"
"Stowe, Vermont, United States","44.47782","-72.71721","Lovely mountain retreat features private balcony + shared pool & hot tub!","6","Entire condo","4.5","https://www.airbnb.com/rooms/50176827"
"Cambridge, Vermont, United States","44.64316","-72.83568","Come Ski at Smugglers Notch! 2 BR for 8 guests!","8","Entire condo","4.5","https://www.airbnb.com/rooms/47735638"
"Stowe, Vermont, United States","44.478","-72.718","Tranquil Retreat with Shared Pool, Hot Tub, and Private Deck - Close to Skiing","6","Entire condo","4","https://www.airbnb.com/rooms/20241634"
"Stowe, Vermont, United States","44.47568","-72.70897","3 Bedroom 2 Bath Condo, Stowe Vt w/wifi","8","Entire condo","5","https://www.airbnb.com/rooms/5236203"
"Stowe, Vermont, United States","44.47862","-72.7172","Relaxing condo with WiFi, cable, full kitchen, and shared pool & hot tub access","6","Entire condo","4","https://www.airbnb.com/rooms/45670358"
"Stowe, Vermont, United States","44.47861","-72.71692","Mountainside home w/shared tennis & basketball courts + hot tub & pool!","6","Entire condo","3","https://www.airbnb.com/rooms/45670362"
"Stowe, Vermont, United States","44.47611","-72.7064","Warm, Family-Friendly Getaway with Golf Course View, Shared Pools, & Hot Tub","6","Entire condo",,"https://www.airbnb.com/rooms/53718252"
"Stowe, Vermont, United States","44.48501","-72.71357","Spacious 4 Bdrm Townhouse Between Town & Mountain","8","Entire townhouse","5","https://www.airbnb.com/rooms/16322223"
"Stowe, Vermont, United States","44.47401","-72.70752","Comfortable Getaway Near Skiing W/ Golf On-Site, Shared Pool & Full Kitchen!","8","Entire condo","5","https://www.airbnb.com/rooms/53718143"
"Stowe, Vermont, United States","44.47654","-72.71683","Beautiful Vermont home w/shared pool, tennis & basketball courts, hot tub, & gym","6","Entire condo","4","https://www.airbnb.com/rooms/48146137"
"Stowe, Vermont, United States","44.47443","-72.70213","Chalet with charm & convenience","8","Entire chalet","5","https://www.airbnb.com/rooms/9862664"
"Stowe, Vermont, United States","44.47105","-72.67568","Hidden Gem - Stowe Townhouse","8","Entire townhouse","5","https://www.airbnb.com/rooms/23475871"
