"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Glenwood Springs, Colorado, United States","39.54419","-107.32513","Cabin 17 Cozy Rustic-Luxury A-Frame with Kitchen","4","Entire cabin","5","https://www.airbnb.com/rooms/43520497"
"Glenwood Springs, Colorado, United States","39.56553","-107.36078","Comfortable Mtn Home Near Dwntwn Glenwood & Pools!","6","Entire home","4.5","https://www.airbnb.com/rooms/49342527"
"Gypsum, Colorado, United States","39.64458","-107.0699","Lovely Master Bedroom w/ attached private bath","3","Private room","5","https://www.airbnb.com/rooms/53817672"
"Carbondale, Colorado, United States","39.44872","-107.18359","Cains Mountain Retreat","2","Entire rental unit","5","https://www.airbnb.com/rooms/29630535"
"Carbondale, Colorado, United States","39.39933","-107.21275","Luxury Artists Loft Downtown","6","Entire rental unit","5","https://www.airbnb.com/rooms/10880501"
"Meeker, Colorado, United States","40.03739","-107.90764","Lovely cabin in downtown Meeker","4","Entire cabin",,"https://www.airbnb.com/rooms/53393888"
"Meeker, Colorado, United States","40.04071","-107.47577","Welder Ranch cabin on the White","2","Private room in cabin","4","https://www.airbnb.com/rooms/6559147"
"Carbondale, Colorado, United States","39.45997","-107.19236","Cattle Creek Get A Way Camper","4","Camper/RV",,"https://www.airbnb.com/rooms/13006868"
"Glenwood Springs, Colorado, United States","39.56457","-107.35725","3BR Townhouse in Glenwood! Close to Ski Resorts!","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/52770119"
"Carbondale, Colorado, United States","39.39103","-107.20784","Cozy Carbondale Condo","2","Entire condo","5","https://www.airbnb.com/rooms/50725512"
"Glenwood Springs, Colorado, United States","39.40001","-107.33711","C4 - Brettelberg Condos at Sunlight Mountain Resort","5","Entire condo",,"https://www.airbnb.com/rooms/8239473"
"Glenwood Springs, Colorado, United States","39.53518","-107.33248","Modern Mountainside Home by the Roaring Fork River","2","Private room in home","5","https://www.airbnb.com/rooms/27052628"
"Glenwood Springs, Colorado, United States","39.51717","-107.32376","Hager House","4","Entire guest suite",,"https://www.airbnb.com/rooms/15949183"
"Meeker, Colorado, United States","40.03676","-107.90648","Beautiful 3 Bedroom Cabin located downtown","11","Entire cabin",,"https://www.airbnb.com/rooms/53428333"
"Carbondale, Colorado, United States","39.41882","-107.12803","Peaceful mountain farm paradise great for families","9","Farm stay","5","https://www.airbnb.com/rooms/14843850"
"Glenwood Springs, Colorado, United States","39.39839","-107.33855","A8 - Sunlight Mountain Resort","6","Entire condo","3","https://www.airbnb.com/rooms/8225924"
"Glenwood Springs, Colorado, United States","39.39795","-107.33784","C5 Slopeside Condo at Sunlight Mountain Resort","4","Entire condo",,"https://www.airbnb.com/rooms/31924722"
"Glenwood Springs, Colorado, United States","39.39905","-107.33706","B6","4","Entire condo","5","https://www.airbnb.com/rooms/8238762"
"Glenwood Springs, Colorado, United States","39.40255","-107.3386","Sunlight Mountain Getaway - Sunking","6","Private room in nature lodge","4.5","https://www.airbnb.com/rooms/45631982"
"Basalt, Colorado, United States","39.37761","-107.07798","Awesome Lakeside Townhome with Beautiful Mtn Views","4","Entire condo","5","https://www.airbnb.com/rooms/16375153"
"Glenwood Springs, Colorado, United States","39.402","-107.34","Sunlight Mountain Getaway - Ute","5","Private room in nature lodge","4.5","https://www.airbnb.com/rooms/45507764"
"Glenwood Springs, Colorado, United States","39.54625","-107.32357","A Hidden Gem","2","Private room in condo","4.5","https://www.airbnb.com/rooms/49681889"
"Carbondale, Colorado, United States","39.40029","-107.21474","Stylish, Modern Downtown Oasis - Perfect Location!","4","Entire rental unit","5","https://www.airbnb.com/rooms/42926254"
"Meeker, Colorado, United States","40.03757","-107.87346","Flat Top Tiny Home at Trail and Hitch","4","Tiny home","5","https://www.airbnb.com/rooms/43375519"
"Glenwood Springs, Colorado, United States","39.39908","-107.33848","F8 - Brettelberg Condos at Sunlight Mountain Resort","6","Entire condo","4","https://www.airbnb.com/rooms/8353521"
