"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Navajo County, Arizona, United States","34.11315","-109.8849","Heavenly Pines Pet Friendly Getaway","10","Entire home","5","https://www.airbnb.com/rooms/40447611"
"Pinetop-Lakeside, Arizona, United States","34.126","-109.935","Pinetop - 3BR","8","Entire serviced apartment","5","https://www.airbnb.com/rooms/11759342"
"Pinetop-Lakeside, Arizona, United States","34.122","-109.918","Hiking, skiing, waterfalls, Wyndham Pinetop","4","Entire condo",,"https://www.airbnb.com/rooms/21813771"
"Pinetop-Lakeside, Arizona, United States","34.12109","-109.91646","Cozy! Pinetop Arizona 1BR Condo","4","Entire condo",,"https://www.airbnb.com/rooms/52629368"
"Pinetop-Lakeside, Arizona, United States","34.123","-109.91732","Two Bdrm Mountain Top Resort","6","Room in aparthotel","5","https://www.airbnb.com/rooms/9077116"
"Pinetop-Lakeside, Arizona, United States","34.14192","-109.96058","Pinetop Resort AZ","6","Entire condo",,"https://www.airbnb.com/rooms/16543288"
"Pinetop-Lakeside, Arizona, United States","34.122","-109.918","Pinetop, AZ, 3 Bedroom #2","8","Entire condo",,"https://www.airbnb.com/rooms/11068130"
"Pinetop-Lakeside, Arizona, United States","34.13974","-109.95332","Best Cabin #3 2 Bed 2 Bath Pinetop, Az - Sleeps 8","8","Entire cabin",,"https://www.airbnb.com/rooms/32988597"
"Pinetop-Lakeside, Arizona, United States","34.123","-109.918","Pinetop, AZ, 2 Bedroom SN #1","6","Entire condo","4.5","https://www.airbnb.com/rooms/11067995"
"Pinetop-Lakeside, Arizona, United States","34.122","-109.918","Pinetop, AZ, 2 Bedroom Z #1","6","Entire condo",,"https://www.airbnb.com/rooms/30153802"
"Pinetop-Lakeside, Arizona, United States","34.13935","-109.95149","Charming 3 Bed/ 2 Bath Cabin Getaway #4","8","Entire cabin",,"https://www.airbnb.com/rooms/32989325"
"Pinetop-Lakeside, Arizona, United States","34.123","-109.918","Pinetop, AZ, 2 Bedroom #1","6","Entire condo","5","https://www.airbnb.com/rooms/11067890"
"Pinetop-Lakeside, Arizona, United States","34.13889","-109.95158","2 Bed 1Bath Pinetop Cabin Getaway #10","6","Entire cabin",,"https://www.airbnb.com/rooms/32987371"
"Pinetop-Lakeside, Arizona, United States","34.13799","-109.95312","2 Bed 1 Bath Sleeps 6 Cabin Under The Pines #8","6","Entire cabin","5","https://www.airbnb.com/rooms/32987080"
"Greer, Arizona, United States","34.05601","-109.46774","Main Cabin- 12 acres with semi-private stream/pond","11","Entire cabin","4.5","https://www.airbnb.com/rooms/21712358"
"Navajo County, Arizona, United States","34.11652","-109.91103","Pinetop Breezes","6","Entire cabin","5","https://www.airbnb.com/rooms/52444037"
"Greer, Arizona, United States","34.00414","-109.46063","Bearadise Spacious Mountain  Cabin","6","Entire cabin",,"https://www.airbnb.com/rooms/42140711"
"Pinetop-Lakeside, Arizona, United States","34.13984","-109.95357","Fully Furnished 2Bed 1Bath Cabin In The Woods #2","6","Entire cabin",,"https://www.airbnb.com/rooms/32984245"
"Pinetop-Lakeside, Arizona, United States","34.13844","-109.95367","1 Bed/ 1 Bath Honeymoon Suite w/ Spa Tub #14","4","Entire cabin",,"https://www.airbnb.com/rooms/32890210"
"Pinetop-Lakeside, Arizona, United States","34.122","-109.918","Pinetop, AZ, 3 Bedroom Z #1","8","Entire condo",,"https://www.airbnb.com/rooms/30154204"
"Greer, Arizona, United States","34.00395","-109.45877","A Red Roof Retreat Nestled In The Pines","12","Entire cabin","4.5","https://www.airbnb.com/rooms/39463799"
"Pinetop-Lakeside, Arizona, United States","34.123","-109.918","Pinetop, AZ, 3 Bedroom #1","8","Entire condo","5","https://www.airbnb.com/rooms/11068059"
"Pinetop-Lakeside, Arizona, United States","34.13798","-109.95187","Whispering Pines - Victorian House","9","Entire cabin",,"https://www.airbnb.com/rooms/48734470"
"Pinetop-Lakeside, Arizona, United States","34.12155","-109.96449","Casa De Q- Cabin in the Pines","8","Entire cabin","4.5","https://www.airbnb.com/rooms/52370090"
"Navajo County, Arizona, United States","34.1069","-109.89781","K & K Chalet - Fun Family Retreat on 1/2 Acre!","14","Entire home","5","https://www.airbnb.com/rooms/51332797"
