"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"McCall, Idaho, United States","44.90133","-116.12919","Alluring Farmhouse Styled Town Home w/ Easy Access","12","Entire home","4.5","https://www.airbnb.com/rooms/43383080"
"Donnelly, Idaho, United States","44.72438","-116.11259","Donnelly Cabin w/ Hot Tub, Near Tamarack and Lake","10","Entire cabin","5","https://www.airbnb.com/rooms/52405576"
"McCall, Idaho, United States","44.9032","-116.12726","Charming cabin less than 1 mile to Shore Lodge","8","Entire cabin","5","https://www.airbnb.com/rooms/35122450"
"Cascade, Idaho, United States","44.563","-116.147","Dog-friendly cabin with a great outdoor space in a peaceful location","4","Entire cabin","4","https://www.airbnb.com/rooms/26051944"
"Donnelly, Idaho, United States","44.681","-116.117","14 Myrne on the Creek","7","Entire cottage","5","https://www.airbnb.com/rooms/51161426"
"McCall, Idaho, United States","44.90856","-116.12115","River Retreat, 2 bdrm Condo unit in McCall, ID","4","Entire condo","5","https://www.airbnb.com/rooms/53608991"
"McCall, Idaho, United States","44.899","-116.098","Adorable McCall Condo With Mountain Views AND WIFI","4","Entire condo","5","https://www.airbnb.com/rooms/22563982"
"Donnelly, Idaho, United States","44.71044","-116.0948","A short walk to Lake Cascade","8","Entire cabin","5","https://www.airbnb.com/rooms/44486561"
"McCall, Idaho, United States","44.92233","-116.12673","Destination Cabin Close To Downtown McCall","10","Entire cabin","5","https://www.airbnb.com/rooms/53499548"
"McCall, Idaho, United States","44.90138","-116.09575","Downtown home with covered deck and firepit for s'mores - walk everywhere","12","Entire cabin","4.5","https://www.airbnb.com/rooms/17164951"
"McCall, Idaho, United States","44.90322","-116.09184","Spacious, dog-friendly cottage with fenced yard and central location","8","Entire home","4.5","https://www.airbnb.com/rooms/23244697"
"McCall, Idaho, United States","44.9029","-116.12758","Spacious Townhome with Central AC & Free WiFi - Close to Lake & Ski Resort","6","Entire townhouse",,"https://www.airbnb.com/rooms/53659080"
"McCall, Idaho, United States","44.91935","-116.09039","Laid Back Lounge: Seasonal Pool and Tennis Court, Close to Golf Course","11","Entire condo","5","https://www.airbnb.com/rooms/23784216"
"Cascade, Idaho, United States","44.49511","-116.08973","Very cute cabin all you need","6","Entire cabin","4.5","https://www.airbnb.com/rooms/52473740"
"McCall, Idaho, United States","44.91398","-116.09654","Mill Road Townhome - Walk to Payette Lake and Downtown - Lakeview Balcony - WiFi","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/52897180"
"McCall, Idaho, United States","44.91768","-116.09081","Cozy condo w/ a wood stove, shared hot tub, pools, & tennis - close to downtown!","6","Entire condo","4.5","https://www.airbnb.com/rooms/33526771"
"McCall, Idaho, United States","44.91685","-116.08942","Close to downtown, lake, golf and state park","6","Entire condo","5","https://www.airbnb.com/rooms/26893589"
"McCall, Idaho, United States","44.91156","-116.09292","The Park Chalet - Rustic charm - Pet-Friendly - Downtown - Payette Lake - Restaurants - WiFi - Wood Stove","8","Entire home","2.5","https://www.airbnb.com/rooms/43945915"
"Donnelly, Idaho, United States","44.72539","-116.11345","Outdoors house","6","Entire home","5","https://www.airbnb.com/rooms/39634318"
"McCall, Idaho, United States","44.92157","-116.09134","Cozy retreat close to Ponderosa State Park with golf course views","8","Entire condo","5","https://www.airbnb.com/rooms/23244295"
"McCall, Idaho, United States","44.90231","-116.09468","Family-friendly cabin w/ a firepit, enclosed yard, wood stove, & bikes!","6","Entire home","5","https://www.airbnb.com/rooms/33777861"
"Donnelly, Idaho, United States","44.72536","-116.11426","Banjo Adventure Home: fully renovated with new furniture and appliances","10","Entire home","5","https://www.airbnb.com/rooms/47176740"
"McCall, Idaho, United States","44.91975","-116.09091","Mountain Therapy: A/C, Pet Friendly, Walk to Davis Beach and Ponderosa Park","8","Entire home","5","https://www.airbnb.com/rooms/25076873"
"McCall, Idaho, United States","44.90983","-116.10063","TimberCrest Downtown Lakeview Condo South - Lakeview Balcony - A/C - Downtown","8","Entire condo","4.5","https://www.airbnb.com/rooms/21982341"
"McCall, Idaho, United States","44.90764","-116.09961","Modern Townhome w/Fire Pit in Downtown McCall","6","Entire townhouse","5","https://www.airbnb.com/rooms/37622564"
