"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Telluride, Colorado, United States","37.93664","-107.81911","Ski trip value! Walk everywhere, hot tub, top floor","4","Entire condo","4.5","https://www.airbnb.com/rooms/40727054"
"Telluride, Colorado, United States","37.94099","-107.81679","Quiet Lofted Studio at Tomboy Lodge","2","Entire condo","5","https://www.airbnb.com/rooms/50548688"
"Telluride, Colorado, United States","37.938","-107.818","Lovely Riverfront Condo with Pool & Hot Tub - In Town, Near the Slopes","2","Entire condo","4.5","https://www.airbnb.com/rooms/21211157"
"Telluride, Colorado, United States","37.93601","-107.82336","Cute ski in/ ski out 1 bedroom condo","4","Entire rental unit","5","https://www.airbnb.com/rooms/18425911"
"Ridgway, Colorado, United States","38.14903","-107.76586","Mountain Zen guest suite with private entrance","2","Entire home","5","https://www.airbnb.com/rooms/15582366"
"Telluride, Colorado, United States","37.93935","-107.81955","2 BR/2 BA walk to everything. Super Fast WiFi!","5","Entire condo","5","https://www.airbnb.com/rooms/46279687"
"Ridgway, Colorado, United States","38.131","-107.75","Cozy Home - Stunning Views from the Valley - 10 Mi","6","Entire home","5","https://www.airbnb.com/rooms/36424829"
"Ridgway, Colorado, United States","38.14756","-107.75782","2ND FLR SOLAR RANCH STUDIO APT.","2","Entire rental unit","5","https://www.airbnb.com/rooms/12363750"
"Ridgway, Colorado, United States","38.15472","-107.75711","Tree Frog House","4","Entire home","4.5","https://www.airbnb.com/rooms/8901516"
"Telluride, Colorado, United States","37.9416","-107.81715","Telluride Studio in Downtown - Walk to Gondola!","2","Entire loft","4.5","https://www.airbnb.com/rooms/47530360"
"San Miguel County, Colorado, United States","38.017","-108.053","Early Season deals, up to 20% off","3","Entire rental unit",,"https://www.airbnb.com/rooms/737153166804517600"
"Telluride, Colorado, United States","37.93917","-107.81728","Rob Story Ski Lodge: Master Bedroom","2","Private room in condo","4.5","https://www.airbnb.com/rooms/16632914"
"San Miguel County, Colorado, United States","38.06377","-107.91617","Magical Cabin in a San Juan aspen grove (W/SAUNA)","8","Entire cabin","5","https://www.airbnb.com/rooms/15373583"
"Ridgway, Colorado, United States","38.10642","-107.73721","Heart Quest Retreat In Ridgway","4","Entire guest suite","5","https://www.airbnb.com/rooms/26744766"
"Telluride, Colorado, United States","37.93781","-107.81831","SKI Retreat Telluride Town KING, lift access","4","Entire condo","5","https://www.airbnb.com/rooms/19811781"
"Telluride, Colorado, United States","37.93765","-107.81905","Views, SKI  in Telluride Town, lift access","4","Entire condo","5","https://www.airbnb.com/rooms/50552567"
"Telluride, Colorado, United States","37.94129","-107.81727","Awesome Location Steam Shower Hottub","3","Entire condo",,"https://www.airbnb.com/rooms/52152564"
"Telluride, Colorado, United States","37.93688","-107.82278","Ski In/out, Remodeled Luxury Condo","8","Entire condo","4.5","https://www.airbnb.com/rooms/48539128"
"Telluride, Colorado, United States","37.9395","-107.81898","Best of Telluride Town, KING, ski lift access","4","Entire condo","5","https://www.airbnb.com/rooms/42818098"
"Mountain Village, Colorado, United States","37.94014","-107.8623","Mountain Village Home Steps to Ski Lift & Shuttle!","6","Entire townhouse","5","https://www.airbnb.com/rooms/26782385"
"Ophir, Colorado, United States","37.85617","-107.82426","Waterfall Canyon Apartment OPHIR CO","2","Entire rental unit","5","https://www.airbnb.com/rooms/3799518"
"San Miguel County, Colorado, United States","38.10077","-108.24091","Cozy Yurt  in the trees with biking , star gazing","4","Shared room in yurt","5","https://www.airbnb.com/rooms/23902169"
"Norwood, Colorado, United States","38.13","-108.271","Country Paradise!  Convenient Bus to Telluride!","6","Entire home","4.5","https://www.airbnb.com/rooms/49540054"
"Ridgway, Colorado, United States","38.15132","-107.7587","BRAND NEW, La Casita of the San Juans, Ridgway CO","4","Entire rental unit","5","https://www.airbnb.com/rooms/43461855"
"Telluride, Colorado, United States","37.937","-107.812","Two Blocks to Downtown Telluride! Budget Friendly","3","Room in hotel","4.5","https://www.airbnb.com/rooms/25512106"
