"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Lead, South Dakota, United States","44.30309","-103.80819","Lazy Moose Lodge","8","Entire cabin",,"https://www.airbnb.com/rooms/35163535"
"Deadwood, South Dakota, United States","44.36847","-103.7322","Outlaw Homestead - in Deadwood! Mickelson Trail, Trolley stop, Garage and great backyard oasis!","10","Entire home","5","https://www.airbnb.com/rooms/51827829"
"Lead, South Dakota, United States","44.33532","-103.85006","Clover Hill Cabin","8","Entire cabin","5","https://www.airbnb.com/rooms/15587687"
"Deadwood, South Dakota, United States","44.38429","-103.72203","Calamity Jane Cottage at First Deadwood Cottages","4","Entire rental unit","5","https://www.airbnb.com/rooms/21664791"
"Spearfish, South Dakota, United States","44.49418","-103.86177","Quaint Spearfish Cottage","8","Entire home",,"https://www.airbnb.com/rooms/51945483"
"Lead, South Dakota, United States","44.3018","-103.81041","Jacob`s Landing West","16","Entire home","5","https://www.airbnb.com/rooms/48922239"
"Lead, South Dakota, United States","44.33343","-103.85349","A beautiful escape close to Deadwood, trails & ski","13","Entire home","5","https://www.airbnb.com/rooms/50156268"
"Whitewood, South Dakota, United States","44.43826","-103.65122","Northern Black Hills Equestrian Resort","8","Farm stay","5","https://www.airbnb.com/rooms/43036208"
"Spearfish, South Dakota, United States","44.5771","-103.87212","Home on 40 acres, minutes to Spearfish and Belle","6","Entire home","5","https://www.airbnb.com/rooms/33901305"
"Deadwood, South Dakota, United States","44.38178","-103.7244","The Bunkhouse, Walking distance to MainSt Deadwood","8","Entire home","5","https://www.airbnb.com/rooms/11118567"
"Lead, South Dakota, United States","44.34633","-103.76441","The Red Door on Summit","6","Entire home","5","https://www.airbnb.com/rooms/19522938"
"Sturgis, South Dakota, United States","44.41821","-103.53457","Camper and parking for Sturgis Motorcycle Rally","4","Camper/RV",,"https://www.airbnb.com/rooms/51139309"
"Lead, South Dakota, United States","44.34765","-103.76845","Pituresque Cozy Home Nestled in Black Hills","6","Entire home","5","https://www.airbnb.com/rooms/9230650"
"Lead, South Dakota, United States","44.33795","-103.81744","Lost Miner Cabin","12","Entire cabin","4.5","https://www.airbnb.com/rooms/11893030"
"Deadwood, South Dakota, United States","44.385","-103.721","Bullock Cottage at First Deadwood Cottages","8","Entire cottage","4.5","https://www.airbnb.com/rooms/21201486"
"Lead, South Dakota, United States","44.329","-103.85006","Jug House Lookout","16","Entire cabin","4","https://www.airbnb.com/rooms/42806094"
"Lead, South Dakota, United States","44.33188","-103.79973","Cloud 9 Cabin","15","Entire home","5","https://www.airbnb.com/rooms/42397755"
"Sturgis, South Dakota, United States","44.39756","-103.49676","Wee 3 in Legendary Sturgis","10","Entire home","5","https://www.airbnb.com/rooms/44556493"
"Sturgis, South Dakota, United States","44.40103","-103.50205","Happy Camper","2","Camper/RV",,"https://www.airbnb.com/rooms/26686167"
"Deadwood, South Dakota, United States","44.37683","-103.73189","Historical Downtown Deadwood Home","4","Entire home",,"https://www.airbnb.com/rooms/37221137"
"Sturgis, South Dakota, United States","44.39618","-103.49654","Experience The Black Hills","12","Entire home","5","https://www.airbnb.com/rooms/29281620"
"Spearfish, South Dakota, United States","44.44733","-103.77528","Ladybug Farm Retreat","8","Entire cabin","4.5","https://www.airbnb.com/rooms/36915987"
"Lead, South Dakota, United States","44.30982","-103.77343","Hidden Timber Log Cabin-Entire home-Sleeps 16+","16","Entire cabin","5","https://www.airbnb.com/rooms/186116"
"Spearfish, South Dakota, United States","44.50595","-103.88173","Northern Black Hills, close to Deadwood exit!","4","Entire home","5","https://www.airbnb.com/rooms/19788294"
"Lead, South Dakota, United States","44.33084","-103.79878","Cloud 9 Cabin - Beautiful views!","16","Entire cabin","5","https://www.airbnb.com/rooms/37552880"
