"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Gordonsville, Virginia, United States","38.19637","-78.24779","Central Virginia Country Cottage","8","Entire home","5","https://www.airbnb.com/rooms/812590"
"Schuyler, Virginia, United States","37.82607","-78.70118","Rest & renewal on a serene 106 acres.","6","Entire home","5","https://www.airbnb.com/rooms/33041181"
"Charlottesville, Virginia, United States","38.04564","-78.47911","Convenience & Comfort in Downtown Charlottesville","4","Entire home","5","https://www.airbnb.com/rooms/51537440"
"Afton, Virginia, United States","37.9995","-78.82616","Wine Down Ranch - Heart of 151 -  Newly renovated!","6","Entire home","5","https://www.airbnb.com/rooms/45527341"
"Charlottesville, Virginia, United States","38.07757","-78.48066","The Coerper on Commonwealth","6","Entire home","5","https://www.airbnb.com/rooms/47486819"
"Charlottesville, Virginia, United States","38.11921","-78.44293","Hollymead House Charlottesville Guesthouse #2","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/48591506"
"Charlottesville, Virginia, United States","38.03892","-78.45901","Lovely 2 bedroom townhouse with parking","6","Entire townhouse","5","https://www.airbnb.com/rooms/53212810"
"Charlottesville, Virginia, United States","38.01461","-78.51007","Cozy Charlottesville bedroom close to UVA campus.","2","Private room in home",,"https://www.airbnb.com/rooms/49635936"
"Charlottesville, Virginia, United States","38.0247","-78.47727","Historic Downtown Belmont Special  two room offer!","4","Private room in home","5","https://www.airbnb.com/rooms/14397945"
"Fork Union, Virginia, United States","37.76692","-78.2567","Bethel","5","Entire cottage","4.5","https://www.airbnb.com/rooms/36178827"
"Gordonsville, Virginia, United States","38.06116","-78.22167","Longwood Larkspur Room","2","Private room in home","5","https://www.airbnb.com/rooms/26026583"
"Charlottesville, Virginia, United States","38.04583","-78.49958","Walk to UVA, Athletics, Shopping","6","Entire rental unit","5","https://www.airbnb.com/rooms/12339369"
"Charlottesville, Virginia, United States","38.03852","-78.46584","Chville home away from home.","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/18563785"
"Ruckersville, Virginia, United States","38.24227","-78.36072","Hiking, History & Wineries Nearby!","10","Entire home","4.5","https://www.airbnb.com/rooms/53172866"
"Charlottesville, Virginia, United States","38.04024","-78.45848","This is a entire upstairs for up to 6 guests.","6","Entire home","4.5","https://www.airbnb.com/rooms/45786351"
"Ruckersville, Virginia, United States","38.24618","-78.41244","Farm Stay near Cville, Wine, Skiing and History","13","Farm stay","4.5","https://www.airbnb.com/rooms/21378925"
"Scottsville, Virginia, United States","37.72694","-78.55228","The Woodhaven Farm Carriage House","4","Entire home","5","https://www.airbnb.com/rooms/5598541"
"Charlottesville, Virginia, United States","38.04499","-78.49804","Historic Rugby Rd Getaway, easy walk to UVA!","2","Entire guest suite","4.5","https://www.airbnb.com/rooms/29482101"
"Charlottesville, Virginia, United States","38.02521","-78.47677","Charming Belmont / Downtown cottage","5","Entire home","5","https://www.airbnb.com/rooms/6024395"
"Scottsville, Virginia, United States","37.72542","-78.55267","The Old Peddler's House","8","Entire cabin","5","https://www.airbnb.com/rooms/5342636"
"Charlottesville, Virginia, United States","38.07193","-78.45708","Chateau Chamberlain in Charlottesville VA","7","Entire guest suite","5","https://www.airbnb.com/rooms/17041059"
"Gordonsville, Virginia, United States","38.15815","-78.21227","Gorgeous Country living at Chase Cottage Suite","2","Private room in guest suite","5","https://www.airbnb.com/rooms/49564206"
"Charlottesville, Virginia, United States","38.04969","-78.45422","The Nest at Meadow Creek","4","Entire home","5","https://www.airbnb.com/rooms/81577"
"Afton, Virginia, United States","38.01265","-78.82177","Stumble Creek Cottage-Newly Renovated-Heart of 151","9","Entire cottage","5","https://www.airbnb.com/rooms/42509486"
"Scottsville, Virginia, United States","37.86197","-78.55042","Near Carter's Mt & Monticello w/free Breakfast","9","Entire home","5","https://www.airbnb.com/rooms/40971930"
