"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Tupper Lake, New York, United States","44.19281","-74.48886","Lakefront Adirondack Escape","6","Entire home","5","https://www.airbnb.com/rooms/46097332"
"Saranac Lake, New York, United States","44.412","-74.157","Ben’s Place - Cozy Cabin Near Saranac Lake","4","Entire home","5","https://www.airbnb.com/rooms/50670394"
"Saranac Lake, New York, United States","44.31741","-74.12143","Backpackers' Cabin - Base Camp for ADK Adventures!","4","Entire cabin","5","https://www.airbnb.com/rooms/45055188"
"Lake Placid, New York, United States","44.29543","-73.99366","King Kitchenette Suite","2","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/51594266"
"Saranac Lake, New York, United States","44.325","-74.126","Two Bedroom Private Apt Walking Distance To Lake","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/36411321"
"Rainbow Lake, New York, United States","44.45259","-74.18548","""Deep Woods"", ASTC, on Jones Pond","5","Entire cabin",,"https://www.airbnb.com/rooms/5929661"
"Lake Placid, New York, United States","44.27079","-74.00946","Cozy Lake Placid Getaway!","4","Entire rental unit","5","https://www.airbnb.com/rooms/37852392"
"Saranac Lake, New York, United States","44.32918","-74.11944","Moody Pond Home~Walk to Mount Baker or Downtown SL","6","Entire home","5","https://www.airbnb.com/rooms/26951597"
"Lake Placid, New York, United States","44.28136","-73.98201","Perfect View Apt 6","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/51727716"
"Saranac Lake, New York, United States","44.32156","-74.14943","Your Modern Adirondack Retreat","4","Entire cabin","5","https://www.airbnb.com/rooms/1921527"
"Lake Placid, New York, United States","44.28216","-73.98304","Downtown Lake Placid / Oval View Apartment!","4","Entire rental unit","5","https://www.airbnb.com/rooms/44036668"
"Lake Placid, New York, United States","44.29101","-73.98868","Black Forest Studio: Zuhause ~ Lake Placid Village","2","Entire guest suite","5","https://www.airbnb.com/rooms/34391392"
"Saranac Lake, New York, United States","44.32711","-74.13244","Great apartment in the downtown of Saranac Lake","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/15646347"
"Saranac Lake, New York, United States","44.28804","-74.1592","Adirondack Waterfront Lean-To with hot shower","8","Campsite","4.5","https://www.airbnb.com/rooms/13343883"
"Saranac Lake, New York, United States","44.40649","-74.26006","Adirondack Christmas Cabin: Lower (Lake Access)","5","Entire rental unit","4.5","https://www.airbnb.com/rooms/45375395"
"Tupper Lake, New York, United States","44.22378","-74.44772","No Frills - Affordable - Adirondack Apartment","15","Private room in rental unit","5","https://www.airbnb.com/rooms/38387245"
"Lake Placid, New York, United States","44.27973","-73.97878","Family Suite with Mountain Views 12","4","Room in hotel","5","https://www.airbnb.com/rooms/48951881"
"Rainbow Lake, New York, United States","44.45416","-74.18517","""Log Cabin"" at Adk Swim & Trip Camp on Jones Pond","5","Entire cabin",,"https://www.airbnb.com/rooms/20321782"
"Lake Placid, New York, United States","44.27595","-73.99092","Trillium Nest - Private and Quiet 2BR/1 bath","5","Entire rental unit","5","https://www.airbnb.com/rooms/40058845"
"Lake Placid, New York, United States","44.22752","-73.91229","Iroquois Cabin","4","Entire cabin","4.5","https://www.airbnb.com/rooms/22791029"
"Lake Placid, New York, United States","44.27835","-73.97864","Rustic Room 9","4","Room in boutique hotel","5","https://www.airbnb.com/rooms/49321248"
"Lake Placid, New York, United States","44.278","-73.982","1-Bedroom apartment w/Loft (D4), walk to Main St.","4","Entire rental unit","5","https://www.airbnb.com/rooms/16253770"
"Lake Placid, New York, United States","44.278","-73.982","2-Bedroom apartment (D2), walk to Main Street","4","Entire rental unit","5","https://www.airbnb.com/rooms/16253522"
"Lake Placid, New York, United States","44.27829","-73.97874","Rustic Family Suite Rm 7","4","Room in boutique hotel","5","https://www.airbnb.com/rooms/49582747"
"Tupper Lake, New York, United States","44.214","-74.463","Birch Cottage on Tupper Lake","3","Entire guesthouse","4.5","https://www.airbnb.com/rooms/12578547"
