"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Fond du Lac, Wisconsin, United States","43.73934","-88.41242","PoppyHollow  Country Art Studio","4","Entire home","5","https://www.airbnb.com/rooms/10592029"
"Fond du Lac, Wisconsin, United States","43.74495","-88.43447","Cozy, Luxurious, Affordable- Double Room","2","Private room in home",,"https://www.airbnb.com/rooms/49260412"
"Fond du Lac, Wisconsin, United States","43.74516","-88.43387","Cozy, Luxurious, Affordable- King Room","2","Private room in home","5","https://www.airbnb.com/rooms/49260640"
"Kewaskum, Wisconsin, United States","43.55691","-88.19223","Private Room @ Paluso Guest Ranch - White Room","2","Private room in farm stay",,"https://www.airbnb.com/rooms/35542865"
"Kewaskum, Wisconsin, United States","43.55868","-88.1905","Private Room @  Paluso Guest Ranch -Turquoise Room","2","Private room in farm stay","5","https://www.airbnb.com/rooms/35543386"
"Kewaskum, Wisconsin, United States","43.55747","-88.19064","Private Room @ Paluso Guest Ranch -Guest Room #1","2","Private room in farm stay","5","https://www.airbnb.com/rooms/44428293"
"Fond du Lac, Wisconsin, United States","43.78375","-88.44589","3 Bedroom, Close to EAA","8","Entire home",,"https://www.airbnb.com/rooms/670333619731634300"
"Fond du Lac, Wisconsin, United States","43.803","-88.413","Cozy Upper on Lake Winnebago","5","Entire guest suite","4.5","https://www.airbnb.com/rooms/22245840"
"Fond du Lac, Wisconsin, United States","43.7466","-88.43548","Cozy, Luxurious, Affordable- Single Room","1","Private room in home","5","https://www.airbnb.com/rooms/49260123"
"Ripon, Wisconsin, United States","43.84543","-88.84027","Furnished apartment in Historic Downtown Ripon","4","Entire rental unit","5","https://www.airbnb.com/rooms/35675675"
"Fond du Lac, Wisconsin, United States","43.77441","-88.44698","Perspective Studio's Penthouse Suite!","3","Entire rental unit","5","https://www.airbnb.com/rooms/42622529"
"Fond du Lac, Wisconsin, United States","43.7773","-88.46314","Urban Townhouse  With Tranquil Atmosphere","4","Entire townhouse","5","https://www.airbnb.com/rooms/33498142"
"Campbellsport, Wisconsin, United States","43.56474","-88.30314","Tree House on the Lake","4","Entire home","4.5","https://www.airbnb.com/rooms/48828516"
"Ripon, Wisconsin, United States","43.84591","-88.83835","The Hideaway in Historical Downtown Ripon","4","Entire rental unit","5","https://www.airbnb.com/rooms/38130056"
"Campbellsport, Wisconsin, United States","43.67479","-88.17563","Kettle Moraine Retreat on Long Lake","6","Entire cottage","5","https://www.airbnb.com/rooms/51389984"
"Brandon, Wisconsin, United States","43.76471","-88.70825","COUNTRY RANCH  HOME","8","Entire home",,"https://www.airbnb.com/rooms/23403113"
"Fond du Lac, Wisconsin, United States","43.84475","-88.38481","Relax and enjoy the sunset on the lake.","4","Entire cottage","5","https://www.airbnb.com/rooms/50028845"
"Fond du Lac, Wisconsin, United States","43.80388","-88.40552","Lake House with 60' Sandy Frontage","8","Entire home","5","https://www.airbnb.com/rooms/8046230"
"Van Dyne, Wisconsin, United States","43.88237","-88.46367","Picturesque Lake home","8","Private room in villa","5","https://www.airbnb.com/rooms/22337251"
"Cascade, Wisconsin, United States","43.68114","-88.16298","Sunset Loft by the Lake w/ Fun Package Options!","6","Entire cottage","5","https://www.airbnb.com/rooms/45376857"
"Mayville, Wisconsin, United States","43.57321","-88.56155","The ​Wisco Guest House & Supper Club","8","Entire guesthouse","5","https://www.airbnb.com/rooms/49316678"
"Fond du Lac, Wisconsin, United States","43.74945","-88.44439","Tweety's","6","Entire townhouse","5","https://www.airbnb.com/rooms/30254672"
"Oshkosh, Wisconsin, United States","43.93425","-88.47974","Lake Winnebago Fall and Winter Deals","6","Entire home","5","https://www.airbnb.com/rooms/48629464"
