"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Bend, Oregon, United States","44.00224","-121.3501","NEW! 10-Acre Bend Home < 4 Mi to Old Mill District","11","Entire home","5","https://www.airbnb.com/rooms/51553641"
"Bend, Oregon, United States","44.056","-121.335","Bluebird Day - Sunnyside House - Hot Tub - Pet Friendly - Bike or Walk Everywhere!","8","Entire home","5","https://www.airbnb.com/rooms/7692636"
"Bend, Oregon, United States","44.0623","-121.33415","Modern Westside House","8","Entire home","5","https://www.airbnb.com/rooms/21350169"
"Powell Butte, Oregon, United States","44.149","-121.061","Smith by AvantStay | Brasada Ranch Home","10","Entire home","4.5","https://www.airbnb.com/rooms/51351061"
"Bend, Oregon, United States","44.056","-121.324","Bluebird Day - Riverside Cottage - Downtown - Hot Tub - Walk or Bike Everywhere!","7","Entire home","5","https://www.airbnb.com/rooms/7675765"
"Bend, Oregon, United States","43.77631","-121.51169","Beautiful Riverfront Home South of Sunriver, Bear Ln!!!","8","Entire home","5","https://www.airbnb.com/rooms/24152887"
"Bend, Oregon, United States","44.02782","-121.3255","Old Mill Family Home w/hot tub & trampoline","12","Entire home","5","https://www.airbnb.com/rooms/53006642"
"Bend, Oregon, United States","44.06379","-121.31958","Downtown, Modern Nostalgia--walk to shops, cafes","6","Entire cottage","5","https://www.airbnb.com/rooms/2913197"
"Bend, Oregon, United States","44.05703","-121.32197","Walk to Downtown - Near River","4","Entire home","5","https://www.airbnb.com/rooms/2599023"
"Black Butte Ranch, Oregon, United States","44.36783","-121.67164","Cozy home with pools, saunas, golf, private hot tub & deck - dog-friendly","5","Entire home","4.5","https://www.airbnb.com/rooms/21671514"
"Bend, Oregon, United States","44.03825","-121.29269","Newly built & furnished home in a perfect location","7","Entire home","5","https://www.airbnb.com/rooms/15847397"
"Bend, Oregon, United States","43.84898","-121.43108","56671 Sunstone Loop | 5 BR / 5.5 BA, Sleeps 12","12","Entire home","5","https://www.airbnb.com/rooms/45770728"
"Bend, Oregon, United States","44.0737","-121.2917","Modern Midtown Home w/ Luxury Finishes & Hot Tub!","10","Entire home","4.5","https://www.airbnb.com/rooms/54279350"
"Powell Butte, Oregon, United States","44.16431","-121.03563","The Luxurious Ranch Life","15","Entire home","5","https://www.airbnb.com/rooms/47491652"
"Bend, Oregon, United States","44.05055","-121.34385","Westside Luxury Living/Views, Walkability, Trails","12","Entire home","5","https://www.airbnb.com/rooms/46690664"
"Bend, Oregon, United States","43.87185","-121.44034","Sunriver Condo Next to Bend & Mt. Bachelor | SHARC","10","Entire townhouse","5","https://www.airbnb.com/rooms/52739107"
"Sunriver, Oregon, United States","43.82151","-121.48734","Luxury riverfront home with private deck & hot tub, custom indoor/outdoor fireplace + Community pool-house access!","10","Entire home",,"https://www.airbnb.com/rooms/8516891"
"Bend, Oregon, United States","44.053","-121.325","Truly One of the Very Best Riverfront Homes!!!","6","Entire cottage","5","https://www.airbnb.com/rooms/4588100"
"Bend, Oregon, United States","43.9974","-121.38222","☆ Quiet Forest Retreat | 10min from Old Mill ☆","10","Entire home","5","https://www.airbnb.com/rooms/27111249"
"Bend, Oregon, United States","44.05215","-121.33419","Beautiful Modern Home and Studio Apt Combined","9","Entire home","5","https://www.airbnb.com/rooms/45065826"
"Bend, Oregon, United States","44.18195","-121.17103","Luxury Home Pronghorn/Juniper Preserve Golf Resort","8","Entire home","5","https://www.airbnb.com/rooms/43053982"
"Bend, Oregon, United States","43.99766","-121.39217","Closest to Bachelor | New Luxury | Hot Tub | DogOK","10","Entire home","5","https://www.airbnb.com/rooms/30400963"
"Sunriver, Oregon, United States","43.89606","-121.43848","Gorgeous 3 BR, Forest Views, Hot Tub, SHARC Passes","7","Entire home","5","https://www.airbnb.com/rooms/32244105"
"Bend, Oregon, United States","43.99549","-121.39335","Luxury Mt Bachelor Retreat with Hot Tub & Patio!","10","Entire townhouse","5","https://www.airbnb.com/rooms/43023920"
"Bend, Oregon, United States","44.02762","-121.35639","Luxury High Desert Home Short Drive to Mt Bachelor","4","Entire home",,"https://www.airbnb.com/rooms/49887951"
