"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Lake Placid, New York, United States","44.29016","-73.98913","BEST LOCATION! Stay Parkside and Walk Everywhere!","6","Entire cabin","5","https://www.airbnb.com/rooms/17542827"
"Keene, New York, United States","44.28713","-73.81281","Owl's Landing","3","Entire cabin","5","https://www.airbnb.com/rooms/19530915"
"Wilmington, New York, United States","44.36256","-73.83306","Hot Tub, Sauna, Lake Everest, Dog Friendly, 1 mi t","8","Entire home","5","https://www.airbnb.com/rooms/18614611"
"Lake Placid, New York, United States","44.297","-74.011","The Whiteface Lodge Luxury Resort -1B/1B Superior","4","Entire serviced apartment","5","https://www.airbnb.com/rooms/17039019"
"Jay, New York, United States","44.42896","-73.73902","Nine Sides Lodge","6","Entire vacation home","5","https://www.airbnb.com/rooms/54137443"
"Saranac Lake, New York, United States","44.326","-74.153","Heron Lakefront Townhomes at Ampersand Bay Resort","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/46507335"
"Keeseville, New York, United States","44.49183","-73.41161","Seasonal Deal: Low Rate, No Cleaning Fee, Inquire!","6","Entire home","5","https://www.airbnb.com/rooms/40116609"
"Jay, New York, United States","44.42552","-73.74465","Oneida Pines Mountain Retreat","8","Entire home","4.5","https://www.airbnb.com/rooms/50653709"
"Lake Placid, New York, United States","44.294","-73.99494","Cozy Little Wrap Around","5","Entire home","5","https://www.airbnb.com/rooms/30824523"
"Lake Placid, New York, United States","44.27697","-73.97715","Alpine Apartment","5","Entire rental unit","5","https://www.airbnb.com/rooms/35710427"
"Jay, New York, United States","44.38031","-73.71629","The Blue Jay Lodge","11","Entire home","5","https://www.airbnb.com/rooms/46892622"
"Saranac Lake, New York, United States","44.34026","-74.33336","Duck-Duck-Loon","6","Entire home","5","https://www.airbnb.com/rooms/26485612"
"Lake Placid, New York, United States","44.27982","-73.98055","Mountain View Balcony Efficiency Suite","4","Room in hotel","5","https://www.airbnb.com/rooms/48859307"
"Essex, New York, United States","44.30736","-73.34887","Adirondack Lake Champlain Brick House South","4","Entire cabin","5","https://www.airbnb.com/rooms/28152529"
"Jay, New York, United States","44.38125","-73.71307","Cold River Cottage and Whiteface Ski Lodge","6","Entire cottage","5","https://www.airbnb.com/rooms/37902387"
"Lake Placid, New York, United States","44.27551","-73.98351","Love a Couples Reunion? - Close to Main St.","10","Entire townhouse","5","https://www.airbnb.com/rooms/8567350"
"Shoreham, Vermont, United States","43.88516","-73.37329","Watch Point will take your breath away!","7","Entire cottage","5","https://www.airbnb.com/rooms/23247414"
"Lake Placid, New York, United States","44.28487","-73.97562","Lake Placid Club 2 Bedroom Condo","6","Entire condo","5","https://www.airbnb.com/rooms/31283329"
"Shoreham, Vermont, United States","43.91247","-73.39307","Relaxing 3 Bedroom Lake-front home","6","Entire cottage","5","https://www.airbnb.com/rooms/51886898"
"Lake Placid, New York, United States","44.277","-73.985","Spacious Suite 202 on Mill Pond!  Mountain Views!","6","Entire rental unit","5","https://www.airbnb.com/rooms/26795776"
"Jay, New York, United States","44.39056","-73.73835","Schuyler Lodge Chalet - near Whiteface Mountain","6","Entire chalet","5","https://www.airbnb.com/rooms/15599808"
"Wilmington, New York, United States","44.39535","-73.80414","Whiteface Cabin Retreat","4","Entire cabin","5","https://www.airbnb.com/rooms/18874934"
"Hague, New York, United States","43.748","-73.501","BrooksideMiniFarm Lake George Acces","4","Entire home","5","https://www.airbnb.com/rooms/25928"
"Jay, New York, United States","44.42191","-73.71941","GosliNgs' Nest HOUSE SHARE Bunk room for 3","3","Private room in chalet","5","https://www.airbnb.com/rooms/25812501"
"Jay, New York, United States","44.36819","-73.72594","Large ADK Mt house family friendly!","10","Entire home","5","https://www.airbnb.com/rooms/2011027"
