"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Grantsburg, Wisconsin, United States","45.656","-92.7","Log Cabin (ONLY available WITH Trade River cabin)","2","Entire guesthouse","5","https://www.airbnb.com/rooms/24399216"
"Luck, Wisconsin, United States","45.5663","-92.39938","Stunning year round retreat on beautiful Bone Lake","8","Entire home","5","https://www.airbnb.com/rooms/44644410"
"Minneapolis, Minnesota, United States","45.02684","-93.2407","Charming Nordeast Home Movie Theatre Office","6","Entire home","5","https://www.airbnb.com/rooms/53775258"
"Roseville, Minnesota, United States","45.00996","-93.10923","9 Miles to US Bank Stadium (Super Bowl Location :)","4","Entire home","5","https://www.airbnb.com/rooms/1256215"
"Minneapolis, Minnesota, United States","45.02472","-93.29673","Home away from home!","8","Entire home","4.5","https://www.airbnb.com/rooms/23980880"
"Minneapolis, Minnesota, United States","44.96991","-93.30382","Gourmet Kitchen in Kenwood","8","Entire home","5","https://www.airbnb.com/rooms/2203701"
"Minneapolis, Minnesota, United States","44.989","-93.265","Charming Urban Sanctuary - 2 Queen Beds","5","Private room in home","5","https://www.airbnb.com/rooms/15042873"
"Minneapolis, Minnesota, United States","44.96983","-93.29798","Modern Apartment in Kenwood","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/10939437"
"Minneapolis, Minnesota, United States","45.01891","-93.38259","Minimalist-boho split level home best for families","6","Entire home",,"https://www.airbnb.com/rooms/54223154"
"Minneapolis, Minnesota, United States","44.98418","-93.22968","Exceptional Loft #309 - UMN","10","Entire rental unit","5","https://www.airbnb.com/rooms/50086329"
"Minneapolis, Minnesota, United States","44.9808","-93.37383","Large home in Golden Valley right on Lion's Park","10","Entire home","5","https://www.airbnb.com/rooms/52155676"
"Minneapolis, Minnesota, United States","45.01161","-93.25212","Clean & Cozy Casa in NE Mpls-Mins. to Downtwn","5","Entire home","5","https://www.airbnb.com/rooms/22179068"
"Lake Elmo, Minnesota, United States","45.02318","-92.94218","Honeymoon/Special Occasion Lakeside Suite w/ Beach","4","Private room in home",,"https://www.airbnb.com/rooms/22998635"
"Minneapolis, Minnesota, United States","45.09127","-93.35458","Luxury Minneapolis Townhome 10 Miles from Downtown","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/32491978"
"Minneapolis, Minnesota, United States","45.0104","-93.25268","Entire American Craftsman Duplex by Lux Life","10","Entire home","5","https://www.airbnb.com/rooms/35320742"
"Minneapolis, Minnesota, United States","45.01568","-93.50018","Eco-Retreat getaway, many amenities! 4 bd + gym!","12","Entire home","5","https://www.airbnb.com/rooms/52055606"
"Minneapolis, Minnesota, United States","44.98236","-93.32773","Urban Beach and Ski Retreat.","4","Entire home","5","https://www.airbnb.com/rooms/14385856"
"Pine City, Minnesota, United States","45.84197","-93.02486","Lake Pokegama Retreat in Pine City, MN","14","Entire home",,"https://www.airbnb.com/rooms/15469458"
"Plymouth, Minnesota, United States","45.02989","-93.46646","Magicians Estate-Gated & - HUGE Fantasy Treehouse!","6","Entire home","5","https://www.airbnb.com/rooms/10597073"
"Lake Elmo, Minnesota, United States","45.00864","-92.92366","Lake Elmo Place near Mall of America","6","Entire home","4.5","https://www.airbnb.com/rooms/26360821"
"Saint Paul, Minnesota, United States","44.97561","-93.13961","House across Lake Como. 3 bedrooms & 3 bath","6","Entire home","5","https://www.airbnb.com/rooms/33877046"
"Minneapolis, Minnesota, United States","44.97718","-93.25851","Sonder at Vicinity | Superior Two-Bedroom Apartment w/ Balcony","5","Entire rental unit","4.5","https://www.airbnb.com/rooms/54386030"
"Saint Paul, Minnesota, United States","44.99107","-93.12679","Como House","10","Entire home","5","https://www.airbnb.com/rooms/15042255"
"Danbury, Wisconsin, United States","45.9867","-92.30531","Fully Stocked Cabin Ready for Summer Getaways!","10","Entire cabin","5","https://www.airbnb.com/rooms/53400633"
"Minneapolis, Minnesota, United States","44.99139","-93.23529","★Skyline Views!★New House by DT★Great For Groups★","12","Entire home","5","https://www.airbnb.com/rooms/259668"
