"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Sandwich, New Hampshire, United States","43.80566","-71.44193","1920s Cottage on Red Hill","8","Entire home","5","https://www.airbnb.com/rooms/9343897"
"Intervale, New Hampshire, United States","44.11264","-71.14272","Scenic Lodge - outdoor jacuzzi, bikes, and more...","6","Entire home","5","https://www.airbnb.com/rooms/47997876"
"Conway, New Hampshire, United States","44.057","-71.154","Hike, Fish, Golf, Tube, Dine Within 1 Mile!","8","Entire chalet","5","https://www.airbnb.com/rooms/45213592"
"Tamworth, New Hampshire, United States","43.85707","-71.30614","The Guest wing at the Twisted Moose","4","Private room in cabin","5","https://www.airbnb.com/rooms/51538258"
"Waterville Valley, New Hampshire, United States","43.94965","-71.5066","Inns of Waterville Valley one bedroom condo next door to Town Square!","4","Entire condo",,"https://www.airbnb.com/rooms/51709468"
"Bartlett, New Hampshire, United States","44.07524","-71.25919","Relaxing Pondside Family Retreat w/ Outdoor Shower","6","Entire cabin","5","https://www.airbnb.com/rooms/9627412"
"Bartlett, New Hampshire, United States","44.13251","-71.19595","Ski Condo w/ Pool - Mins to Story Land & Attitash!","6","Entire condo","5","https://www.airbnb.com/rooms/31222874"
"Acton, Maine, United States","43.61049","-70.9584","Lake front log home with dock 45 min from skiing","10","Entire cabin",,"https://www.airbnb.com/rooms/51470841"
"Waterville Valley, New Hampshire, United States","43.95","-71.508","Waterville Valley Townhouse near Town Square","8","Entire townhouse","5","https://www.airbnb.com/rooms/11672842"
"Waterville Valley, New Hampshire, United States","43.94983","-71.50594","Vacation Getaway in Cozy Condo at the Birthplace of Freestyle Skiing - Waterville Valley","8","Entire condo",,"https://www.airbnb.com/rooms/51619282"
"Wolfeboro, New Hampshire, United States","43.58793","-71.20892","16 Grove St. Wolfeboro, NH","8","Entire home","5","https://www.airbnb.com/rooms/40796434"
"Gilford, New Hampshire, United States","43.58652","-71.39539","Getaway at beautiful Lake Winnipesaukee!!","7","Entire home","5","https://www.airbnb.com/rooms/6212279"
"Waterville Valley, New Hampshire, United States","43.94676","-71.50826","Large Modern Waterville Valley 3 bed, 2.5 bath","6","Entire condo",,"https://www.airbnb.com/rooms/52378891"
"Conway, New Hampshire, United States","44.05491","-71.12782","Perfect family vacation home steps to downtown.","6","Entire home","5","https://www.airbnb.com/rooms/46079940"
"Conway, New Hampshire, United States","43.99651","-71.03402","Your Gateway to North Conway & The White Mountains","8","Entire home","5","https://www.airbnb.com/rooms/47733993"
"Conway, New Hampshire, United States","44.06078","-71.10675","Bright condo with WiFi, fireplace, outdoor pool, & excellent location","6","Entire condo",,"https://www.airbnb.com/rooms/31022803"
"Conway, New Hampshire, United States","44.04116","-71.14704","The Bear Loft","6","Entire cabin","5","https://www.airbnb.com/rooms/52222372"
"Intervale, New Hampshire, United States","44.08658","-71.13474","Unique-Charming-KingBed-Private","7","Entire home","5","https://www.airbnb.com/rooms/48382599"
"Conway, New Hampshire, United States","43.97144","-71.12478","Lakefront house with stunning views","6","Entire home","5","https://www.airbnb.com/rooms/49214800"
"Jackson, New Hampshire, United States","44.14333","-71.16535","Jackson Chalet with great views","5","Entire home","5","https://www.airbnb.com/rooms/12230234"
"Fryeburg, Maine, United States","44.10614","-71.00019","Fryeburg retreat - lake access, near North Conway","10","Entire home","5","https://www.airbnb.com/rooms/52336625"
"Conway, New Hampshire, United States","43.97562","-71.13628","Classic home w/ pond access & updated kitchen - near hiking, the Kank & more!","10","Entire home","4.5","https://www.airbnb.com/rooms/35349917"
"Wakefield, New Hampshire, United States","43.6031","-70.99554","NEW! Quiet Cottage w/ Outdoor Space: Walk to Lake!","5","Entire cottage","5","https://www.airbnb.com/rooms/54303521"
"Madison, New Hampshire, United States","43.94004","-71.12697","Lakeview Forest Cabin w/ Deck < ½ Mile to Beach!","9","Entire cabin","5","https://www.airbnb.com/rooms/40703391"
"Tamworth, New Hampshire, United States","43.9191","-71.23601","Private 19th Century Farmhouse","11","Farm stay","5","https://www.airbnb.com/rooms/939881"
