"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Klamath Falls, Oregon, United States","42.27108","-121.872","Running Y Ranch Retreat-Gateway to Crater Lake NP","5","Entire chalet","5","https://www.airbnb.com/rooms/51261473"
"Klamath Falls, Oregon, United States","42.24059","-121.79244","❤️ Cute Smarthouse WiFi 4KTV W/D OIT Golf Hospital","3","Entire home","4.5","https://www.airbnb.com/rooms/23665182"
"Klamath Falls, Oregon, United States","42.23232","-121.77654","28+Day❤️Copper Smarthouse 3 Kings 4KTV Keurig Hulu","6","Entire home",,"https://www.airbnb.com/rooms/32934651"
"Klamath Falls, Oregon, United States","42.24981","-121.7921","2 Comfy Units For 8! Pool, Parking!","8","Private room in resort",,"https://www.airbnb.com/rooms/52417464"
"Beatty, Oregon, United States","42.50129","-121.31694","Wild Billy Lake Entire Property 2 cabins 1100 acre","13","Entire place",,"https://www.airbnb.com/rooms/50594662"
"Klamath Falls, Oregon, United States","42.24113","-121.79027","28+ Day⭐2 Kings Smarthouse | Jetted Tub | BBQ, Firepit, Patio Set, Fenced Yard | HDTV AC WIFI  Keurig  | Near Hospital","5","Entire home","5","https://www.airbnb.com/rooms/24184176"
"Crescent, Oregon, United States","43.50307","-121.926","Secluded Luxury Mtn Getaway Near Crescent Lake!","15","Entire home","5","https://www.airbnb.com/rooms/50169104"
"Klamath Falls, Oregon, United States","42.2346","-121.77699","The Red Smarthouse King ❤️Downtown 4KTV W/D WiFi","3","Entire home","4.5","https://www.airbnb.com/rooms/21848996"
"Klamath Falls, Oregon, United States","42.24096","-121.79239","Super Cute ❤️ Smarthouse HDTV Keurig By Lake Golf Hospital W/D","3","Entire home","4.5","https://www.airbnb.com/rooms/22533889"
"Crescent, Oregon, United States","43.509","-121.931","Beautiful mountain retreat guest Chalet","4","Entire guesthouse",,"https://www.airbnb.com/rooms/54022742"
"Klamath Falls, Oregon, United States","42.27824","-121.88574","5★ RUNNING Y RESORT~2 Bed~NO CLEAN FEE~Slps 6~GOLF","6","Entire condo","5","https://www.airbnb.com/rooms/33096759"
"Wild Billy Lake, Oregon, United States","42.50014","-121.31812","Wild Billy Lake Cabin 1 off the grid 1100 acres","5","Entire cabin","4.5","https://www.airbnb.com/rooms/50155763"
"Crescent, Oregon, United States","43.52621","-121.94225","Williamette Pass Inn - Cascade Fiesta Chalet - pet friendly - sleeps 6","6","Entire chalet","5","https://www.airbnb.com/rooms/53307564"
"Klamath Falls, Oregon, United States","42.2417","-121.79056","28+Day❤️ Lovely Smart Craftsman| 2 Kings | BBQ, Firepit, Patio Sets, Fenced Yard | HDTV AC WIFI  Keurig  | Near Hospital","7","Entire home",,"https://www.airbnb.com/rooms/24184178"
"Crescent, Oregon, United States","43.50992","-121.92699","Diamond Peaks Retreat-mountain escape w/ hot tub!","8","Entire chalet","5","https://www.airbnb.com/rooms/46727347"
"Klamath Falls, Oregon, United States","42.23456","-121.77636","28+Day❤️Smart Spanish Craftsman 4 Kings 4KTV WiFi","8","Entire home",,"https://www.airbnb.com/rooms/33552612"
"Klamath Falls, Oregon, United States","42.277","-121.885","Running Y, OR, **3 Bedroom Z #2","8","Entire condo",,"https://www.airbnb.com/rooms/30396335"
"Chiloquin, Oregon, United States","42.57798","-121.86678","Running W Ranch home on the Sprague River.","8","Entire vacation home","5","https://www.airbnb.com/rooms/5673444"
"Klamath Falls, Oregon, United States","42.24092","-121.77551","Casa Del Moro for 12","12","Entire home",,"https://www.airbnb.com/rooms/53185978"
"Klamath Falls, Oregon, United States","42.21531","-121.72528","THE WHITE HAVEN:Huge Yard, 5 beds,pets ok","14","Entire home","5","https://www.airbnb.com/rooms/12853761"
"Fort Klamath, Oregon, United States","42.7492","-122.05001","BookStayHop - Sun Mountain Ranch BunkHouse - Near Crater Lake ~ Pet Friendly ~ Kitchen","16","Entire home","5","https://www.airbnb.com/rooms/21622757"
"Crescent, Oregon, United States","43.50687","-121.93139","Lodge Style Cabin nr Crater Lake w Mountain Views","8","Entire cabin","5","https://www.airbnb.com/rooms/45882743"
"Klamath Falls, Oregon, United States","42.23262","-121.77473","80+Day❤️Smart Spanish Craftsman 4 Kings 4KTV WiFi","8","Entire home",,"https://www.airbnb.com/rooms/33553601"
"Klamath Falls, Oregon, United States","42.27253","-121.87064","Large Renovated Running Y Resort Mountain Getaway","8","Entire townhouse","5","https://www.airbnb.com/rooms/19182304"
"Klamath Falls, Oregon, United States","42.22724","-121.78577","28+Day❤️of Downtown | SmartHouse | 4KTV | King, 2 Queens, Double + Twin | BBQ, Patio Sets | Jetted Tub |W/D AC","10","Entire home",,"https://www.airbnb.com/rooms/33554802"
