"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Orwell, Vermont, United States","43.78434","-73.3055","Historic Brookside- Private Suite In Historic Home","2","Private room in farm stay","5","https://www.airbnb.com/rooms/50402373"
"Greenwich, New York, United States","43.08908","-73.48341","Tentrr Signature Site - Wedding Hill Farm","6","Tent",,"https://www.airbnb.com/rooms/28074642"
"Fair Haven, Vermont, United States","43.58967","-73.26503","Master suite at Guest House at 1 Main","2","Private room in home","5","https://www.airbnb.com/rooms/31989706"
"Whitehall, New York, United States","43.56186","-73.40091","Mesmerizing Bell Tent for a Romantic Getaway","2","Tent","5","https://www.airbnb.com/rooms/50978255"
"Greenwich, New York, United States","43.05344","-73.57612","Tentrr Signature Site - Belle Vue Pond and River Haven","5","Tent","5","https://www.airbnb.com/rooms/43478557"
"Clemons, New York, United States","43.62818","-73.44997","Ives-Wollny Hideaway near Huletts Landing, NY","6","Entire home","5","https://www.airbnb.com/rooms/14650265"
"Argyle, New York, United States","43.29214","-73.4752","Tentrr Signature Site - The Magic Glamp Luxury in the Woods of Upstate NY with Linens, firewood, blankets & much more included.","14","Tent",,"https://www.airbnb.com/rooms/49318492"
"Fort Ann, New York, United States","43.39298","-73.59219","ADK Escape","4","Entire home","5","https://www.airbnb.com/rooms/49275088"
"Hague, New York, United States","43.75875","-73.51499","Perfect Lake George / Adirondack Region Getaway","9","Entire home","4.5","https://www.airbnb.com/rooms/1143383"
"Fair Haven, Vermont, United States","43.591","-73.265","Downstairs Two-Twins Bedroom","2","Private room in home","5","https://www.airbnb.com/rooms/33444989"
"Ticonderoga, New York, United States","43.8074","-73.42868","The Lakehouse BNB West Bedroom","2","Private room in home","5","https://www.airbnb.com/rooms/22464516"
"Orwell, Vermont, United States","43.75316","-73.28008","The Green Door","6","Entire cabin","5","https://www.airbnb.com/rooms/27898714"
"Benson, Vermont, United States","43.722","-73.368","Last House on the Lake","2","Entire home","5","https://www.airbnb.com/rooms/18130283"
"Granville, New York, United States","43.33156","-73.3824","Butterfly Haven Yurt. A unique glamping experience","6","Private room in yurt",,"https://www.airbnb.com/rooms/49586372"
"Fair Haven, Vermont, United States","43.589","-73.266","1 Main Guest House Full Suite","2","Private room in home","4.5","https://www.airbnb.com/rooms/40288095"
"Ticonderoga, New York, United States","43.80642","-73.43005","The Lakehouse BNB East Room","2","Private room in home","5","https://www.airbnb.com/rooms/22462104"
"Silver Bay, New York, United States","43.682","-73.508","Lakefront Villas on Northern Lake George (N4)","6","Entire townhouse","5","https://www.airbnb.com/rooms/45975721"
"Whitehall, New York, United States","43.561","-73.401","Unique Tiny Cabin in the Beautiful Adirondacks","2","Tiny home","5","https://www.airbnb.com/rooms/50064846"
"Orwell, Vermont, United States","43.754","-73.277","Rustic Cabin on Sunset Lake W/Boathouse Access","8","Entire cabin","5","https://www.airbnb.com/rooms/15594308"
"Silver Bay, New York, United States","43.682","-73.508","Lakefront Villas on Northern Lake George (N5)","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/45199848"
"Schuylerville, New York, United States","43.1019","-73.58474","A Slice of Old Saratoga","4","Entire rental unit","5","https://www.airbnb.com/rooms/35120231"
"Silver Bay, New York, United States","43.69495","-73.50666","Newly Renovated Summit Cottage","10","Entire cottage",,"https://www.airbnb.com/rooms/52126569"
"Ticonderoga, New York, United States","43.80186","-73.45819","Private & Spacious Cottage on Lake George","5","Entire home","4.5","https://www.airbnb.com/rooms/12378328"
"Granville, New York, United States","43.33289","-73.38334","Moose Lodge Yurt. A unique glamping experience","8","Private room in yurt","5","https://www.airbnb.com/rooms/49585961"
"Salem, New York, United States","43.1442","-73.35872","Log cabin in the woods","6","Entire cabin",,"https://www.airbnb.com/rooms/38329005"
