"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Wintergreen Resort, Virginia, United States","37.92494","-78.94551","Sunset Vista Villa - Minutes to the Slopes","5","Entire condo","5","https://www.airbnb.com/rooms/49734638"
"Greenville, Virginia, United States","38.00285","-79.13475","Cabin on Penmerryl Farm - (2-Night Minimum Stay)","6","Entire cabin","5","https://www.airbnb.com/rooms/442324"
"Arrington, Virginia, United States","37.682","-78.929","Melody Room - Harmony Hill Bed and Breakfast","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/28528167"
"Wintergreen Resort, Virginia, United States","37.92627","-78.95081","The Bear Dance Cabin at Wintergreen","6","Entire cabin","5","https://www.airbnb.com/rooms/17121963"
"Wintergreen Resort, Virginia, United States","37.92575","-78.94753","Cozy Updated Wintergreen Condo at Devil’s Knob","5","Entire condo","5","https://www.airbnb.com/rooms/28215314"
"Charlottesville, Virginia, United States","38.0215","-78.64968","Terrace level apartment in upscale neighborhood","4","Entire guest suite","5","https://www.airbnb.com/rooms/21078478"
"Wintergreen Resort, Virginia, United States","37.91623","-78.94498","Ski-In Ski-Out Condo w/ Balcony & Slope Views!","2","Entire condo","5","https://www.airbnb.com/rooms/47411401"
"Tyro, Virginia, United States","37.86834","-79.0462","Riverside hideaway","6","Entire home","5","https://www.airbnb.com/rooms/49449581"
"Amherst, Virginia, United States","37.58233","-79.05194","Wine-house","7","Entire home","5","https://www.airbnb.com/rooms/52504175"
"Roseland, Virginia, United States","37.91322","-78.94742","Idyllic refuge for outdoors, ski, relaxation & WFH","6","Entire townhouse","5","https://www.airbnb.com/rooms/47719828"
"Faber, Virginia, United States","37.88156","-78.81924","Lovely Cape Cod surrounded by mountains on 6 acres","12","Entire home","5","https://www.airbnb.com/rooms/27028379"
"Wintergreen Resort, Virginia, United States","37.9203","-78.95114","Wander Lodge: Golf, Spa, Wine, or just a getaway","7","Entire condo","5","https://www.airbnb.com/rooms/36525724"
"Wintergreen Resort, Virginia, United States","37.91566","-78.94824","Mama’s Den","6","Entire condo","5","https://www.airbnb.com/rooms/48188224"
"Wintergreen Resort, Virginia, United States","37.91616","-78.94354","NEW! Slopeside Condo w/ Balcony & Ski Hill Views!","6","Entire condo","5","https://www.airbnb.com/rooms/52279353"
"Afton, Virginia, United States","37.99785","-78.85434","Scarlet Begonias on the Blue/Brew Ridge Trail","5","Entire guest suite","5","https://www.airbnb.com/rooms/15542333"
"Wintergreen Resort, Virginia, United States","37.91507","-78.94642","Ski Haven-steps from the Dobie slopes!","4","Entire condo","5","https://www.airbnb.com/rooms/47032955"
"Wintergreen Resort, Virginia, United States","37.91542","-78.94622","Cozy condo! Short walk to the slopes and trails.","5","Entire condo","5","https://www.airbnb.com/rooms/52403420"
"Wintergreen Resort, Virginia, United States","37.91363","-78.94845","Private townhouse - 5-10 min walk to slopes!","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/47542417"
"Afton, Virginia, United States","38.01063","-78.81584","Earth Room Suite at Galleywinter Farm","4","Entire rental unit","5","https://www.airbnb.com/rooms/19634151"
"Wintergreen Resort, Virginia, United States","37.91564","-78.94697","Gorgeous Wintergreen Condo – 2-min to Slopes","5","Entire condo","5","https://www.airbnb.com/rooms/29429714"
"Wintergreen Resort, Virginia, United States","37.922","-78.952","Spacious & Cheerful 3 bed/2 bath Mountain Condo","7","Entire condo","5","https://www.airbnb.com/rooms/44492779"
"Arrington, Virginia, United States","37.682","-78.929","Minuet Room - Harmony Hill Bed and Breakfast","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/28528082"
"Wintergreen Resort, United States","37.922","-78.947","Mountain Views","6","Entire condo","4.5","https://www.airbnb.com/rooms/4901730"
"Wintergreen Resort, Virginia, United States","37.91597","-78.94825","Wintergreen Resort Condo- 440 Three Ridges","6","Entire condo","5","https://www.airbnb.com/rooms/44502885"
"Nellysford, Virginia, United States","37.89429","-78.86909","ESCAPE TODAY! Safe Rooms Leap of Faith Lodging","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/27800835"
