"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Daniels, West Virginia, United States","37.7179","-81.07396","Deluxe Room with Two Queens","4","Private room in resort",,"https://www.airbnb.com/rooms/42450728"
"Pineville, West Virginia, United States","37.58236","-81.53999","Castle Rock Lodge","12","Entire place","5","https://www.airbnb.com/rooms/53431597"
"Mullens, West Virginia, United States","37.5798","-81.38535","High Water Inn","10","Entire cabin","5","https://www.airbnb.com/rooms/50312184"
"Oak Hill, West Virginia, United States","37.97468","-81.14192","Carriage House on Main near NRG National Park","4","Entire guesthouse","5","https://www.airbnb.com/rooms/45203836"
"Glen Jean, West Virginia, United States","37.92657","-81.14896","Wild & Wonderful Mountain Top Lodge in Glen Jean 3","4","Room in boutique hotel","5","https://www.airbnb.com/rooms/52937798"
"Ghent, West Virginia, United States","37.59598","-81.12269","Winterplace Condo D302","10","Entire rental unit","4.5","https://www.airbnb.com/rooms/36652753"
"Ghent, West Virginia, United States","37.598","-81.12225","Winterplace Condo D301","10","Entire rental unit","4.5","https://www.airbnb.com/rooms/19844298"
"Ghent, West Virginia, United States","37.59749","-81.12322","Winterplace Condo D304","10","Entire rental unit","4.5","https://www.airbnb.com/rooms/44111345"
"Glen Jean, West Virginia, United States","37.90746","-81.11538","Wild & Wonderful Mountain Top Lodge in Glen Jean 8","4","Room in boutique hotel",,"https://www.airbnb.com/rooms/52978519"
"Glen Jean, West Virginia, United States","37.90777","-81.11595","Wild & Wonderful Mountain Top Lodge in Glen Jean 5","4","Room in boutique hotel","5","https://www.airbnb.com/rooms/52939669"
"White Oak, West Virginia, United States","37.69057","-81.06614","Bella Cottage","5","Entire home","4.5","https://www.airbnb.com/rooms/52382760"
"Glen Jean, West Virginia, United States","37.92449","-81.1622","The Green Cabin at Wood Mountain Campground","4","Entire cabin","5","https://www.airbnb.com/rooms/46120077"
"Glen Jean, West Virginia, United States","37.90786","-81.11725","Wild & Wonderful Mountain Top Lodge in Glen Jean 6","4","Room in boutique hotel","5","https://www.airbnb.com/rooms/52977516"
"Hinton, West Virginia, United States","37.67677","-80.88472","MemeTori Cozy Vacation House","13","Entire villa",,"https://www.airbnb.com/rooms/47950614"
"Ghent, West Virginia, United States","37.59767","-81.12285","Winterplace Condo D306","10","Entire rental unit","5","https://www.airbnb.com/rooms/36652868"
"Ghent, West Virginia, United States","37.59705","-81.12434","Winterplace Condo E202","10","Entire rental unit","5","https://www.airbnb.com/rooms/36652903"
"Hinton, West Virginia, United States","37.70207","-80.89069","Above Brooks at bobcat flat","5","Entire home","5","https://www.airbnb.com/rooms/48527667"
"Shady Spring, West Virginia, United States","37.66561","-81.09913","Coal Miner's Cabin - Near Winterplace, Beckley and Princeton","16","Entire home","5","https://www.airbnb.com/rooms/22081300"
"Glen Jean, West Virginia, United States","37.924","-81.161","The Red Cabin at Wood Mountain Campground","4","Entire cabin","5","https://www.airbnb.com/rooms/43435209"
"Glen Jean, West Virginia, United States","37.92681","-81.1488","Wild & Wonderful Mountain Top Lodge in Glen Jean 7","4","Room in boutique hotel","5","https://www.airbnb.com/rooms/52977928"
"Glen Jean, West Virginia, United States","37.90646","-81.11691","Wild & Wonderful Mountain Top Lodge in Glen Jean","4","Room in boutique hotel","5","https://www.airbnb.com/rooms/52666510"
"Oak Hill, West Virginia, United States","37.97829","-81.14391","Memaw’s House in the New River Gorge","4","Entire home","5","https://www.airbnb.com/rooms/41887831"
"Glen Jean, West Virginia, United States","37.92515","-81.16189","The Yellow Cabin at Wood Mountain Campground","4","Entire cabin","5","https://www.airbnb.com/rooms/46119837"
"Ghent, West Virginia, United States","37.59641","-81.1226","Winterplace Condo D204","10","Entire rental unit","4.5","https://www.airbnb.com/rooms/36652692"
"Hinton, West Virginia, United States","37.64566","-80.88386","Riverside","4","Entire rental unit","5","https://www.airbnb.com/rooms/28962636"
